key	default_value
#cai_task_management_system_variables_tables;0;db/cai_task_management_system_variables_tables/data__	
ALLOCATOR_PRE_SCORING_TASK_PRIORITY_DISTANCE_SCALING_NO_SCALING_WITHIN_TURNS_DISTANCE	2.0000
ALLOCATOR_PRE_SCORING_TASK_PRIORITY_DISTANCE_SCALING_SCALE_MULTIPLES_OF_NO_SCALING_DISTANCE_BY_POWER	1.0000
ALLOCATOR_RECRUIT_NEW_ARMY_UNIT_THRESHOLD	16.0000
ALLOCATOR_RELEASE_FORCES_TO_AGGRESSIVE_ACTION_MORALE_THRESHOLD	0.0000
ALLOCATOR_RELEASE_FORCES_TO_AGGRESSIVE_ACTION_UNITS_THRESHOLD	16.0000
ALLOCATOR_REQUIRE_FORCES_TO_RETURN_ON_POST_RELEASE_MORAL_THRESHOLD	0.0000
ALLOCATOR_REQUIRE_FORCES_TO_RETURN_ON_POST_RELEASE_UNITS_THRESHOLD	8.0000
ALLOCATOR_SCORING_DISTANCE_SCALING_RETAINED_MINIMUM_SCORE_PROPORTION_NONRECRUITING	0.2000
ALLOCATOR_SCORING_DISTANCE_SCALING_RETAINED_MINIMUM_SCORE_PROPORTION_RECRUITING	0.1000
ALLOCATOR_SCORING_DISTANCE_SCALING_TIME_TO_TARGET_IN_ROUNDS_UPPER_BOUND_NONRECRUITING	5.0000
ALLOCATOR_SCORING_DISTANCE_SCALING_TIME_TO_TARGET_IN_ROUNDS_UPPER_BOUND_RECRUITING	4.0000
