campaign_group	rebel_faction	weight
#campaign_group_rebel_faction_probabilities_tables;1;db/campaign_group_rebel_faction_probabilities_tables/data__		
wh2_dlc09_feature_tomb_kings	wh2_dlc09_tmb_tomb_kings_rebels	1.0000
wh2_dlc11_feature_vampire_coast	wh2_dlc11_cst_vampire_coast_rebellion_rebels	1.0000
wh2_main_feature_dark_elves	wh2_main_def_dark_elves_rebels	4.0000
wh2_main_feature_dark_elves	wh2_main_hef_high_elves_rebels	1.0000
wh2_main_feature_dark_elves	wh2_main_skv_skaven_rebels	2.0000
wh2_main_feature_dark_elves	wh_main_chs_chaos_rebels	2.0000
wh2_main_feature_high_elves	wh2_main_def_dark_elves_rebels	1.0000
wh2_main_feature_high_elves	wh2_main_hef_high_elves_rebels	2.0000
wh2_main_feature_lizardmen	wh2_main_lzd_lizardmen_rebels	1.0000
wh2_main_feature_lizardmen	wh2_main_skv_skaven_rebels	3.0000
wh2_main_feature_rogue_armies	wh2_main_skv_skaven_rebels	1.0000
wh2_main_feature_rogue_armies	wh_dlc03_bst_beastmen_rebels	1.0000
wh2_main_feature_rogue_armies	wh_main_emp_empire_rebels	4.0000
wh2_main_feature_rogue_armies	wh_main_grn_greenskins_rebels	2.0000
wh2_main_feature_rogue_armies	wh_main_vmp_vampire_rebels	2.0000
wh2_main_feature_skaven	wh2_main_skv_skaven_rebels	4.0000
wh2_main_feature_skaven	wh_main_dwf_dwarf_rebels	1.0000
wh2_main_feature_skaven	wh_main_grn_greenskins_rebels	2.0000
wh3_dlc23_feature_chaos_dwarfs	wh2_main_skv_skaven_rebels	1.0000
wh3_dlc23_feature_chaos_dwarfs	wh3_dlc23_chd_chaos_dwarfs_rebels	2.0000
wh3_dlc23_feature_chaos_dwarfs	wh3_main_kho_khorne_rebels	1.0000
wh3_dlc23_feature_chaos_dwarfs	wh3_main_nur_nurgle_rebels	1.0000
wh3_dlc23_feature_chaos_dwarfs	wh3_main_sla_slaanesh_rebels	1.0000
wh3_dlc23_feature_chaos_dwarfs	wh3_main_tze_tzeentch_rebels	1.0000
wh3_dlc23_feature_chaos_dwarfs	wh_main_grn_greenskins_rebels	5.0000
wh3_main_feature_cathay	wh3_main_cth_cathay_rebels	6.0000
wh3_main_feature_cathay	wh3_main_ogr_ogre_rebels	3.0000
wh3_main_feature_cathay	wh3_main_tze_tzeentch_rebels	1.0000
wh3_main_feature_cathay	wh_dlc03_bst_beastmen_rebels	2.0000
wh3_main_feature_daemons	wh3_main_kho_khorne_rebels	2.0000
wh3_main_feature_daemons	wh3_main_nur_nurgle_rebels	2.0000
wh3_main_feature_daemons	wh3_main_sla_slaanesh_rebels	2.0000
wh3_main_feature_daemons	wh3_main_tze_tzeentch_rebels	2.0000
