key	actor_effect_bundle	target_effect_bundle	actor_effect_bundle_turns	target_effect_bundle_turns
#action_results_tables;1;db/action_results_tables/data__				
wh2_dlc09_agent_action_engineer_hinder_settlement_success_necrotect_ritual	wh_main_bundle_agent_action_engineer_hinder_settlement_success_actor	wh_main_bundle_agent_action_engineer_hinder_settlement_success_target	1	1
wh2_dlc10_agent_action_shadow_walker_hinder_agent_success	wh_main_bundle_agent_action_champion_hinder_character_success_actor	wh_main_bundle_agent_action_champion_hinder_character_success_target	1	1
wh2_dlc11_agent_action_hinder_settlement_success_establish_pirate_cove	wh_dlc11_bundle_agent_action_dignitary_hinder_settlement_success_actor	wh_main_bundle_agent_action_dignitary_hinder_settlement_success_target	15	1
wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire	wh_main_bundle_dummy_character	wh_main_bundle_agent_action_spy_hinder_settlement_success_target	1	1
wh2_dlc12_agent_action_hinder_settlement_success_expand_underempire_unique	wh_main_bundle_dummy_character	wh_main_bundle_agent_action_spy_hinder_settlement_success_target	1	1
wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_settlement	wh2_dlc12_bundle_agent_action_kroak_hinder_settlement_success_lord_kroak_settlement	wh_main_bundle_agent_action_wizard_hinder_settlement_success_target	30	1
wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_1	wh2_dlc12_bundle_agent_action_kroak_hinder_settlement_success_lord_kroak_walls	wh_main_bundle_agent_action_wizard_hinder_settlement_success_target	30	1
wh2_dlc12_agent_action_kroak_hinder_settlement_success_lord_kroak_success_walls_2	wh2_dlc12_bundle_agent_action_kroak_hinder_settlement_success_lord_kroak_walls	wh_main_bundle_agent_action_wizard_hinder_settlement_success_target	15	1
wh2_dlc16_agent_action_wizard_hinder_settlement_success_ariel	wh2_dlc16_bundle_agent_action_wizard_hinder_settlement_success_ariel	wh_main_bundle_agent_action_wizard_hinder_settlement_success_target	30	1
wh2_dlc17_agent_action_assist_army_cannot_fail_harden_armour	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh2_dlc17_bundle_agent_action_assist_army_cannot_fail_harden_armour_target	1	0
wh2_dlc17_agent_action_assist_army_cannot_fail_sharpen_weapons	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh2_dlc17_bundle_agent_action_assist_army_cannot_fail_sharpen_weapons_target	1	0
wh2_main_agent_action_assist_army_cannot_fail_increase_mobility	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh2_main_bundle_agent_action_assist_army_cannot_fail_increase_mobility_target	1	0
wh2_main_agent_action_assist_army_cannot_fail_replenish_troops	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh2_main_bundle_agent_action_assist_army_cannot_fail_replenish_troops_target	1	0
wh2_main_agent_action_assist_army_cannot_fail_replenish_troops_horde	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh2_main_bundle_agent_action_assist_army_cannot_fail_replenish_troops_target	1	0
wh2_main_agent_action_assist_army_cannot_fail_scavenge	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh2_main_bundle_agent_action_assist_army_cannot_fail_scavenge_target	1	0
wh2_main_agent_action_assist_army_cannot_fail_scouting	wh_main_bundle_agent_action_assist_army_cannot_fail_actor	wh2_main_bundle_agent_action_assist_army_cannot_fail_scouting_target	1	0
