key	value
#_kv_morale_tables;0;db/_kv_morale_tables/data__	
army_destruction_alliance_strength_ratio	0.2200
army_destruction_enemy_strength_ratio	2.6000
artillery_near_miss_distance_squared	144.0000
blood_bonus_12	0.0000
blood_bonus_5	0.0000
blood_bonus_7	0.0000
broken_finish_base_timeout	180.0000
broken_finish_timer_experience_bonus	10.0000
cavalry_effect_range	20.0000
charge_bonus	15.0000
charge_timeout	60.0000
commanding_general_alive_effect_amount_max	0.0000
commanding_general_alive_effect_amount_min	0.0000
difficulty_modifier_ai_easy	-4.0000
difficulty_modifier_ai_hard	4.0000
difficulty_modifier_ai_normal	0.0000
difficulty_modifier_ai_very_hard	8.0000
difficulty_modifier_player_easy	4.0000
difficulty_modifier_player_hard	-2.0000
difficulty_modifier_player_normal	0.0000
difficulty_modifier_player_very_hard	-4.0000
enemy_control_land_defender_land_force_strength_modifier	10.0000
enemy_effect_range	70.0000
enemy_morale_penalty_combat_power_max	32.0000
enemy_morale_penalty_combat_power_min	4.0000
enemy_morale_penalty_value_max	-24.0000
enemy_morale_penalty_value_min	-3.0000
extended_casualties_penalty_10	-4.0000
extended_casualties_penalty_15	-6.0000
extended_casualties_penalty_33	-14.0000
extended_casualties_penalty_50	-32.0000
extended_casualties_penalty_80	-60.0000
fear_effect_range	20.0000
fighting_cavalry	0.0000
general_aura_radius	70.0000
general_inspire_effect_amount_max	3.0000
general_inspire_effect_amount_min	3.0000
inspiration_radius_max_effect_range_modifier	1.5000
losing_combat	-3.0000
losing_combat_significantly	-8.0000
max_reinforcement_bonus	0.0000
max_routing_enemies_to_consider	5.0000
max_routing_friends_to_consider	4.0000
minimium_increment_update_per_tick	1.0000
morale_base	0.0000
morale_shock_rout_immunity_timer	85.0000
morale_shock_rout_timer_long	14.0000
morale_shock_rout_timer_short	14.0000
morale_shock_terror_morale_threshold_long	13.0000
morale_shock_terror_morale_threshold_short	13.0000
neighbour_effect_range	120.0000
only_units_with_living_commanding_general_may_enter_non_shattered_rout_enabled	0.0000
open_flanks_effect_range	120.0000
percent_update_per_tick	0.1500
post_rally_no_rout_timer	10.0000
recent_casualties_penalty_10	-12.0000
recent_casualties_penalty_15	-20.0000
recent_casualties_penalty_33	-44.0000
recent_casualties_penalty_50	-80.0000
recent_casualties_penalty_6	-6.0000
recent_casualties_shock_threshold	25.0000
routing_enemies_effect_weighting	2.5000
routing_friends_effect_weighting	3.0000
routing_unit_effect_distance_flank	100.0000
routing_unit_effect_distance_front	100.0000
shatter_after_first_rout_if_casulties_higher_than	0.0500
shatter_after_rout_count	3.0000
shatter_after_second_rout_if_casulties_higher_than	0.1000
surprise_timeout	200.0000
terror_effect_range	5.0000
total_casualties_penalty_10	-2.0000
total_casualties_penalty_20	-4.0000
total_casualties_penalty_30	-7.0000
total_casualties_penalty_40	-11.0000
total_casualties_penalty_50	-16.0000
total_casualties_penalty_60	-22.0000
total_casualties_penalty_70	-32.0000
total_casualties_penalty_80	-47.0000
total_casualties_penalty_90	-74.0000
ume_concerned_army_destruction	-120.0000
ume_concerned_attacked_by_artillery	-8.0000
ume_concerned_attacked_by_projectile	-5.0000
ume_concerned_captain_died_recently	-2.0000
ume_concerned_damaged_by_artillery	-10.0000
ume_concerned_elephants_frightened	-30.0000
ume_concerned_exhausted	-6.0000
ume_concerned_flanks_exposed_multiple	-6.0000
ume_concerned_flanks_exposed_single	-3.0000
ume_concerned_general_dead	-10.0000
ume_concerned_general_dead_ai	-10.0000
ume_concerned_general_died_recently	-16.0000
ume_concerned_general_died_recently_ai	-16.0000
ume_concerned_general_fled_recently	-16.0000
ume_concerned_general_fled_recently_ai	-16.0000
ume_concerned_horses_frightened	-20.0000
ume_concerned_night_battle_unprepared	-5.0000
ume_concerned_panic	-50.0000
ume_concerned_settlement_destruction_max	0.0000
ume_concerned_surprised	-30.0000
ume_concerned_tired	0.0000
ume_concerned_under_friendly_fire	0.0000
ume_concerned_unit_frightened	-8.0000
ume_concerned_very_tired	-2.0000
ume_encouraged_flanks_secure	5.0000
ume_encouraged_fortification	0.0000
ume_encouraged_fortification_compromised	0.0000
ume_encouraged_inspired	30.0000
ume_encouraged_on_the_hill	10.0000
ume_encouraged_settlement_plaza	0.0000
ums_broken_threshold_lower	-50.0000
ums_broken_threshold_upper	0.0000
ums_confident_threshold_lower	0.6500
ums_confident_threshold_upper	1.0000
ums_eager_threshold_lower	0.9000
ums_eager_threshold_upper	1.1000
ums_impetuous_threshold_lower	1.1000
ums_shaken_threshold_lower	12.0000
ums_shaken_threshold_upper	32.0000
ums_steady_threshold_lower	30.0000
ums_steady_threshold_upper	0.8000
ums_wavering_threshold_lower	0.0000
ums_wavering_threshold_upper	16.0000
unit_inspire_effect_amount	8.0000
use_hitpoints_instead_of_casualties_prop_in_morale_calculation	1.0000
warcry_effect_range	225.0000
was_attacked_in_flank	-6.0000
was_attacked_in_front	0.0000
was_attacked_in_rear	-14.0000
waver_base_timeout	25.0000
winning_combat	6.0000
winning_combat_significantly	8.0000
winning_combat_slightly	3.0000
