achievement_key	condition_key
#achievement_campaign_victory_condition_junctions_tables;0;db/achievement_campaign_victory_condition_junctions_tables/data__	
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_EASY
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_HARD
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_IE_EASY
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_IE_HARD
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_IE_LEGENDARY
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_IE_NORMAL
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_IE_VERY_HARD
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_LEGENDARY
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_NORMAL
WH3_ACHIEVEMENT_WINNING_BEASTMEN_1	WH3_ACHIEVEMENT_WINNING_VERY_HARD
WH3_ACHIEVEMENT_WINNING_BEASTMEN_2	WH3_ACHIEVEMENT_WINNING_IE_LEGENDARY
WH3_ACHIEVEMENT_WINNING_BEASTMEN_2	WH3_ACHIEVEMENT_WINNING_IE_VERY_HARD
WH3_ACHIEVEMENT_WINNING_BEASTMEN_2	WH3_ACHIEVEMENT_WINNING_LEGENDARY
WH3_ACHIEVEMENT_WINNING_BEASTMEN_2	WH3_ACHIEVEMENT_WINNING_VERY_HARD
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_EASY
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_HARD
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_IE_EASY
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_IE_HARD
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_IE_LEGENDARY
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_IE_NORMAL
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_IE_VERY_HARD
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_LEGENDARY
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_NORMAL
WH3_ACHIEVEMENT_WINNING_BRETONNIA_1	WH3_ACHIEVEMENT_WINNING_VERY_HARD
WH3_ACHIEVEMENT_WINNING_BRETONNIA_2	WH3_ACHIEVEMENT_WINNING_IE_LEGENDARY
WH3_ACHIEVEMENT_WINNING_BRETONNIA_2	WH3_ACHIEVEMENT_WINNING_IE_VERY_HARD
WH3_ACHIEVEMENT_WINNING_BRETONNIA_2	WH3_ACHIEVEMENT_WINNING_LEGENDARY
WH3_ACHIEVEMENT_WINNING_BRETONNIA_2	WH3_ACHIEVEMENT_WINNING_VERY_HARD
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_EASY
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_HARD
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_IE_EASY
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_IE_HARD
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_IE_LEGENDARY
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_IE_NORMAL
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_IE_VERY_HARD
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_LEGENDARY
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_NORMAL
WH3_ACHIEVEMENT_WINNING_CATHAY_1	WH3_ACHIEVEMENT_WINNING_VERY_HARD
WH3_ACHIEVEMENT_WINNING_CATHAY_2	WH3_ACHIEVEMENT_WINNING_IE_LEGENDARY
WH3_ACHIEVEMENT_WINNING_CATHAY_2	WH3_ACHIEVEMENT_WINNING_IE_VERY_HARD
WH3_ACHIEVEMENT_WINNING_CATHAY_2	WH3_ACHIEVEMENT_WINNING_LEGENDARY
WH3_ACHIEVEMENT_WINNING_CATHAY_2	WH3_ACHIEVEMENT_WINNING_VERY_HARD
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_EASY
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_HARD
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_IE_EASY
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_IE_HARD
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_IE_LEGENDARY
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_IE_NORMAL
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_IE_VERY_HARD
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_LEGENDARY
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_NORMAL
WH3_ACHIEVEMENT_WINNING_CHAOS_1	WH3_ACHIEVEMENT_WINNING_VERY_HARD
WH3_ACHIEVEMENT_WINNING_CHAOS_2	WH3_ACHIEVEMENT_WINNING_IE_LEGENDARY
WH3_ACHIEVEMENT_WINNING_CHAOS_2	WH3_ACHIEVEMENT_WINNING_IE_VERY_HARD
WH3_ACHIEVEMENT_WINNING_CHAOS_2	WH3_ACHIEVEMENT_WINNING_LEGENDARY
WH3_ACHIEVEMENT_WINNING_CHAOS_2	WH3_ACHIEVEMENT_WINNING_VERY_HARD
WH3_ACHIEVEMENT_WINNING_CHAOS_DWARFS_1	WH3_ACHIEVEMENT_WINNING_EASY
WH3_ACHIEVEMENT_WINNING_CHAOS_DWARFS_1	WH3_ACHIEVEMENT_WINNING_HARD
