entity_type	metadata_tag	vfx_filter	sound_event_battle_start	sound_event_battle_stop	sound_event_campaign_start	culling_distance_override	sound_event_campaign_stop	vocalisation_bank_split
#audio_metadata_tag_entity_overrides_tables;3;db/audio_metadata_tag_entity_overrides_tables/data__								
wh3_dae_belakor_LORD	Bodyfall_Heavy_Bloodthirster	0	Battle_Individual_Bodyfall_Heavy_Belakor			150.0000		
wh_boar_LH	Bodyfall_Heavy_Boar	0	Battle_Individual_Bodyfall_Heavy_Boar		Campaign_Individual_bodyfall_Heavy_Boar	120.0000		
wh3_dae_belakor_LORD	Bodyfall_Heavy_Exalted_Bloodthirster	0	Battle_Individual_Bodyfall_Heavy_Belakor			150.0000		
wh3_kho_simaergul	Bodyfall_Heavy_Fleshhound	0	Battle_Individual_Bodyfall_Heavy_Fleshhound_Simaergul			110.0000		
wh3_ksl_snow_leopard	Bodyfall_Heavy_Fleshhound	0	Battle_Individual_Bodyfall_Heavy_Snow_Leopard			50.0000		
wh2_dlc11_cst_mourngul_LH	Bodyfall_Heavy_Mourngul	0	Battle_Individual_Bodyfall_Heavy_Mourngul_Haunter		Campaign_Individual_Bodyfall_Heavy_Mourngul	150.0000		
wh3_sla_exalted_keeper_of_secrets_LORD	Bodyfall_Heavy_Nkari	0	Battle_Individual_Bodyfall_Heavy_Keeper_of_Secrets		Campaign_Individual_Bodyfall_Heavy_Keeper_of_Secrets	0.0000		
wh3_sla_keeper_of_secrets	Bodyfall_Heavy_Nkari	0	Battle_Individual_Bodyfall_Heavy_Keeper_of_Secrets			0.0000		
wh3_ogr_butcher_LH	Bodyfall_Heavy_Ogre_Belly_Plate	0				0.0000		
wh3_ogr_hunter_LH	Bodyfall_Heavy_Ogre_Belly_Plate	0				0.0000		
wh3_ogr_slaughtermaster_LORD	Bodyfall_Heavy_Ogre_Belly_Plate	0				0.0000		
none	Bodyfall_Heavy_Oxen	0				0.0000		
wh3_dlc26_kho_cha_scyla_LH	Bodyfall_Heavy_Rat_Ogre	0	Battle_Individual_Bodyfall_Heavy_Lord_Of_Change		Campaign_Individual_Bodyfall_Heavy_Lord_Of_Change	150.0000		
wh2_dlc12_Ancient_salamander	Bodyfall_Heavy_Salamander	0	Battle_Individual_Bodyfall_Heavy_Salamander_Ancient			110.0000		
wh3_dae_belakor_LORD	Bodyfall_Heavy_Skarbrand	0	Battle_Individual_Bodyfall_Heavy_Belakor			0.0000		
wh_spider_small	Bodyfall_Heavy_Spider_Large	0	Battle_Individual_Bodyfall_Heavy_Spider_Small		Campaign_Individual_bodyfall_Heavy_Spider_Small	75.0000		
wh_spider_large	Bodyfall_Heavy_Spider_Small	0	Battle_Individual_Bodyfall_Heavy_Spider_Large		Campaign_Individual_bodyfall_Heavy_Spider_Large	150.0000		
wh3_dlc26_grn_mangler_squig	Bodyfall_Heavy_Squig	0	Battle_Individual_Bodyfall_Heavy_Mangler_Squig			110.0000		
wh3_ksl_warbear_heavy	Bodyfall_Heavy_Warbear	0	Battle_Individual_Bodyfall_Heavy_War_Bear_Heavy		Campaign_Individual_Bodyfall_Heavy_War_Bear_Heavy	80.0000		
wh_spider_small	Bodyfall_Landing_Impact_Creature_Extra_Large	0	Battle_Individual_Bodyfall_Heavy_Spider_Small			150.0000		
wh_dlc_squig	Bodyfall_Landing_Impact_Creature_Medium	0	Battle_Individual_Bodyfall_Landing_Impact_Creature_Medium_squig		Campaign_Individual_Bodyfall_Landing_Impact_Creature_Medium	110.0000		
wh_boar_LH	Bodyfall_Light_Boar	0	Battle_Individual_Bodyfall_Light_Boar		Campaign_Individual_bodyfall_Light_Boar	120.0000		
wh3_kho_simaergul	Bodyfall_Light_Fleshhound	0	Battle_Individual_Bodyfall_Light_Fleshhound_Simaergul			110.0000		
wh3_ksl_snow_leopard	Bodyfall_Light_Fleshhound	0	Battle_Individual_Bodyfall_Light_Snow_Leopard			50.0000		
wh3_dlc26_kho_cha_scyla_LH	Bodyfall_Light_Rat_Ogre	0	Battle_Individual_Bodyfall_Light_Lord_Of_Change		Campaign_Individual_Bodyfall_Light_Lord_Of_Change	150.0000		
wh2_dlc12_Ancient_salamander	Bodyfall_Light_Salamander	0	Battle_Individual_Bodyfall_Light_Salamander_Ancient			110.0000		
wh_spider_small	Bodyfall_Light_Spider_Large	0	Battle_Individual_Bodyfall_Light_Spider_Small		Campaign_Individual_bodyfall_Light_Spider_Small	75.0000		
wh_spider_large	Bodyfall_Light_Spider_Small	0	Battle_Individual_Footstep_Light_Spider_Large		Campaign_Individual_Footstep_Light_Spider_Large	150.0000		
wh3_dlc26_grn_mangler_squig	Bodyfall_Light_Squig	0	Battle_Individual_Bodyfall_Light_Mangler_Squig			110.0000		
wh3_ksl_warbear_heavy	Bodyfall_Light_Warbear	0	Battle_Individual_Bodyfall_Light_War_Bear_Heavy		Campaign_Individual_Bodyfall_Light_War_Bear_Heavy	80.0000		
wh2_dlc11_cst_rotting_prometheans	Bodyfall_Rotting_Leviathan_Hull_Step_Heavy	0	Battle_Individual_Bodyfall_Heavy_Rotting_Prometheans		Campaign_Individual_Bodyfall_Heavy_Rotting_Prometheans	110.0000		
wh2_dlc11_cst_rotting_prometheans	Bodyfall_Rotting_Leviathan_Hull_Step_Light	0	Battle_Individual_Bodyfall_Light_Rotting_Prometheans		Campaign_Individual_Bodyfall_Light_Rotting_Prometheans	110.0000		
wh2_war_machine_SKV_plague_furnace	Cam_SFX_SKV_Plague_Furnace_Oneshot	0			Campaign_Individual_Artillery_Plague_Furnace_Oneshot	0.0000		
wh3_dlc23_cam_ship_chaos_dwarf_lord	Cam_Ship_DLC23_Chd_Engine_Loop	0			Campaign_Structure_Parts_Ship_Chd_Steam_Engine_Large_Play	0.0000	Campaign_Structure_Parts_Ship_Chd_Steam_Engine_Large_Stop	
wh3_dlc23_cam_ship_chaos_dwarf_lord	Cam_Ship_DLC23_Chd_Movement_Loop	0			Campaign_Structure_Parts_Ship_Chd_Waterwheel_Movement_Loop_Play	0.0000	Campaign_Structure_Parts_Ship_Chd_Waterwheel_Movement_Loop_Stop	
