manager	behaviour	priority
#campaign_ai_manager_behaviour_junctions_tables;0;db/campaign_ai_manager_behaviour_junctions_tables/data__		
EMPTY	DIPLOMACY_MANAGER	0.0000
default	ALLIED_RECRUITMENT_MANAGEMENT	250.0000
default	ARMORY_MANAGEMENT	250.0000
default	CHARACTER_POST_ASSIGNMENT_BEHAVIOUR	500.0000
default	CHARACTER_SKILL_MANAGEMENT	500.0000
default	CONSTRUCTION_SYSTEM_BEHAVIOUR	500.0000
default	DIPLOMACY_MANAGER	0.0000
default	GENERIC_DECISION_SYSTEM_MANAGEMENT	500.0000
default	MANAGE_OTHER_FACTION_FOREIGN_SLOTS_BEHAVIOUR	100.0000
default	MILITARY_FORCES_RITUAL_MANAGEMENT_BEHAVIOUR	250.0000
default	OGRE_CAMP_MANAGEMENT_BEHAVIOUR	500.0000
default	PROVINCE_INITIATIVE_MANAGEMENT	500.0000
default	REASSIGN_GENERALS_BEHAVIOUR	250.0000
default	RESEARCH_TECHNOLOGY	500.0000
default	RITUAL_MANAGEMENT_BEHAVIOUR	250.0000
default	TASK_MANAGEMENT_SYSTEM	0.0000
default	TAXATION	50.0000
