tree_id	tree_type	tree_rigid	tree_audio	receive_decals
#campaign_tree_variants_tables;3;db/campaign_tree_variants_tables/data__				
grass_01	BASE	RigidModels/campaign/vegetation/grass/emp_grass_01.wsmodel		false
grass_01	BRETONNIA	RigidModels/campaign/vegetation/grass/brt_grass_01.wsmodel		false
grass_01	CATHAY	RigidModels/campaign/vegetation/grass/cth_grass_01.wsmodel		false
grass_01	CHAOS	RigidModels/campaign/vegetation/grass/chs_grass_01.wsmodel		false
grass_01	DARKELVES	RigidModels/campaign/vegetation/grass/def_grass_01.wsmodel		false
grass_01	DWARFS	RigidModels/campaign/vegetation/grass/mtn_grass_01.wsmodel		false
grass_01	EMPIRE	RigidModels/campaign/vegetation/grass/emp_grass_01.wsmodel		false
grass_01	GREENSKINS	RigidModels/campaign/vegetation/grass/grn_grass_01.wsmodel		false
grass_01	HIGHELVES	RigidModels/campaign/vegetation/grass/hef_grass_01.wsmodel		false
grass_01	KHORNE	RigidModels/campaign/vegetation/grass/kho_grass_01.wsmodel		false
grass_01	KISLEV	RigidModels/campaign/vegetation/grass/ksl_grass_01.wsmodel		false
grass_01	LIZARDMEN	RigidModels/campaign/vegetation/grass/lzd_grass_01.wsmodel		false
grass_01	NURGLE	RigidModels/campaign/vegetation/grass/nur_grass_01.wsmodel		false
grass_01	SLAANESH	RigidModels/campaign/vegetation/grass/sla_grass_01.wsmodel		false
grass_01	TZEENTCH	RigidModels/campaign/vegetation/grass/tze_grass_01.wsmodel		false
grass_01	VAMPIRE	RigidModels/campaign/vegetation/grass/vmp_grass_01.wsmodel		false
grass_01	WOODELVES	RigidModels/campaign/vegetation/grass/wef_grass_01.wsmodel		false
grass_02	BASE	RigidModels/campaign/vegetation/grass/emp_grass_02.wsmodel		false
grass_02	BRETONNIA	RigidModels/campaign/vegetation/grass/brt_grass_02.wsmodel		false
grass_02	CATHAY	RigidModels/campaign/vegetation/grass/cth_grass_02.wsmodel		false
grass_02	CHAOS	RigidModels/campaign/vegetation/grass/chs_grass_02.wsmodel		false
grass_02	DARKELVES	RigidModels/campaign/vegetation/grass/def_grass_02.wsmodel		false
grass_02	DWARFS	RigidModels/campaign/vegetation/grass/mtn_grass_02.wsmodel		false
grass_02	EMPIRE	RigidModels/campaign/vegetation/grass/emp_grass_02.wsmodel		false
grass_02	GREENSKINS	RigidModels/campaign/vegetation/grass/grn_grass_02.wsmodel		false
grass_02	HIGHELVES	RigidModels/campaign/vegetation/grass/hef_grass_02.wsmodel		false
grass_02	KHORNE	RigidModels/campaign/vegetation/grass/kho_grass_02.wsmodel		false
grass_02	KISLEV	RigidModels/campaign/vegetation/grass/ksl_grass_02.wsmodel		false
grass_02	LIZARDMEN	RigidModels/campaign/vegetation/grass/lzd_grass_02.wsmodel		false
grass_02	NURGLE	RigidModels/campaign/vegetation/grass/nur_grass_02.wsmodel		false
grass_02	SLAANESH	RigidModels/campaign/vegetation/grass/sla_grass_02.wsmodel		false
grass_02	TZEENTCH	RigidModels/campaign/vegetation/grass/tze_grass_02.wsmodel		false
grass_02	VAMPIRE	RigidModels/campaign/vegetation/grass/vmp_grass_02.wsmodel		false
grass_02	WOODELVES	RigidModels/campaign/vegetation/grass/wef_grass_02.wsmodel		false
grass_03	BASE	RigidModels/campaign/vegetation/grass/emp_grass_03.wsmodel		false
grass_03	BRETONNIA	RigidModels/campaign/vegetation/grass/brt_grass_03.wsmodel		false
grass_03	CATHAY	RigidModels/campaign/vegetation/grass/cth_grass_03.wsmodel		false
grass_03	CHAOS	RigidModels/campaign/vegetation/grass/chs_grass_03.wsmodel		false
grass_03	DARKELVES	RigidModels/campaign/vegetation/grass/def_grass_03.wsmodel		false
grass_03	DWARFS	RigidModels/campaign/vegetation/grass/mtn_grass_03.wsmodel		false
grass_03	EMPIRE	RigidModels/campaign/vegetation/grass/emp_grass_03.wsmodel		false
grass_03	GREENSKINS	RigidModels/campaign/vegetation/grass/grn_grass_03.wsmodel		false
grass_03	HIGHELVES	RigidModels/campaign/vegetation/grass/hef_grass_03.wsmodel		false
grass_03	KHORNE	RigidModels/campaign/vegetation/grass/kho_grass_03.wsmodel		false
grass_03	KISLEV	RigidModels/campaign/vegetation/grass/ksl_grass_03.wsmodel		false
grass_03	LIZARDMEN	RigidModels/campaign/vegetation/grass/lzd_grass_03.wsmodel		false
grass_03	NURGLE	RigidModels/campaign/vegetation/grass/nur_grass_03.wsmodel		false
grass_03	SLAANESH	RigidModels/campaign/vegetation/grass/sla_grass_03.wsmodel		false
grass_03	TZEENTCH	RigidModels/campaign/vegetation/grass/tze_grass_03.wsmodel		false
grass_03	VAMPIRE	RigidModels/campaign/vegetation/grass/vmp_grass_03.wsmodel		false
grass_03	WOODELVES	RigidModels/campaign/vegetation/grass/wef_grass_03.wsmodel		false
grass_04	BASE	RigidModels/campaign/vegetation/grass/emp_grass_04.wsmodel		false
grass_04	BRETONNIA	RigidModels/campaign/vegetation/grass/brt_grass_04.wsmodel		false
grass_04	CATHAY	RigidModels/campaign/vegetation/grass/cth_grass_04.wsmodel		false
grass_04	CHAOS	RigidModels/campaign/vegetation/grass/chs_grass_04.wsmodel		false
grass_04	DARKELVES	RigidModels/campaign/vegetation/grass/def_grass_04.wsmodel		false
