trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/data__			
wh2_dlc09_dummy_trait_dynasty_1	wh2_main_effect_force_stat_melee_attack_in_desert	general_to_force_own	8.0000
wh2_dlc09_dummy_trait_dynasty_1	wh_main_effect_attribute_enable_stalk	character_to_character_own	1.0000
wh2_dlc09_dummy_trait_dynasty_1	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	16.0000
wh2_dlc09_dummy_trait_dynasty_1	wh_main_effect_force_army_campaign_ambush_attack_success_chance	general_to_force_own_unseen	20.0000
wh2_dlc09_dummy_trait_dynasty_1	wh_main_effect_force_stat_range	general_to_force_own	10.0000
wh2_dlc09_dummy_trait_dynasty_2	wh2_main_effect_public_order_characters_factionwide	character_to_province_own_factionwide	1.0000
wh2_dlc09_dummy_trait_dynasty_2	wh_main_effect_character_stat_aura_leadership_effect	character_to_character_own	5.0000
wh2_dlc09_dummy_trait_dynasty_2	wh_main_effect_character_stat_leadership_aura_size	character_to_character_own	20.0000
wh2_dlc09_dummy_trait_dynasty_2	wh_main_effect_character_stat_ward_save	character_to_character_own	5.0000
wh2_dlc09_dummy_trait_dynasty_2	wh_main_effect_economy_gdp_mod_all	faction_to_region_own	5.0000
wh2_dlc09_dummy_trait_dynasty_3	wh2_dlc09_effect_force_stat_armour_sphinxes	general_to_force_own	5.0000
wh2_dlc09_dummy_trait_dynasty_3	wh2_dlc09_effect_unit_cap_tmb_veh_khemrian_warsphinx_0	faction_to_faction_own_unseen	1.0000
wh2_dlc09_dummy_trait_dynasty_3	wh2_main_effect_building_construction_time_mod_all	character_to_region_own_provincewide	-35.0000
wh2_dlc09_dummy_trait_dynasty_3	wh_main_effect_character_stat_armour	character_to_character_own	10.0000
wh2_dlc09_dummy_trait_dynasty_3	wh_main_effect_economy_trade_good_commodity_mod	character_to_faction	10.0000
wh2_dlc09_dummy_trait_dynasty_4	wh2_dlc09_effect_force_stat_melee_attack_ushabti	general_to_force_own	6.0000
wh2_dlc09_dummy_trait_dynasty_4	wh2_dlc09_effect_force_stat_missile_damage_tmb_ushabti	general_to_force_own	10.0000
wh2_dlc09_dummy_trait_dynasty_4	wh2_dlc09_effect_unit_cap_tmb_mon_ushabti_0	character_to_faction_unseen	2.0000
wh2_dlc09_dummy_trait_dynasty_4	wh_main_effect_character_stat_melee_attack	character_to_character_own	8.0000
wh2_dlc09_dummy_trait_dynasty_5	wh2_dlc09_effect_agent_action_success_chance_wizard_tmb	faction_to_character_own	5.0000
wh2_dlc09_dummy_trait_dynasty_5	wh2_dlc09_effect_agent_recruitment_xp_tmb_liche_priest	faction_to_province_own_factionwide	2.0000
wh2_dlc09_dummy_trait_dynasty_5	wh3_main_effect_corruption_reduction_characters	character_to_character_own_provincetext	-5.0000
wh2_dlc09_dummy_trait_dynasty_5	wh3_main_effect_winds_of_magic_pool_cap	faction_to_force_own	5.0000
wh2_dlc09_dummy_trait_dynasty_5	wh_main_effect_character_stat_magic_resistance	character_to_character_own	20.0000
wh2_dlc09_dummy_trait_dynasty_6	wh2_dlc09_effect_force_stat_missile_damage_archer_chariots	general_to_force_own	20.0000
wh2_dlc09_dummy_trait_dynasty_6	wh2_dlc09_effect_force_stat_weapon_strength_tmb_chariots	general_to_force_own	20.0000
wh2_dlc09_dummy_trait_dynasty_6	wh2_dlc09_effect_unit_cap_tmb_veh_skeleton_archer_chariot_0	character_to_faction_unseen	2.0000
wh2_dlc09_dummy_trait_dynasty_6	wh2_dlc09_effect_unit_cap_tmb_veh_skeleton_chariot_0	character_to_faction_unseen	2.0000
wh2_dlc09_dummy_trait_dynasty_6	wh_main_effect_force_stat_speed	general_to_force_own	5.0000
wh2_dlc09_trait_benevolence	wh_main_effect_economy_gdp_mod_all	character_to_region_own_provincewide	10.0000
wh2_dlc09_trait_defeated_arkhan	wh2_dlc09_faction_political_diplomacy_mod_tomb_kings	character_to_faction_unseen	20.0000
wh2_dlc09_trait_defeated_arkhan	wh2_main_effect_character_stat_weapon_strength_vs_vampire_counts	character_to_character_own	25.0000
wh2_dlc09_trait_defeated_khalida	wh_main_effect_force_army_campaign_experience_base_ranged_units	character_to_character_own	2.0000
wh2_dlc09_trait_defeated_khalida	wh_main_faction_political_diplomacy_mod_vampire_counts	character_to_faction_unseen	30.0000
wh2_dlc09_trait_defeated_khatep	wh2_dlc09_effect_force_army_campaign_attrition_desert_immunity	general_to_force_own	1.0000
wh2_dlc09_trait_defeated_khatep	wh2_dlc09_effect_force_army_campaign_attrition_sandstorm_immunity	general_to_force_own	1.0000
wh2_dlc09_trait_defeated_khatep	wh3_main_effect_winds_of_magic_pool_cap	general_to_force_own	8.0000
wh2_dlc09_trait_defeated_settra_as_surtha	wh_main_effect_force_stat_weapon_strength_chaos_chariots	general_to_force_own	100.0000
wh2_dlc09_trait_defeated_settra	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	15.0000
wh2_dlc09_trait_defeated_settra	wh_main_effect_public_order_characters_negative	character_to_enemy_province	-3.0000
wh2_dlc09_trait_defeated_surtha_as_settra	wh2_dlc09_effect_unit_cap_tmb_veh_skeleton_chariot_0	character_to_faction_unseen	10.0000
wh2_dlc09_trait_defeated_surtha_as_settra	wh_main_effect_force_stat_armour_chariot	general_to_force_own	10.0000
wh2_dlc09_trait_defeated_tretch	wh_main_effect_character_stat_speed	character_to_character_own	12.0000
wh2_dlc09_trait_defeated_tretch	wh_main_effect_force_stat_leadership_during_subterranean	general_to_force_own	4.0000
wh2_dlc09_trait_merciless	wh_main_effect_character_stat_aura_leadership_effect	character_to_character_own	8.0000
wh2_dlc09_trait_patience	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-5.0000
wh2_dlc09_trait_settra_title_1	wh_main_effect_economy_gdp_mod_all	character_to_region_own_provincewide	5.0000
wh2_dlc09_trait_settra_title_1	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	10.0000
wh2_dlc09_trait_settra_title_2	wh_main_effect_economy_gdp_mod_all	character_to_region_own_provincewide	10.0000
wh2_dlc09_trait_settra_title_2	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	20.0000
wh2_dlc09_trait_settra_title_3	wh_main_effect_economy_gdp_mod_all	character_to_region_own_provincewide	15.0000
wh2_dlc09_trait_settra_title_3	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	30.0000
wh2_dlc09_trait_spymaster	wh_main_effect_agent_recruitment_cost_mod	faction_to_province_own	-15.0000
wh2_dlc10_trait_alarielle_chaos_1	wh2_dlc10_alarielle_effect_recruitment_cost_reduction_trees	general_to_force_own	-20.0000
wh2_dlc10_trait_alarielle_chaos_1	wh2_dlc10_effect_character_stat_bonus_vs_large_vs_chaos	character_to_character_own	5.0000
wh2_dlc10_trait_alarielle_chaos_1	wh2_dlc10_effect_character_stat_miscast_vs_chaos_norsca	character_to_character_own	25.0000
