effect_bundle	payload	duration
#campaign_payload_effect_bundles_tables;0;db/campaign_payload_effect_bundles_tables/data__		
wh3_dlc20_payload_eye_of_the_gods_cataclysm_death	wh3_dlc20_payload_eye_of_the_gods_cataclysm_death	5
wh3_dlc20_payload_eye_of_the_gods_cataclysm_fire	wh3_dlc20_payload_eye_of_the_gods_cataclysm_fire	5
wh3_dlc20_payload_eye_of_the_gods_cataclysm_kho	wh3_dlc20_payload_eye_of_the_gods_cataclysm_kho	5
wh3_dlc20_payload_eye_of_the_gods_cataclysm_metal	wh3_dlc20_payload_eye_of_the_gods_cataclysm_metal	5
wh3_dlc20_payload_eye_of_the_gods_cataclysm_shadows	wh3_dlc20_payload_eye_of_the_gods_cataclysm_shadows	5
wh3_dlc20_payload_eye_of_the_gods_char_xp_all	wh3_dlc20_payload_eye_of_the_gods_char_xp_all	5
wh3_dlc20_payload_eye_of_the_gods_character_attack_defence	wh3_dlc20_payload_eye_of_the_gods_character_attack_defence	5
wh3_dlc20_payload_eye_of_the_gods_character_recruit	wh3_dlc20_payload_eye_of_the_gods_character_recruit	5
wh3_dlc20_payload_eye_of_the_gods_character_upgrade	wh3_dlc20_payload_eye_of_the_gods_character_upgrade	5
wh3_dlc20_payload_eye_of_the_gods_features_nur	wh3_dlc20_payload_eye_of_the_gods_features_nur	5
wh3_dlc20_payload_eye_of_the_gods_features_sla	wh3_dlc20_payload_eye_of_the_gods_features_sla	5
wh3_dlc20_payload_eye_of_the_gods_features_tze	wh3_dlc20_payload_eye_of_the_gods_features_tze	5
wh3_dlc20_payload_eye_of_the_gods_gifts_cost	wh3_dlc20_payload_eye_of_the_gods_gifts_cost	5
wh3_dlc20_payload_eye_of_the_gods_healing_nur	wh3_dlc20_payload_eye_of_the_gods_healing_nur	5
wh3_dlc20_payload_eye_of_the_gods_immortality	wh3_dlc20_payload_eye_of_the_gods_immortality	10
wh3_dlc20_payload_eye_of_the_gods_kho_recruit	wh3_dlc20_payload_eye_of_the_gods_kho_recruit	5
wh3_dlc20_payload_eye_of_the_gods_magic	wh3_dlc20_payload_eye_of_the_gods_magic	5
wh3_dlc20_payload_eye_of_the_gods_marauders	wh3_dlc20_payload_eye_of_the_gods_marauders	5
wh3_dlc20_payload_eye_of_the_gods_movement_kho	wh3_dlc20_payload_eye_of_the_gods_movement_kho	5
wh3_dlc20_payload_eye_of_the_gods_movement_sla	wh3_dlc20_payload_eye_of_the_gods_movement_sla	5
wh3_dlc20_payload_eye_of_the_gods_nur_growth	wh3_dlc20_payload_eye_of_the_gods_nur_growth	5
wh3_dlc20_payload_eye_of_the_gods_sla_control	wh3_dlc20_payload_eye_of_the_gods_sla_control	5
wh3_dlc20_payload_eye_of_the_gods_sneak_tze	wh3_dlc20_payload_eye_of_the_gods_sneak_tze	5
wh3_dlc20_payload_eye_of_the_gods_spawn_frenzy	wh3_dlc20_payload_eye_of_the_gods_spawn_frenzy	5
wh3_dlc20_payload_eye_of_the_gods_spawn	wh3_dlc20_payload_eye_of_the_gods_spawn	5
wh3_dlc20_payload_eye_of_the_gods_trolls	wh3_dlc20_payload_eye_of_the_gods_trolls	5
wh3_dlc20_payload_eye_of_the_gods_tze_tech	wh3_dlc20_payload_eye_of_the_gods_tze_tech	5
wh3_dlc20_payload_eye_of_the_gods_unit_xp	wh3_dlc20_payload_eye_of_the_gods_unit_xp	5
wh3_dlc20_payload_eye_of_the_gods_war_coord	wh3_dlc20_payload_eye_of_the_gods_war_coord	5
wh3_dlc20_payload_vassal_dilemmas_effect_bundle_construction_cost	wh3_dlc20_payload_vassal_dilemmas_effect_bundle_construction_cost	5
wh3_dlc20_payload_vassal_dilemmas_effect_bundle_income	wh3_dlc20_payload_vassal_dilemmas_effect_bundle_income	5
wh3_dlc20_payload_vassal_dilemmas_effect_bundle_souls	wh3_dlc20_payload_vassal_dilemmas_effect_bundle_souls	5
wh3_dlc20_payload_vassal_dilemmas_melee_attack_armies	wh3_dlc20_payload_vassal_dilemmas_melee_attack_armies	5
wh3_dlc20_payload_vassal_dilemmas_vassal_income	wh3_dlc20_payload_vassal_dilemmas_vassal_income	5
wh3_dlc20_payload_vassal_dilemmas_warriors_income	wh3_dlc20_payload_vassal_dilemmas_warriors_income	5
wh3_dlc20_payload_vassal_dilemmas_winds_of_magic_reserve	wh3_dlc20_payload_vassal_dilemmas_winds_of_magic_reserve	5
wh3_dlc20_bundle_ritual_drained_magic	wh3_dlc20_ritual_tze_cotw_vilitch_drain_magic_self	4
wh3_dlc20_bundle_muddled_mind	wh3_dlc20_ritual_tze_cotw_vilitch_muddle_minds	5
wh3_dlc24_ritual_tze_cotw_the_changeling_spread_corruption	wh3_dlc24_ritual_tze_cotw_the_changeling_spread_corruption	5
wh3_dlc25_dwf_dilemma_book_of_grudges_penalty_large	wh3_dlc25_dwf_dilemma_book_of_grudges_penalty_large	10
wh3_dlc25_dwf_dilemma_book_of_grudges_penalty	wh3_dlc25_dwf_dilemma_book_of_grudges_penalty	10
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_any_red_alarm_action_cost_1_single_turn	2
wh3_dlc29_any_red_alarm_action_cost_1	wh3_dlc29_any_red_alarm_action_cost_1	3
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_any_red_alarm_action_cost_2_single_turn	2
wh3_dlc29_any_red_alarm_action_cost_2	wh3_dlc29_any_red_alarm_action_cost_2	3
wh3_dlc29_bundle_action_bounty	wh3_dlc29_bundle_action_bounty	0
wh3_dlc29_bundle_action_draw_assassin	wh3_dlc29_bundle_action_draw_assassin	0
wh3_dlc29_bundle_action_increase_drawn_tokens	wh3_dlc29_bundle_action_increase_drawn_tokens	5
wh3_dlc29_bundle_action_military_token_1_recruit	wh3_dlc29_bundle_action_military_token_1_recruit	0
wh3_dlc29_bundle_action_remove_green_token_chance_attention	wh3_dlc29_bundle_action_remove_green_token_chance_attention	0
wh3_dlc29_bundle_action_remove_green_token	wh3_dlc29_bundle_action_remove_green_token	0
wh3_dlc29_bundle_action_remove_red_token	wh3_dlc29_bundle_action_remove_red_token	0
wh3_dlc29_bundle_action_skill_lose_tokens_spawn_cauldron_poxes	wh3_dlc29_bundle_action_skill_lose_tokens_spawn_cauldron_poxes	0
wh3_dlc29_bundle_action_skill_spawn_death_globe_bombadiers	wh3_dlc29_bundle_action_skill_spawn_death_globe_bombadiers	0
wh3_dlc29_bundle_action_skill_spawn_poisoned_wind_mortars_dlc	wh3_dlc29_bundle_action_skill_spawn_poisoned_wind_mortars_dlc	0
wh3_dlc29_bundle_action_skill_spawn_warp_doom_magma_cannon	wh3_dlc29_bundle_action_skill_spawn_warp_doom_magma_cannon	0
wh3_dlc29_bundle_any_mod_pool_grey_seer_winds	wh3_dlc29_bundle_any_mod_pool_grey_seer_winds	0
wh3_dlc29_bundle_any_red_attention_generated	wh3_dlc29_bundle_any_red_attention_generated	0
wh3_dlc29_bundle_brood_horror_dlc	wh3_dlc29_bundle_brood_horror_dlc	0
wh3_dlc29_bundle_dummy_rank_up_artillery_1	wh3_dlc29_bundle_dummy_rank_up_artillery_1	0
wh3_dlc29_bundle_dummy_rank_up_artillery_2	wh3_dlc29_bundle_dummy_rank_up_artillery_2	0
wh3_dlc29_bundle_dummy_rank_up_artillery_3	wh3_dlc29_bundle_dummy_rank_up_artillery_3	0
wh3_dlc29_bundle_dummy_rank_up_melee_infantry_1	wh3_dlc29_bundle_dummy_rank_up_melee_infantry_1	0
wh3_dlc29_bundle_dummy_rank_up_melee_infantry_2	wh3_dlc29_bundle_dummy_rank_up_melee_infantry_2	0
wh3_dlc29_bundle_dummy_rank_up_melee_infantry_3	wh3_dlc29_bundle_dummy_rank_up_melee_infantry_3	0
wh3_dlc29_bundle_dummy_rank_up_missile_infantry_1	wh3_dlc29_bundle_dummy_rank_up_missile_infantry_1	0
wh3_dlc29_bundle_dummy_rank_up_missile_infantry_2	wh3_dlc29_bundle_dummy_rank_up_missile_infantry_2	0
