campaign_group	level	resource_cost	optional_settlement_types
#campaign_group_occupation_purchasable_primary_slot_levels_tables;1;db/campaign_group_occupation_purchasable_primary_slot_levels_tables/data__			
wh2_main_feature_skaven	0		
wh2_main_feature_skaven	1		
wh2_main_feature_skaven	2	wh2_main_resource_cost_skv_occupy_primary_slot_2	
wh2_main_feature_skaven	3	wh2_main_resource_cost_skv_occupy_primary_slot_3	
wh2_main_feature_skaven	4	wh2_main_resource_cost_skv_occupy_primary_slot_4	
wh2_main_feature_skaven	5	wh2_main_resource_cost_skv_occupy_primary_slot_5	
wh3_dlc23_feature_chaos_dwarfs	0		chaos_dwarf_settlement_tower
wh3_dlc23_feature_chaos_dwarfs	1		chaos_dwarf_settlement_tower
wh3_dlc23_feature_chaos_dwarfs	2	wh3_dlc_chd_conclave_influence_rush_occupation_t2	chaos_dwarf_settlement_tower
wh3_dlc23_feature_chaos_dwarfs	3	wh3_dlc_chd_conclave_influence_rush_occupation_t3	chaos_dwarf_settlement_tower
wh3_dlc23_feature_chaos_dwarfs	4	wh3_dlc_chd_conclave_influence_rush_occupation_t4	chaos_dwarf_settlement_tower
wh3_dlc23_feature_chaos_dwarfs	5	wh3_dlc_chd_conclave_influence_rush_occupation_t5	chaos_dwarf_settlement_tower
wh3_dlc27_sla_the_tormentors	0		wh3_dlc27_dechala_settlement_palace
wh3_dlc27_sla_the_tormentors	1		wh3_dlc27_dechala_settlement_palace
wh3_dlc27_sla_the_tormentors	2	wh3_dlc27_pleasure_palace_occupation_level2	wh3_dlc27_dechala_settlement_palace
wh3_dlc27_sla_the_tormentors	3	wh3_dlc27_pleasure_palace_occupation_level3	wh3_dlc27_dechala_settlement_palace
wh3_dlc27_sla_the_tormentors	4	wh3_dlc27_pleasure_palace_occupation_level4	wh3_dlc27_dechala_settlement_palace
wh3_dlc27_sla_the_tormentors	5	wh3_dlc27_pleasure_palace_occupation_level5	wh3_dlc27_dechala_settlement_palace
