unit_recruitment_queue_set	effect	bonus_value_id
#effect_bonus_value_unit_recruitment_queue_set_junctions_tables;0;db/effect_bonus_value_unit_recruitment_queue_set_junctions_tables/data__		
wh3_dlc29_nag_raise_dead_cst_faction_pool	wh3_dlc29_nag_all_recruitment_points_hidden	recruitment_points
wh3_dlc29_nag_raise_dead_tmb_faction_pool	wh3_dlc29_nag_all_recruitment_points_hidden	recruitment_points
wh3_dlc29_nag_raise_dead_vmp_faction_pool	wh3_dlc29_nag_all_recruitment_points_hidden	recruitment_points
wh3_dlc29_nag_raise_dead_cst_faction_pool	wh3_dlc29_nag_all_recruitment_points	recruitment_points
wh3_dlc29_nag_raise_dead_tmb_faction_pool	wh3_dlc29_nag_all_recruitment_points	recruitment_points
wh3_dlc29_nag_raise_dead_vmp_faction_pool	wh3_dlc29_nag_all_recruitment_points	recruitment_points
wh3_dlc29_nag_raise_dead_cst_faction_pool	wh3_dlc29_nag_cst_recruitment_points	recruitment_points
wh3_dlc29_nag_raise_dead_tmb_faction_pool	wh3_dlc29_nag_tmb_recruitment_points	recruitment_points
wh3_dlc29_nag_raise_dead_vmp_faction_pool	wh3_dlc29_nag_vmp_recruitment_points	recruitment_points
