order	section	popup_key	icon	video	additional_sound_event
#episode_event_popup_elements_tables;2;db/episode_event_popup_elements_tables/data__					
1	body	chaos_invasion_foreshadow_main_event	UI/Flags/wh_main_chs_chaos/mon_256.png		
1	endgame	chaos_invasion_foreshadow_main_event	UI/Campaign UI/Technologies/wh_main_chs_unholy_communion.png		
1	gameplay	chaos_invasion_foreshadow_main_event	UI/Campaign UI/Technologies/wh_main_chs_dark_standards.png		
1	title	chaos_invasion_foreshadow_main_event	UI/EventPics/all/chaos_invasion.png	EventPics/all/chaos_invasion.ca_vp8	UI_CAM_EVENT_Dilemma
2	endgame	chaos_invasion_foreshadow_main_event	UI/Campaign UI/Technologies/wh_main_chs_erection_of_ruinous_monuments.png		
2	gameplay	chaos_invasion_foreshadow_main_event	UI/Campaign UI/Technologies/wh_main_chs_ensorcelled_weapons.png		
3	endgame	chaos_invasion_foreshadow_main_event	UI/Campaign UI/Technologies/wh_main_chs_rituals_of_corruption.png		
3	gameplay	chaos_invasion_foreshadow_main_event	UI/Campaign UI/Technologies/wh_main_chs_lure_of_dark_promises.png		
4	endgame	chaos_invasion_foreshadow_main_event	UI/Campaign UI/Technologies/wh_main_chs_banners_of_ruin.png		
4	gameplay	chaos_invasion_foreshadow_main_event	UI/Campaign UI/Technologies/wh_main_chs_infernal_march.png		
1	body	nagash_endgame_popup_main_event	UI/Flags/wh3_dlc29_nag_host_of_nagash/mon_256.png		
1	endgame	nagash_endgame_popup_main_event	UI/skins/default/dlc29_nag_black_pyramid/icons/icon_node_nagash_late_active.png		
1	gameplay	nagash_endgame_popup_main_event	UI/skins/default/dlc29_nag_black_pyramid/icons/icon_node_settlements_active.png		
1	title	nagash_endgame_popup_main_event	UI/EventPics/all/nag_nagash_main_event.png	EventPics/all/nag_nagash_main_event.ca_vp8	UI_CAM_EVENT_Dilemma
2	endgame	nagash_endgame_popup_main_event	UI/skins/default/dlc29_nag_black_pyramid/icons/icon_node_dead_rise_active.png		
2	gameplay	nagash_endgame_popup_main_event	UI/skins/default/dlc29_nag_black_pyramid/icons/icon_node_winds_magic_active.png		
3	endgame	nagash_endgame_popup_main_event	UI/skins/default/dlc29_nag_black_pyramid/icons/icon_node_shambling_horde_active.png		
3	gameplay	nagash_endgame_popup_main_event	UI/skins/default/dlc29_nag_black_pyramid/icons/icon_node_raze_active.png		
4	endgame	nagash_endgame_popup_main_event	UI/skins/default/dlc29_nag_black_pyramid/icons/icon_node_dual_wield_active.png		
4	gameplay	nagash_endgame_popup_main_event	UI/skins/default/dlc29_nag_black_pyramid/icons/icon_node_start_active.png		
1	body	skaven_vermintide_foreshadow_main_event	UI/Flags/wh2_main_skv_grey_seer_clan/mon_256.png		
1	endgame	skaven_vermintide_foreshadow_main_event	UI/Campaign UI/Technologies/wh2_skv_tech_strength_in_numbers.png		
1	gameplay	skaven_vermintide_foreshadow_main_event	UI/Campaign UI/Technologies/wh2_skv_tech_rule_through_fear.png		
1	title	skaven_vermintide_foreshadow_main_event	UI/EventPics/all/skv_vermintide_main_event.png	EventPics/all/skv_vermintide_main_event.ca_vp8	UI_CAM_EVENT_Dilemma
2	endgame	skaven_vermintide_foreshadow_main_event	UI/Campaign UI/Technologies/wh2_skv_tech_theres_always_some_more.png		
2	gameplay	skaven_vermintide_foreshadow_main_event	UI/Campaign UI/Technologies/wh2_skv_tech_hunger_drives_them.png		
3	endgame	skaven_vermintide_foreshadow_main_event	UI/Campaign UI/Technologies/wh2_skv_tech_the_menace_below.png		
3	gameplay	skaven_vermintide_foreshadow_main_event	UI/Campaign UI/Technologies/wh2_skv_tech_numbers_beyond_count.png		
4	endgame	skaven_vermintide_foreshadow_main_event	UI/Campaign UI/Technologies/wh2_skv_tech_ensure_absolute_loyalty.png		
4	gameplay	skaven_vermintide_foreshadow_main_event	UI/Campaign UI/Technologies/wh2_skv_tech_record_effective_recipes.png		
