attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/data__	
athel_loren	wh2_dlc10_hef_inf_dryads_0
athel_loren	wh2_dlc10_hef_mon_treekin_0
athel_loren	wh2_dlc10_hef_mon_treeman_0
athel_loren	wh2_dlc15_hef_mon_forest_dragon_0
athel_loren	wh2_dlc15_hef_mon_forest_dragon_imrik
athel_loren	wh2_dlc16_wef_cav_great_stag_knights_0
athel_loren	wh2_dlc16_wef_cav_great_stag_knights_ror_0
athel_loren	wh2_dlc16_wef_cha_ariel_0
athel_loren	wh2_dlc16_wef_cha_drycha_0
athel_loren	wh2_dlc16_wef_cha_sisters_of_twilight_0
athel_loren	wh2_dlc16_wef_cha_sisters_of_twilight_1
athel_loren	wh2_dlc16_wef_cha_spellweaver_beasts_0
athel_loren	wh2_dlc16_wef_cha_spellweaver_beasts_1
athel_loren	wh2_dlc16_wef_cha_spellweaver_beasts_2
athel_loren	wh2_dlc16_wef_cha_spellweaver_beasts_3
athel_loren	wh2_dlc16_wef_cha_spellweaver_dark_0
athel_loren	wh2_dlc16_wef_cha_spellweaver_dark_1
athel_loren	wh2_dlc16_wef_cha_spellweaver_dark_2
athel_loren	wh2_dlc16_wef_cha_spellweaver_dark_3
athel_loren	wh2_dlc16_wef_cha_spellweaver_high_0
athel_loren	wh2_dlc16_wef_cha_spellweaver_high_1
athel_loren	wh2_dlc16_wef_cha_spellweaver_high_2
athel_loren	wh2_dlc16_wef_cha_spellweaver_high_3
athel_loren	wh2_dlc16_wef_cha_spellweaver_life_0
athel_loren	wh2_dlc16_wef_cha_spellweaver_life_1
athel_loren	wh2_dlc16_wef_cha_spellweaver_life_2
athel_loren	wh2_dlc16_wef_cha_spellweaver_life_3
athel_loren	wh2_dlc16_wef_cha_spellweaver_shadows_0
athel_loren	wh2_dlc16_wef_cha_spellweaver_shadows_1
athel_loren	wh2_dlc16_wef_cha_spellweaver_shadows_2
athel_loren	wh2_dlc16_wef_cha_spellweaver_shadows_3
athel_loren	wh2_dlc16_wef_inf_bladesingers_0
athel_loren	wh2_dlc16_wef_inf_dryads_ror_0
athel_loren	wh2_dlc16_wef_mon_zoats
athel_loren	wh2_dlc16_wef_mon_zoats_ror_0
athel_loren	wh_dlc05_wef_cav_glade_riders_0
athel_loren	wh_dlc05_wef_cav_glade_riders_1
athel_loren	wh_dlc05_wef_cav_hawk_riders_0
athel_loren	wh_dlc05_wef_cav_sisters_thorn_0
athel_loren	wh_dlc05_wef_cav_wild_riders_0
athel_loren	wh_dlc05_wef_cav_wild_riders_1
athel_loren	wh_dlc05_wef_cha_ancient_treeman_0
athel_loren	wh_dlc05_wef_cha_branchwraith_0
athel_loren	wh_dlc05_wef_cha_durthu_0
athel_loren	wh_dlc05_wef_cha_female_glade_lord_0
athel_loren	wh_dlc05_wef_cha_female_glade_lord_1
athel_loren	wh_dlc05_wef_cha_female_glade_lord_2
athel_loren	wh_dlc05_wef_cha_female_glade_lord_3
athel_loren	wh_dlc05_wef_cha_glade_lord_0
athel_loren	wh_dlc05_wef_cha_glade_lord_1
athel_loren	wh_dlc05_wef_cha_glade_lord_2
athel_loren	wh_dlc05_wef_cha_glade_lord_3
athel_loren	wh_dlc05_wef_cha_orion_0
athel_loren	wh_dlc05_wef_cha_spellsinger_beasts_0
athel_loren	wh_dlc05_wef_cha_spellsinger_beasts_1
athel_loren	wh_dlc05_wef_cha_spellsinger_beasts_2
athel_loren	wh_dlc05_wef_cha_spellsinger_beasts_3
athel_loren	wh_dlc05_wef_cha_spellsinger_life_0
athel_loren	wh_dlc05_wef_cha_spellsinger_life_1
athel_loren	wh_dlc05_wef_cha_spellsinger_life_2
athel_loren	wh_dlc05_wef_cha_spellsinger_life_3
athel_loren	wh_dlc05_wef_cha_spellsinger_shadows_0
athel_loren	wh_dlc05_wef_cha_spellsinger_shadows_1
athel_loren	wh_dlc05_wef_cha_spellsinger_shadows_2
athel_loren	wh_dlc05_wef_cha_spellsinger_shadows_3
athel_loren	wh_dlc05_wef_cha_waystalker_0
athel_loren	wh_dlc05_wef_forest_dragon_0
athel_loren	wh_dlc05_wef_inf_deepwood_scouts_0
athel_loren	wh_dlc05_wef_inf_deepwood_scouts_1
athel_loren	wh_dlc05_wef_inf_dryads_0
athel_loren	wh_dlc05_wef_inf_eternal_guard_0
athel_loren	wh_dlc05_wef_inf_eternal_guard_1
athel_loren	wh_dlc05_wef_inf_glade_guard_0
athel_loren	wh_dlc05_wef_inf_glade_guard_1
athel_loren	wh_dlc05_wef_inf_glade_guard_2
athel_loren	wh_dlc05_wef_inf_wardancers_0
athel_loren	wh_dlc05_wef_inf_wardancers_1
athel_loren	wh_dlc05_wef_inf_waywatchers_0
athel_loren	wh_dlc05_wef_inf_wildwood_rangers_0
athel_loren	wh_dlc05_wef_mon_great_eagle_0
athel_loren	wh_dlc05_wef_mon_treekin_0
athel_loren	wh_dlc05_wef_mon_treeman_0
athel_loren	wh_pro04_wef_cav_wild_riders_ror_0
athel_loren	wh_pro04_wef_inf_eternal_guard_ror_0
athel_loren	wh_pro04_wef_inf_wardancers_ror_0
athel_loren	wh_pro04_wef_inf_waywatchers_ror_0
athel_loren	wh_pro04_wef_inf_wildwood_rangers_ror_0
athel_loren	wh_pro04_wef_mon_treekin_ror_0
chaos_territory	wh2_dlc10_nor_mon_phoenix_flamespyre_boss
chaos_territory	wh2_dlc17_bst_cav_tuskgor_chariot_0
chaos_territory	wh2_dlc17_bst_cha_beastlord_2
chaos_territory	wh2_dlc17_bst_cha_bray_shaman_beasts_2
chaos_territory	wh2_dlc17_bst_cha_bray_shaman_death_2
chaos_territory	wh2_dlc17_bst_cha_bray_shaman_shadows_2
chaos_territory	wh2_dlc17_bst_cha_bray_shaman_wild_2
chaos_territory	wh2_dlc17_bst_cha_doombull_0
chaos_territory	wh2_dlc17_bst_cha_khazrak_one_eye_2
chaos_territory	wh2_dlc17_bst_cha_taurox_the_brass_bull_0
chaos_territory	wh2_dlc17_bst_cha_wargor_0
chaos_territory	wh2_dlc17_bst_cha_wargor_1
chaos_territory	wh2_dlc17_bst_cha_wargor_2
chaos_territory	wh2_dlc17_bst_inf_centigors_ror_1
chaos_territory	wh2_dlc17_bst_mon_ghorgon_0
