key	show_cursor_trail	icon_path
#unit_ability_types_tables;2;db/unit_ability_types_tables/data__		
wh_type_area_of_augments	false	ui/battle ui/ability_icons/icon_spell_area_of_augments.png
wh_type_area_of_augments_of_the_winds	false	ui/battle ui/ability_icons/icon_spell_augment_of_the_winds.png
wh_type_area_of_direct_damage	false	ui/battle ui/ability_icons/icon_spell_area_of_direct_damage.png
wh_type_area_of_hexes	false	ui/battle ui/ability_icons/icon_spell_area_of_hexes.png
wh_type_area_of_regeneration	false	ui/battle ui/ability_icons/icon_spell_area_of_regeneration.png
wh_type_area_of_ward_save	false	ui/battle ui/ability_icons/icon_spell_area_of_ward_saves.png
wh_type_area_of_ward_save_hex	false	ui/battle ui/ability_icons/icon_spell_area_of_ward_saves_hex.png
wh_type_augment	true	ui/battle ui/ability_icons/icon_spell_augment.png
wh_type_augment_of_the_winds	false	ui/battle ui/ability_icons/icon_spell_augment_of_the_winds.png
wh_type_bombardment	false	ui/battle ui/ability_icons/icon_spell_bombardment.png
wh_type_breath	false	ui/battle ui/ability_icons/icon_spell_breath.png
wh_type_chain_augment	false	ui/battle ui/ability_icons/icon_spell_augment.png
wh_type_chain_direct_damage	false	ui/battle ui/ability_icons/icon_spell_direct_damage.png
wh_type_chain_hex	false	ui/battle ui/ability_icons/icon_spell_hex.png
wh_type_chain_regeneration	false	ui/battle ui/ability_icons/icon_spell_regeneration.png
wh_type_direct_damage	false	ui/battle ui/ability_icons/icon_spell_direct_damage.png
wh_type_explosion	false	ui/battle ui/ability_icons/icon_spell_explosion.png
wh_type_formation	false	ui/battle ui/ability_icons/icon_formation.png
wh_type_hex	false	ui/battle ui/ability_icons/icon_spell_hex.png
wh_type_hex_of_the_winds	false	ui/battle ui/ability_icons/icon_spell_hex_of_the_winds.png
wh_type_hiding	false	ui/battle ui/ability_icons/icon_spell_hiding.png
wh_type_magic_missile	true	ui/battle ui/ability_icons/icon_spell_magic_missile.png
wh_type_magic_missiles	true	ui/battle ui/ability_icons/icon_spell_magic_missiles.png
wh_type_regeneration	false	ui/battle ui/ability_icons/icon_spell_regeneration.png
wh_type_summon_unit	true	ui/battle ui/ability_icons/icon_spell_augment.png
wh_type_transform	false	ui/battle ui/ability_icons/icon_spell_transform.png
wh_type_vortex	false	ui/battle ui/ability_icons/icon_spell_vortex.png
wh_type_ward_save	false	ui/battle ui/ability_icons/icon_spell_ward_save.png
wh_type_ward_save_hex	false	ui/battle ui/ability_icons/icon_spell_ward_save_hex.png
wh_type_wind	false	ui/battle ui/ability_icons/icon_spell_wind.png
