existing_character_skill_key	potential_character_skill_key	synergy_level_key
#cai_character_skill_synergies_tables;0;db/cai_character_skill_synergies_tables/data__		
wh2_dlc10_skill_def_crone_mount_dark_steed	wh2_main_skill_def_witchbrew	medium
wh2_main_skill_def_witchbrew	wh2_dlc10_skill_def_crone_unique_second_cauldron	medium
wh2_main_skill_def_witchbrew	wh2_dlc10_skill_def_crone_unique_secrets_of_the_cauldron	medium
wh2_main_skill_hef_combat_valour_of_ages	wh_main_skill_all_all_self_indomitable	medium
wh2_main_skill_hef_noble_unique_combat	wh2_main_skill_hef_combat_valour_of_ages	medium
wh2_main_skill_hef_tyrion_unique_0	wh2_main_skill_hef_tyrion_unique_1_2	medium
wh2_main_skill_hef_tyrion_unique_0	wh2_main_skill_hef_tyrion_unique_1_3	medium
wh2_main_skill_hef_tyrion_unique_2	wh2_main_skill_hef_tyrion_unique_3_1	medium
wh2_main_skill_hef_tyrion_unique_2	wh2_main_skill_hef_tyrion_unique_3_2	medium
wh2_main_skill_hef_tyrion_unique_2	wh2_main_skill_hef_tyrion_unique_3_3	medium
wh2_main_skill_magic_life_wizard_earth_blood_lord	wh_dlc05_skill_magic_life_life_bloom	medium
wh3_main_skill_kho_bloodreaper_mount_blood_throne	wh3_main_skill_kho_bloodreaper_mount_juggernaut	medium_negative
wh3_main_skill_kho_bloodreaper_mount_juggernaut	wh3_main_skill_kho_bloodreaper_mount_blood_throne	medium_negative
wh3_main_skill_kho_herald_of_khorne_mount_blood_throne	wh3_main_skill_kho_herald_of_khorne_mount_juggernaut	medium_negative
wh3_main_skill_kho_herald_of_khorne_mount_juggernaut	wh3_main_skill_kho_herald_of_khorne_mount_blood_throne	medium_negative
wh3_main_skill_tze_herald_of_tzeentch_metal_mount_burning_chariot	wh3_main_skill_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch	medium_negative
wh3_main_skill_tze_herald_of_tzeentch_metal_mount_disc_of_tzeentch	wh3_main_skill_tze_herald_of_tzeentch_metal_mount_burning_chariot	medium_negative
wh3_main_skill_tze_herald_of_tzeentch_tzeentch_mount_burning_chariot	wh3_main_skill_tze_herald_of_tzeentch_tzeentch_mount_disc_of_tzeentch	medium_negative
wh3_main_skill_tze_herald_of_tzeentch_tzeentch_mount_disc_of_tzeentch	wh3_main_skill_tze_herald_of_tzeentch_tzeentch_mount_burning_chariot	medium_negative
wh_main_skill_all_magic_death_01_spirit_leech	wh_main_skill_vmp_lord_unique_mannfred_loremaster_lore_of_death	medium
wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	wh_main_skill_vmp_lord_unique_loremaster_lore_of_vampires	medium
