chaotic_plan	effect	bonus_value_id
#effect_bonus_value_chaotic_plan_junctions_tables;0;db/effect_bonus_value_chaotic_plan_junctions_tables/data__		
wh3_dlc29_economic_plan	wh3_dlc29_chaotic_plans_any_draw_per_turn	drawn_tokens_per_turn_mod
wh3_dlc29_magic_plan	wh3_dlc29_chaotic_plans_any_draw_per_turn	drawn_tokens_per_turn_mod
wh3_dlc29_military_plan	wh3_dlc29_chaotic_plans_any_draw_per_turn	drawn_tokens_per_turn_mod
wh3_dlc29_economic_plan	wh3_dlc29_chaotic_plans_economic_draw_per_turn	drawn_tokens_per_turn_mod
wh3_dlc29_economic_plan	wh3_dlc29_chaotic_plans_enable_economic_plan	enable
wh3_dlc29_magic_plan	wh3_dlc29_chaotic_plans_enable_magic_plan	enable
wh3_dlc29_military_plan	wh3_dlc29_chaotic_plans_enable_military_plan	enable
wh3_dlc29_magic_plan	wh3_dlc29_chaotic_plans_magic_draw_per_turn	drawn_tokens_per_turn_mod
wh3_dlc29_military_plan	wh3_dlc29_chaotic_plans_military_draw_per_turn	drawn_tokens_per_turn_mod
wh3_dlc29_economic_plan	wh3_dlc29_chaotic_plans_risk	plan_risk_mod
wh3_dlc29_magic_plan	wh3_dlc29_chaotic_plans_risk	plan_risk_mod
wh3_dlc29_military_plan	wh3_dlc29_chaotic_plans_risk	plan_risk_mod
wh3_dlc29_economic_plan	wh3_dlc29_effect_skv_starting_tokens_all_plans	starting_drawn_tokens_mod
wh3_dlc29_magic_plan	wh3_dlc29_effect_skv_starting_tokens_all_plans	starting_drawn_tokens_mod
wh3_dlc29_military_plan	wh3_dlc29_effect_skv_starting_tokens_all_plans	starting_drawn_tokens_mod
wh3_dlc29_economic_plan	wh3_dlc29_effect_skv_starting_tokens_economic_plan	starting_drawn_tokens_mod
wh3_dlc29_magic_plan	wh3_dlc29_effect_skv_starting_tokens_magic_plan	starting_drawn_tokens_mod
wh3_dlc29_military_plan	wh3_dlc29_effect_skv_starting_tokens_military_plan	starting_drawn_tokens_mod
