upgrade_key	base_unit_group	target_unit_group	resource_cost	required_rank	subtracted_rank
#unit_upgrade_to_unit_groups_tables;3;db/unit_upgrade_to_unit_groups_tables/data__					
wh3_dlc20_chs_aspiring_champions_to_spawn	wh3_dlc20_chs_aspiring_champions	wh3_dlc20_chs_spawn_und	wh3_dlc20_chs_upgrade_cost_t2	0	9
wh3_dlc20_chs_chariot_kho_to_gorebeast_chariot	wh3_dlc20_chs_chariot_kho	wh3_dlc20_chs_gorebeast_chariot_kho	wh3_dlc20_chs_upgrade_cost_t4	5	5
wh3_dlc20_chs_chariot_und_to_gorebeast_chariot	wh3_dlc20_chs_chariot_und	wh3_dlc20_chs_gorebeast_chariot_und	wh3_dlc20_chs_upgrade_cost_t4	5	5
wh3_dlc20_chs_chariot_und_to_kho	wh3_dlc20_chs_chariot_und	wh3_dlc20_chs_chariot_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_chariot_und_to_nur	wh3_dlc20_chs_chariot_und	wh3_dlc20_chs_chariot_nur	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_chariot_und_to_sla	wh3_dlc20_chs_chariot_und	wh3_dlc20_chs_chariot_sla	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_chariot_und_to_tze	wh3_dlc20_chs_chariot_und	wh3_dlc20_chs_chariot_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_chosen_kho_to_self	wh3_dlc20_chs_chosen_kho	wh3_dlc20_chs_chosen_kho	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_chosen_nur_to_self	wh3_dlc20_chs_chosen_nur	wh3_dlc20_chs_chosen_nur	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_chosen_sla_to_self	wh3_dlc20_chs_chosen_sla	wh3_dlc20_chs_chosen_sla	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_chosen_tze_to_self	wh3_dlc20_chs_chosen_tze	wh3_dlc20_chs_chosen_tze	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_chosen_und_to_aspiring_champions	wh3_dlc20_chs_chosen_und	wh3_dlc20_chs_aspiring_champions	wh3_dlc20_chs_upgrade_cost_t5	0	0
wh3_dlc20_chs_chosen_und_to_kho	wh3_dlc20_chs_chosen_und	wh3_dlc20_chs_chosen_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_chosen_und_to_nur	wh3_dlc20_chs_chosen_und	wh3_dlc20_chs_chosen_nur	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_chosen_und_to_self	wh3_dlc20_chs_chosen_und	wh3_dlc20_chs_chosen_und	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_chosen_und_to_sla	wh3_dlc20_chs_chosen_und	wh3_dlc20_chs_chosen_sla	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_chosen_und_to_tze	wh3_dlc20_chs_chosen_und	wh3_dlc20_chs_chosen_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_forsaken_kho_to_spawn	wh3_dlc20_chs_forsaken_kho	wh3_dlc20_chs_spawn_kho	wh3_dlc20_chs_upgrade_cost_t4	4	4
wh3_dlc20_chs_forsaken_nur_to_spawn	wh3_dlc20_chs_forsaken_nur	wh3_dlc20_chs_spawn_nur	wh3_dlc20_chs_upgrade_cost_t4	4	4
wh3_dlc20_chs_forsaken_sla_to_spawn	wh3_dlc20_chs_forsaken_sla	wh3_dlc20_chs_spawn_sla	wh3_dlc20_chs_upgrade_cost_t4	4	4
wh3_dlc20_chs_forsaken_tze_to_spawn	wh3_dlc20_chs_forsaken_tze	wh3_dlc20_chs_spawn_tze	wh3_dlc20_chs_upgrade_cost_t4	4	4
wh3_dlc20_chs_forsaken_und_to_kho	wh3_dlc20_chs_forsaken_und	wh3_dlc20_chs_forsaken_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_forsaken_und_to_nur	wh3_dlc20_chs_forsaken_und	wh3_dlc20_chs_forsaken_nur	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_forsaken_und_to_sla	wh3_dlc20_chs_forsaken_und	wh3_dlc20_chs_forsaken_sla	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_forsaken_und_to_spawn	wh3_dlc20_chs_forsaken_und	wh3_dlc20_chs_spawn_und	wh3_dlc20_chs_upgrade_cost_t4	4	4
wh3_dlc20_chs_forsaken_und_to_tze	wh3_dlc20_chs_forsaken_und	wh3_dlc20_chs_forsaken_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_gorebeast_chariot_und_to_kho	wh3_dlc20_chs_gorebeast_chariot_und	wh3_dlc20_chs_gorebeast_chariot_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_hellstriders_to_knights	wh3_dlc20_chs_hellstriders	wh3_dlc20_chs_knights_sla	wh3_dlc20_chs_upgrade_cost_t4	6	6
wh3_dlc20_chs_hellstriders_to_self	wh3_dlc20_chs_hellstriders	wh3_dlc20_chs_hellstriders	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_knights_kho_skullcrushers	wh3_dlc20_chs_knights_kho	wh3_dlc20_chs_skullcrushers	wh3_dlc20_chs_upgrade_cost_t5	8	8
wh3_dlc20_chs_knights_kho_to_self	wh3_dlc20_chs_knights_kho	wh3_dlc20_chs_knights_kho	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_knights_nur_to_self	wh3_dlc20_chs_knights_nur	wh3_dlc20_chs_knights_nur	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_knights_sla_to_self	wh3_dlc20_chs_knights_sla	wh3_dlc20_chs_knights_sla	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_knights_tze_doom_knights	wh3_dlc20_chs_knights_tze	wh3_dlc20_chs_doom_knights	wh3_dlc20_chs_upgrade_cost_t5	8	8
wh3_dlc20_chs_knights_tze_to_self	wh3_dlc20_chs_knights_tze	wh3_dlc20_chs_knights_tze	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_knights_und_to_doom_knights	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_doom_knights	wh3_dlc20_chs_upgrade_cost_t5	8	8
wh3_dlc20_chs_knights_und_to_kho	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_knights_kho	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_knights_und_to_nur	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_knights_nur	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_knights_und_to_self	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_knights_und_to_skullcrushers	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_skullcrushers	wh3_dlc20_chs_upgrade_cost_t5	8	8
wh3_dlc20_chs_knights_und_to_sla	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_knights_sla	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_knights_und_to_tze	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_knights_tze	wh3_dlc20_chs_upgrade_cost_marking	0	0
wh3_dlc20_chs_marauder_horsemasters_to_hellstriders	wh3_dlc20_chs_marauder_horsemasters	wh3_dlc20_chs_hellstriders	wh3_dlc20_chs_upgrade_cost_t2	2	2
wh3_dlc20_chs_marauder_horsemasters_to_knights	wh3_dlc20_chs_marauder_horsemasters	wh3_dlc20_chs_knights_und	wh3_dlc20_chs_upgrade_cost_t4	6	6
wh3_dlc20_chs_marauder_horsemasters_to_self	wh3_dlc20_chs_marauder_horsemasters	wh3_dlc20_chs_marauder_horsemasters	wh3_dlc20_chs_upgrade_cost_weapon_swap	0	0
wh3_dlc20_chs_marauder_horsemen_kho_to_chariot	wh3_dlc20_chs_marauder_horsemen_kho	wh3_dlc20_chs_chariot_kho	wh3_dlc20_chs_upgrade_cost_t3	4	4
wh3_dlc20_chs_marauder_horsemen_kho_to_knights	wh3_dlc20_chs_marauder_horsemen_kho	wh3_dlc20_chs_knights_kho	wh3_dlc20_chs_upgrade_cost_t4	8	8
wh3_dlc20_chs_marauder_horsemen_nur_to_chariot	wh3_dlc20_chs_marauder_horsemen_nur	wh3_dlc20_chs_chariot_nur	wh3_dlc20_chs_upgrade_cost_t3	4	4
wh3_dlc20_chs_marauder_horsemen_nur_to_knights	wh3_dlc20_chs_marauder_horsemen_nur	wh3_dlc20_chs_knights_nur	wh3_dlc20_chs_upgrade_cost_t4	8	8
wh3_dlc20_chs_marauder_horsemen_sla_to_chariot	wh3_dlc20_chs_marauder_horsemen_sla	wh3_dlc20_chs_chariot_sla	wh3_dlc20_chs_upgrade_cost_t3	4	4
wh3_dlc20_chs_marauder_horsemen_sla_to_hellstriders	wh3_dlc20_chs_marauder_horsemen_sla	wh3_dlc20_chs_hellstriders	wh3_dlc20_chs_upgrade_cost_t2	3	3
wh3_dlc20_chs_marauder_horsemen_tze_to_chariot	wh3_dlc20_chs_marauder_horsemen_tze	wh3_dlc20_chs_chariot_tze	wh3_dlc20_chs_upgrade_cost_t3	4	4
wh3_dlc20_chs_marauder_horsemen_tze_to_knights	wh3_dlc20_chs_marauder_horsemen_tze	wh3_dlc20_chs_knights_tze	wh3_dlc20_chs_upgrade_cost_t4	8	8
wh3_dlc20_chs_marauder_horsemen_und_to_chariot	wh3_dlc20_chs_marauder_horsemen_und	wh3_dlc20_chs_chariot_und	wh3_dlc20_chs_upgrade_cost_t3	4	4
