environment	loop	type
#audio_battle_environment_loop_junctions_tables;0;db/audio_battle_environment_loop_junctions_tables/data__		
beastmen_subterranean_forest	beastmen_forest	forest
beastmen_subterranean_forest	beastmen_lake	lake
beastmen_subterranean_forest	beastmen_ambience	main
beastmen_subterranean_forest	generic_river	river
beastmen_subterranean_forest	generic_sea	sea
beastmen_subterranean_forest	generic_wind	wind
beastmen	beastmen_forest	forest
beastmen	beastmen_lake	lake
beastmen	beastmen_ambience	main
beastmen	generic_river	river
beastmen	generic_sea	sea
beastmen	generic_wind	wind
bretonnia_cold	WH3_Generic_Cold_Forest_Loop	forest
bretonnia_cold	WH3_Generic_Cold_Primary_Loop	main
bretonnia_cold	tomb_kings_desert_secondary	main
bretonnia_cold	WH3_Generic_Cold_Wind_Loop	wind
bretonnia	high_elves_beach_forest	forest
bretonnia	high_elves_lake	lake
bretonnia	high_elves_beach_primary	main
bretonnia	generic_river	river
bretonnia	generic_sea	sea
bretonnia	generic_wind	wind
cathay	WH3_Faction_Cathay_Forest_Loop	forest
cathay	high_elves_lake	lake
cathay	WH3_Faction_Cathay_Primary_Loop	main
cathay	WH3_Faction_Cathay_Secondary_Loop	main
cathay	generic_river	river
cathay	generic_sea	sea
cathay	WH3_Generic_Hills_Wind_Loop	wind
cave_abstract	WH3_Generic_Caves_Forest_Loop	forest
cave_abstract	cave_lake	lake
cave_abstract	WH3_Generic_Caves_Primary_Loop	main
cave_abstract	WH3_Generic_Caves_Secondary_Loop	main
cave_abstract	cave_wind_abstract	main
cave_abstract	generic_river	river
cave_abstract	WH3_Generic_Caves_Wind_Loop	wind
cave	WH3_Generic_Caves_Forest_Loop	forest
cave	cave_lake	lake
cave	WH3_Generic_Caves_Primary_Loop	main
cave	WH3_Generic_Caves_Secondary_Loop	main
cave	generic_river	river
cave	WH3_Generic_Caves_Wind_Loop	wind
chaos_volcanic	WH3_Generic_Forest_Loop_Trees	forest
chaos_volcanic	volcanic_lake	lake
chaos_volcanic	WH3_Faction_Chaos_Ext_Primary_Loop_Flavor	main
chaos_volcanic	WH3_Generic_Volcanic_Primary_Loop	main
