name	description	group	default
#bmd_export_types_tables;1;db/bmd_export_types_tables/data__			
attacker_direction_east	attacker_direction_east	attacker_direction	false
attacker_direction_north	attacker_direction_north	attacker_direction	false
attacker_direction_south	attacker_direction_south	attacker_direction	false
attacker_direction_west	attacker_direction_west	attacker_direction	false
battle_corruption_chaos	Chaos Undivided Corruption (Battle)		false
battle_corruption_khorne	Khorne Corruption (Battle)		false
battle_corruption_none	No Corruption (Battle)		false
battle_corruption_nurgle	Nurgle Corruption (Battle)		false
battle_corruption_skaven	Skaven Corruption (Battle)		false
battle_corruption_slaanesh	Slaanesh Corruption (Battle)		false
battle_corruption_tzeentch	Tzeentch Corruption (Battle)		false
battle_corruption_vampire	Vampire Corruption (Battle)		false
catchment_01	new catchment system zone 1		false
catchment_02	new catchment system zone 2		false
catchment_03	new catchment system zone 3		false
catchment_04	new catchment system zone 4		false
catchment_05	new catchment system zone 5		false
catchment_06	new catchment system zone 6		false
catchment_07	new catchment system zone 7		false
catchment_08	new catchment system zone 8		false
catchment_09	new catchment system zone 9		false
catchment_10	new catchment system zone 10		false
catchment_11	new catchment system zone 11		false
catchment_12	new catchment system zone 12		false
catchment_13	new catchment system zone 13		false
catchment_14	new catchment system zone 14		false
catchment_15	new catchment system zone 15		false
catchment_16	new catchment system zone 16		false
catchment_17	new catchment system zone 17		false
catchment_18	new catchment system zone 18		false
catchment_19	new catchment system zone 19		false
catchment_20	new catchment system zone 20		false
catchment_21	new catchment system zone 21		false
catchment_22	new catchment system zone 22		false
catchment_23	new catchment system zone 23		false
catchment_24	new catchment system zone 24		false
catchment_25	new catchment system zone 25		false
catchment_26	new catchment system zone 26		false
catchment_27	new catchment system zone 27		false
catchment_28	new catchment system zone 28		false
catchment_29	new catchment system zone 29		false
catchment_30	new catchment system zone 30		false
catchment_31	new catchment system zone 31		false
catchment_32	new catchment system zone 32		false
catchment_33	new catchment system zone 33		false
catchment_34	new catchment system zone 34		false
catchment_35	new catchment system zone 35		false
catchment_36	new catchment system zone 36		false
catchment_37	new catchment system zone 37		false
catchment_38	new catchment system zone 38		false
catchment_39	new catchment system zone 39		false
catchment_40	new catchment system zone 40		false
quest_battle_1	quest_battle_1: Optional Layer for quest battles	battle_scenario	false
quest_battle_2	quest_battle_2: Optional Layer for quest battles	battle_scenario	false
quest_battle_3	quest_battle_3: Optional Layer for quest battles	battle_scenario	false
quest_battle_default	quest_battle_default: Default Layer for quest battles	battle_scenario	true
razed_settlement_generic	Razed Settlement Layers	razed_settlements	false
settlement_level_1	settlement_level_1	settlement_levels	false
settlement_level_2	settlement_level_2	settlement_levels	false
settlement_level_3	settlement_level_3	settlement_levels	false
settlement_level_4	settlement_level_4	settlement_levels	false
settlement_level_default	settlement_level_default	settlement_levels	false
settlement_towers_default	settlement_towers_default	settlement_towers	true
settlement_towers_level_1	settlement_towers_level_1	settlement_towers	false
settlement_towers_level_2	settlement_towers_level_2	settlement_towers	false
settlement_towers_level_3	settlement_towers_level_3	settlement_towers	false
settlement_towers_prelude	settlement_towers_prelude	settlement_towers	false
sound	Sound layer		false
