key	resource
#slot_templates_tables;0;db/slot_templates_tables/data__	
horde_primary	
horde_secondary	
nakai_horde_primary	
nakai_horde_secondary	
wh2_dlc09_special_bhagar_primary	
wh2_dlc09_special_bhagar_secondary	res_gems
wh2_dlc09_special_black_tower_of_arkhan_secondary	
wh2_dlc09_special_ka_sabar_primary	
wh2_dlc09_special_ka_sabar_secondary	res_rom_oil
wh2_dlc09_special_numas_primary	
wh2_dlc09_special_numas_secondary	
wh2_dlc09_special_quatar_primary	
wh2_dlc09_special_quatar_secondary	
wh2_dlc09_special_zandri_primary	
wh2_dlc09_special_zandri_secondary	res_rom_textiles
wh2_dlc10_special_gaean_vale_primary	
wh2_dlc10_special_gaean_vale_secondary	res_animals
wh2_dlc12_underempire	
wh2_dlc12_underempire_laboratory	
wh2_dlc14_special_copher_port	
wh2_dlc14_special_dragon_isle_port	
wh2_dlc14_special_fyrus_secondary	
wh2_dlc14_special_gnoblar_country_flayed_rock_secondary	
wh2_dlc14_special_gnoblar_country_pigbarter_primary	
wh2_dlc14_special_gnoblar_country_pigbarter_secondary	res_spices
wh2_dlc14_special_the_broken_teeth_nagashizar_secondary	
wh2_dlc14_special_the_wolf_lands_crookback_mountain_primary	
wh2_dlc14_special_the_wolf_lands_crookback_mountain_secondary	res_rom_iron
wh2_dlc15_special_grom_peak_secondary	res_rom_oil
wh2_dlc15_special_morgheim_secondary	
wh2_dlc15_special_mount_arachnos_primary	
wh2_dlc15_special_mount_arachnos_secondary	res_animals
wh2_dlc15_special_tor_yvresse_primary	
wh2_dlc16_forest_of_gloom_secondary	
wh2_dlc16_gryphon_wood_secondary	
wh2_dlc16_sacred_pools_secondary	
wh2_dlc16_witchwood_secondary	
wh2_dlc17_mine_of_bearded_skulls_major_primary	
wh2_dlc17_mine_of_bearded_skulls_major_secondary	res_rom_iron
wh2_dlc17_silent_sanctum	
wh2_main_foreign	
wh2_main_human_major_secondary_animals	res_animals
wh2_main_human_major_secondary_gems	res_gems
wh2_main_human_major_secondary_medicine	res_medicine
wh2_main_human_major_secondary_obsidian	res_obsidian
wh2_main_human_major_secondary_spices	res_spices
wh2_main_human_minor_secondary_animals	res_animals
wh2_main_human_minor_secondary_gems	res_gems
wh2_main_human_minor_secondary_medicine	res_medicine
wh2_main_human_minor_secondary_obsidian	res_obsidian
wh2_main_human_minor_secondary_spices	res_spices
wh2_main_oreons_camp_secondary	
wh2_main_special_altar_of_ultimate_darkness_primary	
wh2_main_special_altar_of_ultimate_darkness_secondary	
wh2_main_special_axlotl_minor_primary	
wh2_main_special_axlotl_minor_secondary	res_rom_timber
wh2_main_special_castle_drachenfels_primary	
wh2_main_special_castle_drachenfels_secondary	res_rom_iron
wh2_main_special_chamber_of_visions_primary	
wh2_main_special_chamber_of_visions_secondary	res_medicine
wh2_main_special_clar_karond_primary	
wh2_main_special_clar_karond_secondary	res_rom_timber
wh2_main_special_def_vauls_anvil_primary	
wh2_main_special_def_vauls_anvil_secondary	
wh2_main_special_elven_colony_major_primary	res_location_colony
wh2_main_special_elven_colony_minor_primary	res_location_colony
wh2_main_special_empire_fort_primary	res_empire_fort
wh2_main_special_fallen_gates_primary	
wh2_main_special_fallen_gates_secondary	res_spices
wh2_main_special_fortress_gate_eagle_primary	res_fortress
wh2_main_special_fortress_gate_griffon_primary	res_fortress
wh2_main_special_fortress_gate_phoenix_primary	res_fortress
wh2_main_special_fortress_gate_secondary	res_fortress
wh2_main_special_fortress_gate_unicorn_primary	res_fortress
wh2_main_special_galbaraz_primary	
wh2_main_special_galbaraz_secondary	res_savage
wh2_main_special_galleons_graveyard_port	
wh2_main_special_galleons_graveyard_primary	
wh2_main_special_galleons_graveyard_secondary	
wh2_main_special_ghrond_primary	
wh2_main_special_ghrond_secondary	res_gold
wh2_main_special_golden_tower_of_the_gods_primary	
wh2_main_special_golden_tower_of_the_gods_secondary	
wh2_main_special_gor_gazan_primary	res_savage
wh2_main_special_gor_gazan_secondary	res_rom_iron
wh2_main_special_hag_graef_primary	
wh2_main_special_hag_graef_secondary	
wh2_main_special_har_ganeth_primary	
wh2_main_special_har_ganeth_secondary	
wh2_main_special_hef_vauls_anvil_primary	
wh2_main_special_hef_vauls_anvil_secondary	res_rom_iron
wh2_main_special_hellpit_primary	
wh2_main_special_hellpit_secondary	res_animals
wh2_main_special_hexoatl_primary	
wh2_main_special_hexoatl_secondary	res_gold
wh2_main_special_iron_rock_primary	
wh2_main_special_iron_rock_secondary	res_rom_iron
wh2_main_special_isle_of_wights_port	
wh2_main_special_itza_primary	
wh2_main_special_itza_secondary	res_gold
wh2_main_special_karag_orrud_primary	
wh2_main_special_karag_orrud_secondary	res_obsidian
wh2_main_special_karak_izor_primary	
wh2_main_special_karak_izor_secondary	
wh2_main_special_karak_zorn_primary	
wh2_main_special_karak_zorn_secondary	res_gold
wh2_main_special_karond_kar_primary	
wh2_main_special_karond_kar_secondary	
wh2_main_special_khemri_primary	
wh2_main_special_khemri_secondary	res_gold
wh2_main_special_konquata_primary	
wh2_main_special_kraka_drak_primary	
wh2_main_special_kraka_drak_secondary	res_gems
wh2_main_special_lahmia_primary	
wh2_main_special_lahmia_secondary	res_gems
wh2_main_special_laurelorn_forest_primary	
wh2_main_special_laurelorn_forest_secondary	
wh2_main_special_lothern_port	
wh2_main_special_lothern_primary	
wh2_main_special_lothern_secondary	
wh2_main_special_mousillon_primary	
wh2_main_special_mousillon_secondary	
wh2_main_special_naggarond_primary	
wh2_main_special_naggarond_secondary	res_rom_marble
wh2_main_special_oyxl_primary	
wh2_main_special_oyxl_secondary	res_animals
wh2_main_special_parravon_primary	
wh2_main_special_parravon_secondary	res_rom_marble
wh2_main_special_pyramid_of_nagash_primary	
wh2_main_special_pyramid_of_nagash_secondary	
wh2_main_special_quetza_primary	
wh2_main_special_quetza_secondary	
wh2_main_special_quintex_primary	
wh2_main_special_quintex_secondary	res_obsidian
wh2_main_special_salzenmund_primary	
wh2_main_special_salzenmund_secondary	res_rom_timber
wh2_main_special_sartosa_primary	
wh2_main_special_sartosa_secondary	res_rom_wine
wh2_main_special_shrine_of_asuryan_primary	
wh2_main_special_shrine_of_asuryan_secondary	
wh2_main_special_shrine_of_khaine_primary	
wh2_main_special_shrine_of_khaine_secondary	
wh2_main_special_shrine_of_sotek_secondary	res_dyes
wh2_main_special_skavenblight_primary	
wh2_main_special_skavenblight_secondary	
wh2_main_special_skeggi_primary_major	
wh2_main_special_skeggi_primary_minor	
wh2_main_special_skeggi_secondary_major	
wh2_main_special_skeggi_secondary_minor	
wh2_main_special_the_awakening_primary	
wh2_main_special_the_awakening_secondary	
wh2_main_special_tlaxtlan_primary	
wh2_main_special_tlaxtlan_secondary	
wh2_main_special_tor_achare_primary	
wh2_main_special_tor_achare_secondary	res_rom_furs
wh2_main_special_tor_anlec_primary	
wh2_main_special_tor_anlec_secondary	res_rom_marble
wh2_main_special_tor_anroc_primary	
wh2_main_special_tor_anroc_secondary	res_gold
wh2_main_special_tor_elyr_primary	
wh2_main_special_tor_elyr_secondary	res_rom_wine
wh2_main_special_tor_koruali_primary	
wh2_main_special_tor_koruali_secondary	res_rom_lead
wh2_main_special_tor_yvresse_primary	
wh2_main_special_tor_yvresse_secondary	res_rom_oil
wh2_main_special_tower_of_hoeth_primary	
wh2_main_special_tower_of_hoeth_secondary	
wh2_main_special_xlanhuapec_primary	
wh2_main_special_xlanhuapec_secondary	res_rom_iron
wh2_main_special_ziggurat_of_dawn_primary	
wh2_main_special_ziggurat_of_dawn_secondary	
wh2_main_special_zoishenk_primary	
wh2_main_special_zoishenk_secondary	
wh3_dlc20_brass_keep_primary	
wh3_dlc20_chaos_dark_fortress_primary	
wh3_dlc20_chaos_dark_fortress_secondary	
wh3_dlc20_chaos_fortress_secondary	res_rom_marble
wh3_dlc20_combi_special_bloodwind_keep_major_primary	
wh3_dlc20_combi_special_bloodwind_keep_secondary_ivory	res_ivory
wh3_dlc20_combi_special_the_crystal_spires_secondary	
wh3_dlc20_combi_special_the_writhing_fortress_secondary	
wh3_dlc20_special_aeslings_conclave_major_primary	
wh3_dlc20_special_aeslings_conclave_secondary	
wh3_dlc20_special_ashrak_major_primary	
wh3_dlc20_special_ashrak_major_secondary_obsidian	res_obsidian
wh3_dlc20_special_baersonlings_camp_major_primary	
wh3_dlc20_special_baersonlings_camp_secondary_iron	res_rom_iron
wh3_dlc20_special_bjornlings_gathering_major_primary	
wh3_dlc20_special_bjornlings_gathering_secondary	
wh3_dlc20_special_black_rock_major_primary	
wh3_dlc20_special_black_rock_secondary_obsidian	res_obsidian
wh3_dlc20_special_blood_haven_major_primary	
wh3_dlc20_special_blood_haven_secondary	
wh3_dlc20_special_brass_keep_secondary	res_dyes
wh3_dlc20_special_citadel_of_lead_major_primary	
wh3_dlc20_special_citadel_of_lead_major_secondary	
wh3_dlc20_special_city_of_splinters_major_primary	
wh3_dlc20_special_city_of_splinters_secondary	
wh3_dlc20_special_daemons_gate_major_primary	
wh3_dlc20_special_daemons_gate_secondary_obsidian	res_obsidian
wh3_dlc20_special_dagraks_end_secondary	
wh3_dlc20_special_doomkeep_major_primary	
wh3_dlc20_special_doomkeep_secondary_marble	res_rom_marble
wh3_dlc20_special_empire_fort_secondary	
wh3_dlc20_special_fortress_of_the_damned_major_primary	
wh3_dlc20_special_fortress_of_the_damned_secondary	
wh3_dlc20_special_frozen_landing_major_primary	
wh3_dlc20_special_frozen_landing_secondary	
wh3_dlc20_special_godless_crater_major_primary	
wh3_dlc20_special_godless_crater_secondary	res_rom_lead
wh3_dlc20_special_graeling_moot_major_primary	
wh3_dlc20_special_graeling_moot_secondary	
wh3_dlc20_special_icedrake_fjord_major_primary	
wh3_dlc20_special_icedrake_fjord_secondary	
wh3_dlc20_special_infernius_major_primary	
wh3_dlc20_special_ironfrost_major_primary	
wh3_dlc20_special_ironfrost_secondary	
