key	parent_set
#cai_query_variable_sets_tables;0;db/cai_query_variable_sets_tables/data__	
avg_settlement_level_high	
avg_settlement_level_low	
basic_bounds	
basic_random_bounds	
bounds_max_0	
bounds_max_0.1	
bounds_max_0.5	
bounds_max_0.6	
bounds_max_0.8	
bounds_max_0.95	
bounds_max_0.98	
bounds_max_10	
bounds_max_100	
bounds_max_1000	
bounds_max_10_rand_+5	
bounds_max_15	
bounds_max_15_rand_+5	
bounds_max_2	
bounds_max_20	
bounds_max_24	
bounds_max_25	
bounds_max_3	
bounds_max_30	
bounds_max_35	
bounds_max_40	
bounds_max_45	
bounds_max_49	
bounds_max_5	
bounds_max_74	
bounds_max_9	
bounds_min_-10_max_1	
bounds_min_0.01_max_1	
bounds_min_0.8	
bounds_min_0.95	
bounds_min_0_max_10	
bounds_min_0_max_20	
bounds_min_1	
bounds_min_10	
bounds_min_100	
bounds_min_1000	
bounds_min_10000	
bounds_min_14	
bounds_min_15	
bounds_min_15_max_35	
bounds_min_17	
bounds_min_19	
bounds_min_2	
bounds_min_20	
bounds_min_20_max_30	
bounds_min_20_max_40	
bounds_min_25	
bounds_min_25_max_45	
bounds_min_2_max_8	
bounds_min_3	
bounds_min_30	
bounds_min_300	
bounds_min_30000	
bounds_min_35	
bounds_min_35_max_55	
bounds_min_4	
bounds_min_40	
bounds_min_40_max_50	
bounds_min_40_max_60	
bounds_min_45	
bounds_min_45_max_65	
bounds_min_5	
bounds_min_50	
bounds_min_500	
bounds_min_50_max_70	
bounds_min_50_max_99	
bounds_min_55	
bounds_min_55_max_75	
bounds_min_5_max_25	
bounds_min_6	
bounds_min_60	
bounds_min_6000	
bounds_min_60_max_70	
bounds_min_60_max_80	
bounds_min_65	
bounds_min_65_max_85	
bounds_min_70	
bounds_min_70_max_90	
bounds_min_80	
bounds_min_80_max_100	
bounds_min_80_max_90	
bounds_similar_relative_strength	
cathay_compass_direction_bastion	
cathay_compass_direction_desert	
cathay_compass_direction_lake	
cathay_compass_direction_wrath	
cathay_compass_power_level_bounds	
enemy_army_present_range_1	
enemy_army_present_range_2	enemy_army_present_range_1
enemy_army_present_range_3	enemy_army_present_range_1
enemy_army_strength_present_range_1	
enemy_army_strength_this_region_weaker	
enemy_army_strong	
enemy_territory_range_0	
enemy_territory_range_1	enemy_territory_range_0
enemy_territory_range_2	enemy_territory_range_1
enemy_territory_range_3	enemy_territory_range_1
equals_0	
equals_1	
equals_2	
equals_3	
equals_4	
friendly_army_present_range_1	enemy_army_present_range_1
income_high	
long_random_bounds	
max_settlement_level_5	
military_force_low_on_meat	
most_specific_value_between_0_20_scaled	queried_domain_most_specific
most_specific_value_between_0_20_scaled_compass_bastion	most_specific_value_between_0_20_scaled
most_specific_value_between_0_20_scaled_compass_lake	most_specific_value_between_0_20_scaled
most_specific_value_between_0_20_scaled_compass_wrath	most_specific_value_between_0_20_scaled
most_specific_value_between_25_100_scaled	queried_domain_most_specific
most_specific_value_between_25_100_scaled_province_corruption_chaos	most_specific_value_between_25_100_scaled
most_specific_value_between_25_100_scaled_province_corruption_khorne	most_specific_value_between_25_100_scaled
most_specific_value_between_25_100_scaled_province_corruption_nurgle	most_specific_value_between_25_100_scaled
most_specific_value_between_25_100_scaled_province_corruption_skaven	most_specific_value_between_25_100_scaled
most_specific_value_between_25_100_scaled_province_corruption_slaanesh	most_specific_value_between_25_100_scaled
most_specific_value_between_25_100_scaled_province_corruption_tzeentch	most_specific_value_between_25_100_scaled
most_specific_value_between_25_100_scaled_province_corruption_vampire	most_specific_value_between_25_100_scaled
most_specific_value_min_50	queried_domain_most_specific
most_specific_value_min_50_province_corruption_chaos	most_specific_value_min_50
most_specific_value_min_50_province_corruption_khorne	most_specific_value_min_50
most_specific_value_min_50_province_corruption_nurgle	most_specific_value_min_50
most_specific_value_min_50_province_corruption_skaven	most_specific_value_min_50
most_specific_value_min_50_province_corruption_slaanesh	most_specific_value_min_50
most_specific_value_min_50_province_corruption_tzeentch	most_specific_value_min_50
most_specific_value_min_50_province_corruption_vampire	most_specific_value_min_50
nearby_deployed_ogre_camp	
ogre_camp_stance_min_1	
own_territory_range_0	enemy_territory_range_0
own_territory_range_1	enemy_territory_range_1
owned_by_enemy	
personality_region_group_identifier_1	
personality_region_group_identifier_2	
personality_region_group_identifier_3	
pooled_resource_belakor_gg_1_uses	
pooled_resource_belakor_gg_1_uses_min_1	pooled_resource_belakor_gg_1_uses
pooled_resource_belakor_gg_2_uses	
pooled_resource_belakor_gg_2_uses_min_1	pooled_resource_belakor_gg_2_uses
pooled_resource_belakor_gg_3_uses	
pooled_resource_belakor_gg_3_uses_min_1	pooled_resource_belakor_gg_3_uses
pooled_resource_bloodkisses	
pooled_resource_bloodkisses_min12	pooled_resource_bloodkisses
pooled_resource_champions_essence	
pooled_resource_chd_armaments	
pooled_resource_chd_armaments_min200	pooled_resource_chd_armaments
pooled_resource_chd_armaments_min400	pooled_resource_chd_armaments
pooled_resource_chd_armaments_min600	pooled_resource_chd_armaments
pooled_resource_chd_armaments_scaled_0_to_800	pooled_resource_chd_armaments
pooled_resource_chd_conclaveinfluence	
pooled_resource_chd_conclaveinfluence_min150	pooled_resource_chd_conclaveinfluence
pooled_resource_chd_conclaveinfluence_min300	pooled_resource_chd_conclaveinfluence
pooled_resource_chd_raw_materials	
pooled_resource_chd_raw_materials_min1500	pooled_resource_chd_raw_materials
pooled_resource_chd_raw_materials_min500	pooled_resource_chd_raw_materials
pooled_resource_chs_souls	
pooled_resource_chs_souls_bounds_min1000	pooled_resource_chs_souls
pooled_resource_chs_souls_bounds_min2000	pooled_resource_chs_souls
pooled_resource_chs_souls_bounds_min500	pooled_resource_chs_souls
pooled_resource_def_slaves	
pooled_resource_def_slaves_min1000	pooled_resource_def_slaves
pooled_resource_devotees	
pooled_resource_devotees_bounds_min1000	pooled_resource_devotees
pooled_resource_emp_arcane_essays	
pooled_resource_emp_arcane_essays_bounds_min2000	pooled_resource_emp_arcane_essays
pooled_resource_enter_realm	
pooled_resource_enter_realm_min1	pooled_resource_enter_realm
pooled_resource_grimoires	
pooled_resource_grimoires_bounds_min120	pooled_resource_grimoires
pooled_resource_grimoires_bounds_min200	pooled_resource_grimoires_bounds_min120
pooled_resource_nur_infections	
pooled_resource_nur_infections_bounds_min200	pooled_resource_nur_infections
pooled_resource_nur_infections_bounds_min400	pooled_resource_nur_infections
pooled_resource_nur_infections_bounds_min600	pooled_resource_nur_infections
pooled_resource_ogre_meat	
pooled_resource_ogre_meat_bounds_min300	pooled_resource_ogre_meat
pooled_resource_ogre_meat_bounds_min60	pooled_resource_ogre_meat
pooled_resource_old_ones_favour	
pooled_resource_old_ones_favour_500	pooled_resource_old_ones_favour
pooled_resource_old_ones_favour_800	pooled_resource_old_ones_favour_500
pooled_resource_province_corruption_chaos	
pooled_resource_province_corruption_khorne	
pooled_resource_province_corruption_nurgle	
pooled_resource_province_corruption_skaven	
pooled_resource_province_corruption_slaanesh	
pooled_resource_province_corruption_tzeentch	
pooled_resource_province_corruption_vampire	
pooled_resource_province_labour	
pooled_resource_province_labour_max_200	pooled_resource_province_labour
pooled_resource_skaven_food	
pooled_resource_skaven_food_min40	pooled_resource_skaven_food
pooled_resource_skulls	
public_order_low	
public_order_negative	
queried_domain_most_specific	
queried_domain_most_specific_min_100	queried_domain_most_specific
queried_domain_source	
queried_domain_source_faction_feature_primary	queried_domain_source
queried_domain_source_to_most_specific	
queried_domain_source_to_most_specific_ally	queried_domain_source_to_most_specific
queried_domain_source_to_most_specific_enemy	queried_domain_source_to_most_specific
queried_domain_source_to_most_specific_recent_warning	queried_domain_source_to_most_specific
queried_domain_source_to_most_specific_self	queried_domain_source_to_most_specific
queried_domain_source_to_target	
queried_domain_source_to_target_bounds_max-15	queried_domain_source_to_target
queried_domain_source_to_target_bounds_max-35	queried_domain_source_to_target
queried_domain_source_to_target_bounds_max_0.3	queried_domain_source_to_target
queried_domain_source_to_target_bounds_max_50	queried_domain_source_to_target
queried_domain_source_to_target_bounds_min_0	queried_domain_source_to_most_specific
queried_domain_source_to_target_bounds_min_0.7	queried_domain_source_to_target
queried_domain_source_to_target_bounds_min_300	queried_domain_source_to_target
queried_domain_source_to_target_enemy	queried_domain_source_to_target
queried_domain_source_to_target_scaled_0_300	queried_domain_source_to_target
queried_domain_source_to_target_scaled_50_300	queried_domain_source_to_target
queried_domain_source_value_between_-3_0_scaled	queried_domain_source
queried_domain_source_value_between_-3_0_scaled_faction_shared_state_relative_souls	queried_domain_source_value_between_-3_0_scaled
queried_domain_source_value_between_0_100_scaled	queried_domain_source
queried_domain_source_value_between_0_4	
queried_domain_source_value_between_0_5_scaled	queried_domain_source
queried_domain_source_value_between_10_30_scaled	queried_domain_source
queried_domain_source_value_between_10_40_scaled	queried_domain_source
queried_domain_source_value_between_10_60_scaled	queried_domain_source
queried_domain_source_value_between_1_3_scaled	queried_domain_source
queried_domain_source_value_between_1_3_scaled_shared_state_players_absolute_souls	queried_domain_source_value_between_1_3_scaled
queried_domain_source_value_faction_shared_state_chaos_dwarf_outpost_ratio	queried_domain_source
queried_domain_source_value_faction_shared_state_chaos_dwarf_tower_ratio	queried_domain_source
queried_domain_source_value_minimum_1	queried_domain_source
queried_domain_source_value_minimum_1_faction_shared_state_finished_realm_khorne	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_faction_shared_state_finished_realm_nurgle	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_faction_shared_state_finished_realm_slaanesh	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_faction_shared_state_finished_realm_tzeentch	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_faction_shared_state_is_an_ally_in_realm_khorne	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_faction_shared_state_is_an_ally_in_realm_nurgle	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_faction_shared_state_is_an_ally_in_realm_slaanesh	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_faction_shared_state_is_an_ally_in_realm_tzeentch	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_ai_factions_in_realm_khorne	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_ai_factions_in_realm_nurgle	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_ai_factions_in_realm_slaanesh	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_ai_factions_in_realm_tzeentch	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_collected_soul_this_cycle	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_game_is_won	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_is_toz_tier_2_unlocked	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_is_toz_tier_3_unlocked	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_player_is_in_a_realm	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_player_is_in_realm_khorne	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_player_is_in_realm_nurgle	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_player_is_in_realm_slaanesh	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_1_shared_state_player_is_in_realm_tzeentch	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_4	queried_domain_source_value_minimum_1
queried_domain_source_value_minimum_4_faction_shared_state_finished_all_realms	queried_domain_source_value_minimum_4
queried_domain_target	
queried_domain_target_in_region_group_bay_of_blades	queried_domain_target
queried_domain_target_in_region_group_cathay_shouldnt_enter	queried_domain_target
queried_domain_target_in_region_group_chaos_always_raze	queried_domain_target
queried_domain_target_in_region_group_dark_fortress	queried_domain_target
queried_domain_target_in_region_group_kislev_major_cities	queried_domain_target
queried_domain_target_in_region_group_woodelf_forest	queried_domain_target
queried_domain_target_region_group_rift_target_antichaos	queried_domain_target
queried_domain_target_region_group_rift_target_chaos	queried_domain_target
queried_domain_target_region_hint_capture_if_owned_by_another_subcultured	queried_domain_target
queried_domain_target_to_third_party	
queried_domain_target_to_third_party_bounds_0_and_above	queried_domain_target_to_third_party
queried_domain_target_to_third_party_min-150_max0	queried_domain_target_to_third_party
queried_domain_target_value_maximum_1	queried_domain_target
queried_domain_third_party	
queried_domain_third_party_to_target	
queried_domain_third_party_to_target_0_200_scaled	queried_domain_third_party_to_target
queried_domain_third_party_to_target_min_200	queried_domain_third_party_to_target
recent_accept_decision_in_trespass_warning	
region_group_cathay_bastion	
region_hint_capture_if_owned_by_another_subcultured	
scaled_combat_potential	
scaled_combat_potential_range_1	scaled_combat_potential
source_bounds_max_0.5	bounds_max_0.5
source_own_territory_range_1	own_territory_range_1
source_pooled_resource_champions_essence_min100	pooled_resource_champions_essence
source_pooled_resource_champions_essence_min1600	pooled_resource_champions_essence
source_pooled_resource_champions_essence_min200	pooled_resource_champions_essence
source_pooled_resource_champions_essence_min3200	pooled_resource_champions_essence
source_pooled_resource_champions_essence_min400	pooled_resource_champions_essence
source_pooled_resource_champions_essence_min50	pooled_resource_champions_essence
source_pooled_resource_champions_essence_min800	pooled_resource_champions_essence
