order	type	name_group	optional_language
#name_orders_tables;0;db/name_orders_tables/data__			
0	clan_name	names_brt_bretonnia	
0	clan_name	names_bst_beastmen	
0	clan_name	names_chd_bull_centaurs	
0	clan_name	names_chd_chaos_dwarfs	
0	clan_name	names_chd_hobgoblins	
0	clan_name	names_chs_chaos	
0	clan_name	names_cst_vampire_coast	
0	clan_name	names_cth_cathay	
0	clan_name	names_cth_cathay	cn
0	clan_name	names_cth_cathay	kr
0	clan_name	names_cth_cathay	zh
0	clan_name	names_def_dark_elves	
0	clan_name	names_dwf_dwarfs	
0	clan_name	names_emp_empire	
0	clan_name	names_grn_greenskins	
0	clan_name	names_hef_high_elves	
0	clan_name	names_kho_khorne	
0	clan_name	names_kho_khorne_summoned_army	
0	clan_name	names_ksl_kislev	
0	clan_name	names_ksl_kislev_pro	
0	clan_name	names_lzd_lizardmen	
0	clan_name	names_nor_norsca	
0	clan_name	names_nur_nurgle	
0	clan_name	names_ogr_ogre_kingdom	
0	clan_name	names_skv_skaven	
0	clan_name	names_sla_slaanesh	
0	clan_name	names_teb_tilea	
0	clan_name	names_tmb_tomb_kings	
0	clan_name	names_tze_tzeentch	
0	clan_name	names_vmp_vampire_counts	
0	clan_name	names_wef_wood_elves	
1	family_name	names_cth_cathay	cn
1	family_name	names_cth_cathay	kr
1	family_name	names_cth_cathay	zh
2	family_name	names_brt_bretonnia	
2	family_name	names_bst_beastmen	
2	family_name	names_chd_bull_centaurs	
2	family_name	names_chd_chaos_dwarfs	
2	family_name	names_chd_hobgoblins	
2	family_name	names_chs_chaos	
2	family_name	names_cst_vampire_coast	
2	family_name	names_cth_cathay	
2	family_name	names_def_dark_elves	
2	family_name	names_dwf_dwarfs	
2	family_name	names_emp_empire	
2	family_name	names_grn_greenskins	
2	family_name	names_hef_high_elves	
2	family_name	names_kho_khorne	
2	family_name	names_kho_khorne_summoned_army	
2	family_name	names_ksl_kislev	
2	family_name	names_ksl_kislev_pro	
2	family_name	names_lzd_lizardmen	
2	family_name	names_nor_norsca	
2	family_name	names_nur_nurgle	
2	family_name	names_ogr_ogre_kingdom	
2	family_name	names_skv_skaven	
2	family_name	names_sla_slaanesh	
2	family_name	names_teb_tilea	
2	family_name	names_tmb_tomb_kings	
2	family_name	names_tze_tzeentch	
2	family_name	names_vmp_vampire_counts	
2	family_name	names_wef_wood_elves	
1	forename	names_brt_bretonnia	
1	forename	names_bst_beastmen	
1	forename	names_chd_bull_centaurs	
1	forename	names_chd_chaos_dwarfs	
1	forename	names_chd_hobgoblins	
1	forename	names_chs_chaos	
1	forename	names_cst_vampire_coast	
1	forename	names_cth_cathay	
1	forename	names_def_dark_elves	
1	forename	names_dwf_dwarfs	
1	forename	names_emp_empire	
1	forename	names_grn_greenskins	
1	forename	names_hef_high_elves	
1	forename	names_kho_khorne	
1	forename	names_kho_khorne_summoned_army	
1	forename	names_ksl_kislev	
1	forename	names_ksl_kislev_pro	
1	forename	names_lzd_lizardmen	
1	forename	names_nor_norsca	
1	forename	names_nur_nurgle	
1	forename	names_ogr_ogre_kingdom	
1	forename	names_skv_skaven	
1	forename	names_sla_slaanesh	
1	forename	names_teb_tilea	
1	forename	names_tmb_tomb_kings	
1	forename	names_tze_tzeentch	
1	forename	names_vmp_vampire_counts	
1	forename	names_wef_wood_elves	
2	forename	names_cth_cathay	cn
2	forename	names_cth_cathay	kr
2	forename	names_cth_cathay	zh
3	other	names_brt_bretonnia	
3	other	names_bst_beastmen	
3	other	names_chd_bull_centaurs	
3	other	names_chd_chaos_dwarfs	
3	other	names_chd_hobgoblins	
3	other	names_chs_chaos	
3	other	names_cst_vampire_coast	
3	other	names_cth_cathay	
3	other	names_cth_cathay	cn
3	other	names_cth_cathay	kr
3	other	names_cth_cathay	zh
3	other	names_def_dark_elves	
3	other	names_dwf_dwarfs	
3	other	names_emp_empire	
3	other	names_grn_greenskins	
3	other	names_hef_high_elves	
3	other	names_kho_khorne	
3	other	names_kho_khorne_summoned_army	
3	other	names_ksl_kislev	
3	other	names_ksl_kislev_pro	
3	other	names_lzd_lizardmen	
3	other	names_nor_norsca	
3	other	names_nur_nurgle	
3	other	names_ogr_ogre_kingdom	
3	other	names_skv_skaven	
3	other	names_sla_slaanesh	
3	other	names_teb_tilea	
3	other	names_tmb_tomb_kings	
3	other	names_tze_tzeentch	
3	other	names_vmp_vampire_counts	
3	other	names_wef_wood_elves	
