bonus_value_id	effect	siege_item
#effect_bonus_value_siege_item_junctions_tables;0;db/effect_bonus_value_siege_item_junctions_tables/data__		
siege_item_allowed	wh2_dlc09_effect_siege_engine_number_tmb_battering_ram	tmb_battering_ram
siege_item_enabled	wh2_dlc09_effect_siege_engine_number_tmb_battering_ram	tmb_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_dlc09_effect_siege_engine_number_tmb_battering_ram	tmb_battering_ram
siege_item_allowed	wh2_dlc09_effect_siege_engine_number_tmb_siege_tower	tmb_siege_tower
siege_item_enabled	wh2_dlc09_effect_siege_engine_number_tmb_siege_tower	tmb_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_dlc09_effect_siege_engine_number_tmb_siege_tower	tmb_siege_tower
siege_item_allowed	wh2_dlc11_effect_siege_engine_number_cst_battering_ram	cst_battering_ram
siege_item_enabled	wh2_dlc11_effect_siege_engine_number_cst_battering_ram	cst_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_dlc11_effect_siege_engine_number_cst_battering_ram	cst_battering_ram
siege_item_allowed	wh2_dlc11_effect_siege_engine_number_cst_siege_tower	cst_siege_tower
siege_item_enabled	wh2_dlc11_effect_siege_engine_number_cst_siege_tower	cst_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_dlc11_effect_siege_engine_number_cst_siege_tower	cst_siege_tower
siege_item_allowed	wh2_main_effect_siege_engine_number_def_battering_ram	def_battering_ram
siege_item_enabled	wh2_main_effect_siege_engine_number_def_battering_ram	def_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_def_battering_ram	def_battering_ram
siege_item_allowed	wh2_main_effect_siege_engine_number_def_siege_tower	def_siege_tower
siege_item_enabled	wh2_main_effect_siege_engine_number_def_siege_tower	def_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_def_siege_tower	def_siege_tower
siege_item_allowed	wh2_main_effect_siege_engine_number_hef_battering_ram	hef_battering_ram
siege_item_enabled	wh2_main_effect_siege_engine_number_hef_battering_ram	hef_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_hef_battering_ram	hef_battering_ram
siege_item_allowed	wh2_main_effect_siege_engine_number_hef_siege_tower	hef_siege_tower
siege_item_enabled	wh2_main_effect_siege_engine_number_hef_siege_tower	hef_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_hef_siege_tower	hef_siege_tower
siege_item_allowed	wh2_main_effect_siege_engine_number_lzd_battering_ram	lzd_battering_ram
siege_item_enabled	wh2_main_effect_siege_engine_number_lzd_battering_ram	lzd_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_lzd_battering_ram	lzd_battering_ram
siege_item_allowed	wh2_main_effect_siege_engine_number_lzd_siege_tower	lzd_siege_tower
siege_item_enabled	wh2_main_effect_siege_engine_number_lzd_siege_tower	lzd_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_lzd_siege_tower	lzd_siege_tower
siege_item_allowed	wh2_main_effect_siege_engine_number_skv_battering_ram	skv_battering_ram
siege_item_enabled	wh2_main_effect_siege_engine_number_skv_battering_ram	skv_battering_ram
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_skv_battering_ram	skv_battering_ram
siege_item_allowed	wh2_main_effect_siege_engine_number_skv_siege_tower	skv_siege_tower
siege_item_enabled	wh2_main_effect_siege_engine_number_skv_siege_tower	skv_siege_tower
siege_item_number_of_vehicles_per_construction_item	wh2_main_effect_siege_engine_number_skv_siege_tower	skv_siege_tower
