art_set	fullbody_composite_scene_filepath
#campaign_character_art_set_porthole_overrides_tables;0;db/campaign_character_art_set_porthole_overrides_tables/data__	
wh2_main_art_set_lzd_lord_mazdamundi	composite_scene\porthole\lord_mazdanundi_porthole_idle_01.csc
wh2_main_art_set_lzd_slann_mage_priest_01	composite_scene\porthole\slann_mage_priest_light_porthole_idle_01.csc
wh2_main_art_set_lzd_slann_mage_priest_01_horde	composite_scene\porthole\slann_mage_priest_light_porthole_idle_01.csc
wh2_main_art_set_lzd_slann_mage_priest_02	composite_scene\porthole\slann_mage_priest_fire_porthole_idle_01.csc
wh2_main_art_set_lzd_slann_mage_priest_02_horde	composite_scene\porthole\slann_mage_priest_fire_porthole_idle_01.csc
wh2_main_art_set_lzd_slann_mage_priest_03	composite_scene\porthole\slann_mage_priest_life_porthole_idle_01.csc
wh2_main_art_set_lzd_slann_mage_priest_03_horde	composite_scene\porthole\slann_mage_priest_life_porthole_idle_01.csc
wh2_main_art_set_lzd_slann_mage_priest_04	composite_scene\porthole\slann_mage_priest_high_porthole_idle_01.csc
wh2_main_art_set_lzd_slann_mage_priest_04_horde	composite_scene\porthole\slann_mage_priest_high_porthole_idle_01.csc
wh2_main_art_set_lzd_slann_mage_priest_05	composite_scene\porthole\slann_mage_priest_heavens_porthole_idle_01.csc
wh3_main_art_set_nur_kugath	composite_scene/lord_selection/nurgle/plaguefather.csc
wh_dlc05_art_set_wef_durthu	composite_scene\porthole\durthu_porthole_01.csc
