key	icon	sort_order	show_in_ui	audio_switch	colour_hex
#building_sets_tables;5;db/building_sets_tables/data__					
wh2_dlc09_set_brt_dyes_pottery	placeholder	0	false		FFFFFF
wh2_dlc09_set_brt_iron_gold_mines	placeholder	0	false		FFFFFF
wh2_dlc09_set_brt_stables_pastures	placeholder	0	false		FFFFFF
wh2_dlc09_set_brt_timber	placeholder	0	false		FFFFFF
wh2_dlc09_set_tomb_kings_basic_infra	placeholder	0	false		FFFFFF
wh2_dlc09_set_tomb_kings_cavalry	placeholder	0	false		FFFFFF
wh2_dlc09_set_tomb_kings_chariots	placeholder	0	false		FFFFFF
wh2_dlc09_set_tomb_kings_constructs	placeholder	0	false		FFFFFF
wh2_dlc09_set_tomb_kings_defence	UI/Buildings/Icons/tomb_kings_cat_defence.png	6	true	Defence	5B492F
wh2_dlc09_set_tomb_kings_economy	placeholder	0	false		FFFFFF
wh2_dlc09_set_tomb_kings_estate_citadel	placeholder	0	false		FFFFFF
wh2_dlc09_set_tomb_kings_garrison	placeholder	0	false		FFFFFF
wh2_dlc09_set_tomb_kings_infantry	placeholder	0	false		FFFFFF
wh2_dlc09_set_tomb_kings_infrastructure	UI/Buildings/Icons/tomb_kings_cat_infrastructure.png	7	true	Infrastructure	3E4739
wh2_dlc09_set_tomb_kings_military_recruitment	UI/Buildings/Icons/tomb_kings_cat_basic_military.png	4	true	Military_Recruitment	781414
wh2_dlc09_set_tomb_kings_military_support	UI/Buildings/Icons/tomb_kings_cat_advanced_military.png	5	true	Advanced_Military	4B4158
wh2_dlc09_set_tomb_kings_recruitment	placeholder	0	false		FFFFFF
wh2_dlc11_set_dwarf_slayer	placeholder	0	false		FFFFFF
wh2_dlc11_set_greenskin_settlement	placeholder	0	false		FFFFFF
wh2_dlc11_set_hef_shrine_of_khaine	placeholder	0	false		FFFFFF
wh2_dlc11_set_newhorde_cst	placeholder	0	false		FFFFFF
wh2_dlc11_set_ship_unique	UI/Buildings/Icons/vampire_coast_cat_ship_unique.png	4	true	Infrastructure	64143C
wh2_dlc11_set_vampire_coast_defence	UI/Buildings/Icons/vampire_coast_cat_defence.png	5	true	Defence	5B492F
wh2_dlc11_set_vampire_coast_foreign_1	UI/Buildings/Icons/vampire_coast_cat_smuggling_trade.png	0	true	Infrastructure	3E4739
wh2_dlc11_set_vampire_coast_foreign_2	UI/Buildings/Icons/vampire_coast_cat_murder_corruption.png	0	true	Infrastructure	3E4739
wh2_dlc11_set_vampire_coast_infrastructure	UI/Buildings/Icons/vampire_coast_cat_civic.png	6	true	Infrastructure	3E4739
wh2_dlc11_set_vampire_coast_military_recruitment	UI/Buildings/Icons/vampire_coast_cat_recruitment.png	3	true	Military_Recruitment	781414
wh2_dlc11_set_vampire_coast_military_support	UI/Buildings/Icons/vampire_coast_cat_support.png	4	true	Advanced_Military	4B4158
wh2_dlc11_set_vampire_coast_noncoastal_gdp_buildings	placeholder	0	true		FFFFFF
wh2_dlc11_set_vampire_coast_ship_extra	UI/Buildings/Icons/vampire_coast_cat_ship_structure.png	3	true	Infrastructure	3E4739
wh2_dlc11_set_vampire_coast_ship_recruitment	UI/Buildings/Icons/vampire_coast_cat_recruitment.png	2	true	Military_Recruitment	781414
wh2_dlc11_set_vampire_coast_ship_settlement	placeholder	0	true	Infrastructure	3E3D38
wh2_dlc11_set_vampire_lair	placeholder	0	false		FFFFFF
wh2_dlc11_set_vmp_binding_circle	placeholder	0	false		FFFFFF
wh2_dlc11_set_vmp_forest	placeholder	0	false		FFFFFF
wh2_dlc12_set_lizardmen_skink	placeholder	0	false		FFFFFF
wh2_dlc12_set_skaven_engineering	placeholder	0	false		FFFFFF
wh2_dlc12_set_skaven_foreign_annexation	UI/Buildings/Icons/skaven_cat_under_empire_annexation.png	2	true	Infrastructure	755143
wh2_dlc12_set_skaven_foreign_discovery	UI/Buildings/Icons/skaven_cat_under_empire_discovery.png	3	true	Infrastructure	756B43
wh2_dlc12_set_skaven_foreign_food	UI/Buildings/Icons/skaven_cat_under_empire_food.png	4	true	Resource	485549
wh2_dlc12_set_skaven_foreign_money	UI/Buildings/Icons/skaven_cat_under_empire_money.png	5	true	Resource	4D6373
wh2_dlc12_set_skaven_foreign_settlement	UI/Buildings/Icons/skaven_cat_under_empire_settlement.png	1	true	Infrastructure	464646
wh2_dlc12_set_skaven_foreign_warpstone	UI/Buildings/Icons/skaven_cat_under_empire_warpstone.png	6	true	Resource	714D73
wh2_dlc13_set_lizardmen_horde_advanced	UI/Buildings/Icons/lizardmen_cat_support.png	3	true	Advanced_Military	4B4158
wh2_dlc13_set_lizardmen_horde_recruitment	UI/Buildings/Icons/lizardmen_cat_recruitment.png	2	true	Military_Recruitment	781414
wh2_dlc13_set_lizardmen_horde_settlement	placeholder	0	true	Landmark	3E3D38
wh2_dlc13_set_lizardmen_horde_support	UI/Buildings/Icons/lizardmen_cat_civic.png	4	true	Infrastructure	3E4739
wh2_dlc15_set_hef_mages	placeholder	0	true		FFFFFF
wh2_dlc16_set_skaven_monsters	placeholder	0	true		FFFFFF
wh2_dlc17_set_lzd_foreign_armory	UI/Buildings/Icons/lizardmen_cat_sanctum_armory.png	3	true		A95718
wh2_dlc17_set_lzd_foreign_operations	UI/Buildings/Icons/lizardmen_cat_sanctum_operations.png	2	true		446C3A
wh2_dlc17_set_lzd_foreign_sanctum	UI/Buildings/Icons/lizardmen_cat_sanctum_sanctum.png	1	true		7B6A84
wh2_dlc17_set_newhorde_beastmen_1	placeholder	0	true		FFFFFF
wh2_dlc17_set_newhorde_beastmen_2	placeholder	0	true		FFFFFF
wh2_dlc17_set_newhorde_beastmen_3	placeholder	0	true		FFFFFF
wh2_main_set_black_ark	placeholder	0	true	Province_Capital	3E3D38
wh2_main_set_brt_barracks	placeholder	0	false		FFFFFF
wh2_main_set_brt_coastal	placeholder	0	false		FFFFFF
wh2_main_set_brt_grail	placeholder	0	false		FFFFFF
wh2_main_set_darkelf_defence	UI/Buildings/Icons/dark_elves_cat_defence.png	6	true	Defence	5B492F
wh2_main_set_darkelf_infrastructure	UI/Buildings/Icons/dark_elves_cat_civic.png	7	true	Infrastructure	3E4739
wh2_main_set_darkelf_military_recruitment	UI/Buildings/Icons/dark_elves_cat_recruitment.png	4	true	Military_Recruitment	781414
