campaign_group	slot_set
#campaign_group_agent_action_foreign_slots_tables;0;db/campaign_group_agent_action_foreign_slots_tables/data__	
wh2_dlc11_agent_action_establish_pirate_cove	wh2_dlc11_slot_set_pirate_cove
wh2_dlc12_agent_action_expand_underempire	wh2_dlc12_slot_set_underempire
wh2_dlc12_agent_action_expand_underempire_unique	wh2_dlc12_slot_set_underempire_unique
wh2_dlc24_agent_action_infiltrate_cults_unique	wh3_dlc24_slot_set_tze_changeling
wh3_main_agent_action_establish_cult_kho	wh3_main_slot_set_kho_cult
wh3_main_agent_action_establish_cult_magus_kho	wh3_main_slot_set_kho_cult_magus
wh3_main_agent_action_establish_cult_magus_nur	wh3_main_slot_set_nur_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_exquisite_pain	wh3_main_slot_set_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_keepers_of_bliss	wh3_main_slot_set_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_masque_of_slaanesh	wh3_main_slot_set_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_rapturous_excess	wh3_main_slot_set_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_seducers_of_slaanesh	wh3_main_slot_set_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_sla_subtle_torture	wh3_main_slot_set_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_slaanesh	wh3_main_slot_set_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_slaanesh_invasion	wh3_main_slot_set_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_slaanesh_rebels	wh3_main_slot_set_sla_cult_magus
wh3_main_agent_action_establish_cult_magus_sla_the_tormentors	wh3_dlc27_slot_set_sla_cult_magus_dechala
wh3_main_agent_action_establish_cult_magus_tze	wh3_main_slot_set_tze_cult_magus
wh3_main_agent_action_establish_cult_nur	wh3_main_slot_set_nur_cult
wh3_main_agent_action_establish_cult_sla_exquisite_pain	wh3_main_slot_set_sla_cult
wh3_main_agent_action_establish_cult_sla_keepers_of_bliss	wh3_main_slot_set_sla_cult
wh3_main_agent_action_establish_cult_sla_masque_of_slaanesh	wh3_main_slot_set_sla_cult
wh3_main_agent_action_establish_cult_sla_rapturous_excess	wh3_main_slot_set_sla_cult
wh3_main_agent_action_establish_cult_sla_seducers_of_slaanesh	wh3_main_slot_set_sla_cult
wh3_main_agent_action_establish_cult_sla_sla_subtle_torture	wh3_main_slot_set_sla_cult
wh3_main_agent_action_establish_cult_sla_slaanesh	wh3_main_slot_set_sla_cult
wh3_main_agent_action_establish_cult_sla_slaanesh_invasion	wh3_main_slot_set_sla_cult
wh3_main_agent_action_establish_cult_sla_slaanesh_rebels	wh3_main_slot_set_sla_cult
wh3_main_agent_action_establish_cult_sla_the_tormentors	wh3_dlc27_slot_set_sla_cult_dechala
wh3_main_agent_action_establish_cult_tze	wh3_main_slot_set_tze_cult
