campaign_group	composite_scene
#campaign_region_transformation_composite_scenes_tables;0;db/campaign_region_transformation_composite_scenes_tables/data__	
wh_dlc03_stance_csc_beastmen	campaign_region_transform_evil
wh_dlc08_stance_csc_norsca	campaign_region_transform_evil
wh_main_stance_csc_chaos	campaign_region_transform_evil
wh_main_stance_csc_greenskins	campaign_region_transform_evil
wh_dlc05_stance_csc_woodelves	campaign_region_transform_good
wh_main_stance_csc_bretonnia	campaign_region_transform_good
wh_main_stance_csc_dwarfs	campaign_region_transform_good
wh_main_stance_csc_empire	campaign_region_transform_good
wh_main_stance_csc_vampire_counts	campaign_region_transform_vampire
