key	battle_sound_event_start	battle_sound_event_stop	campaign_sound_event_start	campaign_sound_event_stop	average_position	tracked	scale	reverb	max_distance	group_sound	battle_limitation	campaign_limitation	battle_limitation_scale	campaign_limitation_scale
#audio_vfx_sounds_tables;1;db/audio_vfx_sounds_tables/data__														
EMPTY_SOUND_RECORD					false	false	false	false	0.0000		default	default	1.0000	1.0000
Magic_Persistent_Corpse_Cart	BAT_IND_Magic_Persistent_DLC21_Corpse_Cart_Loop_Play	BAT_IND_Magic_Persistent_DLC21_Corpse_Cart_Loop_Stop			false	true	false	false	40.0000		default	default	1.0000	1.0000
Magic_Persistent_Generic_Weapon_Glow_Cam	Battle_IND_Magic_Persistent_VFX_KnightsOfTheLionhearted_Weapon_Glow_Start	Battle_IND_Magic_Persistent_VFX_KnightsOfTheLionhearted_Weapon_Glow_Stop	Campaign_IND_Magic_Persistent_VFX_Skollden_Sword_Start	Campaign_IND_Magic_Persistent_VFX_Skollden_Sword_Stop	false	true	false	false	30.0000		magic_tiny	default	1.0000	1.0000
Magic_Persistent_Ghorst_Corpse_Cart_Cam			CAM_IND_Magic_Persistent_DLC21_Corpse_Cart_Loop_Play	CAM_IND_Magic_Persistent_DLC21_Corpse_Cart_Loop_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
Magic_Persistent_Volkmar_Hammer_Cam			Campaign_IND_Magic_Persistent_VFX_Skollden_Sword_Start	Campaign_IND_Magic_Persistent_VFX_Skollden_Sword_Stop	false	true	false	false	30.0000		default	default	1.0000	1.0000
VFX_Cine_Jade_Dragon_Dragon_Shimmer_Trail	Battle_Individual_Cinematic_Kit_Yuan_Bo_Jade_Dragon_Dragon_Shimmer_Loop_Start	Battle_Individual_Cinematic_Kit_Yuan_Bo_Jade_Dragon_Dragon_Shimmer_Loop_Stop			true	true	false	true	100.0000	wh3_dlc24_cine_jade_dragon_dragon_shimmer_trail	default	default	1.0000	1.0000
VFX_Environment_Battle_Alttar_Of_Battle_Lightning_Bolt	Battle_Environment_Altar_Of_Battle_Lightning				false	false	false	false	4000.0000		thunder	default	1.0000	1.0000
VFX_Environment_Battle_Box_Dust	Battle_Environment_Tomb_Kings_Generic_Gust_Sand_Loop_Play	Battle_Environment_Tomb_Kings_Generic_Gust_Sand_Loop_Stop			false	true	false	false	100.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Element_Fire_Cauldron	Battle_Environment_Element_Fire_Cauldron_Small_Play	Battle_Environment_Element_Fire_Cauldron_Small_Stop			false	false	false	false	75.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Element_Fire_Volcano_Erupt	Battle_Environment_Element_Fire_Volcano_Erupt_Oneshot				false	false	false	false	3000.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Element_Lightning_Large	Battle_Environment_Element_Large_Lightning_Start	Battle_Environment_Element_Large_Lightning_Stop			true	false	false	false	3000.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Element_Skaven_Meteor_Impacts	Battle_Environment_DLC12_Skaven_QB_Storm_Daemon_Meteor_Impact_Play	Battle_Environment_DLC12_Skaven_QB_Storm_Daemon_Meteor_Impact_Stop			false	true	false	false	3000.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Element_Skaven_Meteor_Trails	Battle_Environment_DLC12_Skaven_QB_Storm_Daemon_Meteor_Trail_Play	Battle_Environment_DLC12_Skaven_QB_Storm_Daemon_Meteor_Trail_Stop			false	true	false	false	3000.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Element_Wind_Desert_Dust_Devil	Battle_Environment_Tomb_Kings_Generic_Dust_Devil_Play	Battle_Environment_Tomb_Kings_Generic_Dust_Devil_Stop			false	true	false	false	100.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Generic_Fire	BAT_ENV_Fire_Wood_Small_VFX_lib_fire_smoke_Play	BAT_ENV_Fire_Wood_Small_VFX_lib_fire_smoke_Stop			false	false	false	false	125.0000		fire	fire	0.5000	0.5000
VFX_Environment_Battle_Generic_Tomb_Kings_Lightning	Battle_Environment_Tomb_Kings_Generic_Lightning_One_Shot				false	false	false	false	3000.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_High_Elves_Heart_Magic_Broken	Battle_Environment_High_Elves_Elves_Heart_Magic_Broken_Oneshots_Play				false	true	false	false	550.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_High_Elves_Heart_Magic_Broken_Spark	Battle_Environment_High_Elves_Elves_Heart_Magic_Broken_Spark_Oneshots_Play				false	true	false	false	550.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Lightning_Bolt	Battle_Environment_Element_Lightning_Bolt				false	false	false	false	2000.0000		thunder	default	1.0000	1.0000
VFX_Environment_Battle_Lizardmen_Stone_Tower_Lightning	Battle_Environment_Lizardmen_Stone_Tower_Lightning_Play	Battle_Environment_Lizardmen_Stone_Tower_Lightning_Stop			false	true	false	false	400.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Prop_Hef_Star_Particle	Battle_Environment_Magic_High_Elves_Star_Start	Battle_Environment_Magic_High_Elves_Star_Stop			false	true	false	false	100.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Prop_Lizardmen_Pyramid_Beam	Battle_Environment_Lizardmen_Beam_Large_Start	Battle_Environment_Lizardmen_Beam_Large_Stop			false	true	false	true	550.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Prop_Purple_Fire	Battle_Environment_Element_Purple_Fire_Start	Battle_Environment_Element_Purple_Fire_Stop			false	true	false	true	100.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Prop_Purple_Steam	Battle_Environment_Element_Purple_Steam_Start	Battle_Environment_Element_Purple_Steam_Stop			false	true	false	true	125.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Slaanesh_Spitting_Mouth	Battle_Environment_Slaanesh_Spitting_Mouth_One_Shot_Start				false	true	false	false	100.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Storms_Of_Magic_Lightning_Strike	Battle_Environment_Storms_of_Magic_Lightning_Strike_Play				false	false	false	false	10000.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Tomb_Kings_Generic_Falling_Debris	Battle_Environment_Tomb_Kings_Generic_Falling_Debris_Crumble_One_Shot				false	false	false	false	150.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Tomb_Kings_Generic_Falling_Debris_Impact	Battle_Environment_Tomb_Kings_Generic_Falling_Debris_Impact_One_Shot				false	false	false	false	0.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Tomb_Kings_Generic_Gust_Sand	Battle_Environment_Tomb_Kings_Generic_Gust_Sand_Loop_Play	Battle_Environment_Tomb_Kings_Generic_Gust_Sand_Loop_Stop			false	true	false	false	100.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Tomb_Kings_Small_Tail_Sandfall	Battle_Environment_Tomb_Kings_Generic_Small_Sandfall_Tail_Play	Battle_Environment_Tomb_Kings_Generic_Small_Sandfall_Tail_Stop			false	false	false	false	50.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Tzeentch_Large_Crystal_Appear	Battle_Environment_Tzeentch_Big_Crystal_Appear				false	true	false	true	150.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Tzeentch_Large_Crystal_Disappear	Battle_Environment_Tzeentch_Big_Crystal_Disappear				false	true	false	true	150.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Vampire_Coast_Galleons_Graveyard_Thunder	Battle_Environment_Vampire_Coast_Galleons_Graveyard_Thunder				false	false	false	false	2000.0000		default	default	1.0000	1.0000
VFX_Environment_Battle_Vortex_Lightning_Bolt	Battle_Environment_Element_Vortex_Lightning_Bolt				false	false	false	false	4000.0000		thunder	default	1.0000	1.0000
VFX_Environment_Campaign_Blood_Marsh_Splash			Campaign_Environment_Elemment_Water_Blood_Marsh_Splash		false	true	false	false	25.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Cathay_WOM			Campaign_Environment_Cathay_WOM_Magic_Loop_Play	Campaign_Environment_Cathay_WOM_Magic_Loop_Stop	false	true	false	false	25.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Cathay_WOM_Impacts			Campaign_Environment_Cathay_WOM_Impacts_Play		false	true	false	true	25.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Lightning_Bolt			Campaign_Environment_Element_Lightning_Bolt		false	false	false	false	60.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Magic_Chaos_Lightning			Campaign_Environment_Element_Magic_Chaos_Lightning_Bolt		false	true	false	true	40.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Magic_Death_Night_Settlement			Campaign_Environment_Element_Magic_Death_Night_Settlement_Play	Campaign_Environment_Element_Magic_Death_Night_Settlement_Stop	false	true	false	false	40.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Magic_Power_Of_Nature_01			Campaign_Environment_Element_Magic_Power_Of_Nature_01_Play	Campaign_Environment_Element_Magic_Power_Of_Nature_01_Stop	false	true	false	false	25.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Magic_Shadow_Realm_Portal			Campaign_Environment_Element_Magic_Shadow_Realm_Portal_Play	Campaign_Environment_Element_Magic_Shadow_Realm_Portal_Stop	false	true	false	false	40.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Magic_Sword_Of_Khaine			Campaign_Environment_Element_Magic_Sword_Of_Khaine_Settlement_Play	Campaign_Environment_Element_Magic_Sword_Of_Khaine_Settlement_Stop	false	true	false	false	25.0000		default	default	1.0000	1.0000
VFX_Environment_Campaign_Element_Nurgle_Plague_Corruption			Campaign_Environment_Ability_Nurgle_Plague_Loop_Play	Campaign_Environment_Ability_Nurgle_Plague_Loop_Stop	false	true	false	false	50.0000		default	default	1.0000	1.0000
