building	campaign_group
#settlement_abandoment_buildings_tables;0;db/settlement_abandoment_buildings_tables/data__	
wh_dlc03_GRN-DWF_settlement_major_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_GRN-DWF_settlement_minor_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_major_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_HUMAN_settlement_minor_beastmenruin	wh2_dlc17_raze_option_beastmen
wh_dlc03_HUMAN_settlement_minor_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_altdorf_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_black_crag_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_castle_drakenhof_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_couronne_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_eight_peaks_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_karaz_a_karak_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_kislev_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc03_special_city_miragliano_beastmenruin	wh_dlc03_settlement_abandonment_beastmen
wh_dlc05_wef_settlement_major_main_ruin	wh_main_settlement_abandonment_chaos
wh_main_dwf_grn_settlement_major_chaosruin	wh_main_settlement_abandonment_chaos
wh_main_sch_settlement_major_norscaruin_khorne	wh_dlc08_raze_option_khorne
wh_main_sch_settlement_major_norscaruin_nurgle	wh_dlc08_raze_option_nurgle
wh_main_sch_settlement_major_norscaruin_slaanesh	wh_dlc08_raze_option_slaanesh
wh_main_sch_settlement_major_norscaruin_tzeentch	wh_dlc08_raze_option_tzeentch
