skill	skillset_key	sort_order
#battle_set_piece_armies_characters_skillsets_skills_tables;1;db/battle_set_piece_armies_characters_skillsets_skills_tables/data__		
wh2_dlc11_skill_cst_aranessa_unique_0	wh2_dlc11_skill_node_set_cst_aranessa	10
wh2_dlc11_skill_cst_aranessa_unique_1	wh2_dlc11_skill_node_set_cst_aranessa	20
wh2_dlc11_skill_cst_aranessa_unique_4	wh2_dlc11_skill_node_set_cst_aranessa	30
wh2_dlc11_skill_cst_army_1	wh2_dlc11_skill_node_set_cst_aranessa	90
wh2_dlc11_skill_cst_army_3	wh2_dlc11_skill_node_set_cst_aranessa	80
wh2_dlc11_skill_cst_army_5	wh2_dlc11_skill_node_set_cst_aranessa	100
wh2_dlc11_skill_cst_army_7_avast_ye	wh2_dlc11_skill_node_set_cst_aranessa	70
wh2_dlc11_skill_cst_personal_0_monkey_jacket	wh2_dlc11_skill_node_set_cst_aranessa	50
wh2_dlc11_skill_cst_personal_1_swashbuckler	wh2_dlc11_skill_node_set_cst_aranessa	40
wh2_dlc11_skill_cst_personal_5_taunt	wh2_dlc11_skill_node_set_cst_aranessa	60
wh2_dlc11_skill_cst_personal_6_cutlass_male_admiral	wh2_dlc11_skill_node_set_cst_aranessa	120
wh_main_skill_all_all_self_hard_to_hit	wh2_dlc11_skill_node_set_cst_aranessa	110
wh2_dlc11_skill_all_magic_deep_01_spiteful_shot	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	10
wh2_dlc11_skill_all_magic_deep_02_tidecall	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	20
wh2_dlc11_skill_all_magic_deep_03_lore_attribute	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	30
wh2_dlc11_skill_all_magic_deep_04_denizens_of_the_deep	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	40
wh2_dlc11_skill_all_magic_deep_10_ghost_ship	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	50
wh2_dlc11_skill_cst_agent_crime_1	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	90
wh2_dlc11_skill_cst_misc_1	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	100
wh2_dlc11_skill_cst_misc_2	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	110
wh2_dlc11_skill_cst_personal_0_monkey_jacket	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	120
wh2_dlc11_skill_cst_personal_1_swashbuckler	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	130
wh_main_skill_all_magic_all_06_evasion	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	70
wh_main_skill_all_magic_all_07_earthing	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	60
wh_main_skill_all_magic_all_08_power_drain	wh2_dlc11_skill_node_set_cst_fleet_captain_deep	80
wh_main_skill_all_all_self_blade_master_starter	wh2_dlc11_skill_node_set_emp_captain	10
wh_main_skill_all_all_self_deadly_blade	wh2_dlc11_skill_node_set_emp_captain	50
wh_main_skill_all_all_self_devastating_charge	wh2_dlc11_skill_node_set_emp_captain	20
wh_main_skill_all_all_self_foe-seeker	wh2_dlc11_skill_node_set_emp_captain	60
wh_main_skill_all_all_self_hard_to_hit	wh2_dlc11_skill_node_set_emp_captain	40
wh_main_skill_all_all_self_wound-maker	wh2_dlc11_skill_node_set_emp_captain	70
wh_main_skill_all_lord_self_full_plate_armour	wh2_dlc11_skill_node_set_emp_captain	30
wh_main_skill_all_lord_self_full_plate_armour_2	wh2_dlc11_skill_node_set_emp_captain	30
