region	mercenary_pool
#regions_vampire_mercenary_pools_junctions_tables;0;db/regions_vampire_mercenary_pools_junctions_tables/data__	
wh3_main_combi_region_blue_river	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_celestial_lake	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_daemons_landing	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_eastern_sea_of_dread	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_frozen_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_great_canal	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_great_river	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_gulf_of_kislev	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_gulf_of_medes	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_jade_river	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_kraken_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_lake	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_lizard_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_mangrove_coast_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_middle_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_northern_sea_of_chaos	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_northern_straits_of_the_great_ocean	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_northern_straits_of_the_jade_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_red_river	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_river_reik	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_scorpion_coast	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_sea_of_chill	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_sea_of_claws	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_sea_of_malice	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_sea_of_serpents	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_sea_of_squalls	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_sea_of_storms	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_serpent_coast_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_serpent_river	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_shark_straights	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_shifting_isles	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_shifting_mangrove_coastline	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_southern_sea_of_chaos	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_straights_of_chaos	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_straits_of_fear	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_straits_of_lothern	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_straits_of_nagash	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_sunken_lands	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_tarantula_coast	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_albion_channel	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_bitter_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_black_gulf	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_bleak_coast	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_boiling_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_broken_lands	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_churning_gulf	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_daemonium_coast	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_eastern_isles	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_estalia_coastline	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_far_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_forbidding_coast	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_galleons_graveyard_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_great_ocean_north	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_great_ocean_south	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_inner_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_iron_coast	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_isles	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_jade_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_lustria_straight	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_mistnar_crossing	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_pirate_coast	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_sea_of_dread	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_shard_coast	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_southern_straits	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_turtle_shallows	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_the_vampire_coast_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_tilean_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_witch_sea	wh2_dlc11_cst_vampire_pirate_province_pool
wh3_main_combi_region_worm_coast	wh2_dlc11_cst_vampire_pirate_province_pool
