key	fire_start_event	fire_stop_event	fire_max_attenuation	group_fire	switch	only_trigger_once_per_volley	fire_use_reverb	fire_obstruction_size	group_fire_start	group_fire_stop
#audio_missile_weapon_types_tables;4;db/audio_missile_weapon_types_tables/data__										
blowpipe			120.0000		bolt_large	false	false	0.0000	wh_grp_projectile_blowpipe_fire_normal	
blunderbuss	Battle_Individual_Small_Arms_Blunderbuss_Fire		200.0000		hand_cannon	true	true	0.0000	wh_grp_projectile_blunderbuss_fire	
bolt_large	Battle_Individual_Artillery_Bolt_Thrower_Release		250.0000		bolt_large	false	false	0.0000		
bolt_launcher_eagle_claw			250.0000		bolt_large	false	false	0.0000		
bolt_mounted	Battle_Individual_Artillery_Eagle_Claw_Bolt_Thrower_Launch		250.0000		bolt_large	false	false	0.0000		
bow	Battle_Individual_Small_Arms_Bow_Release		120.0000		bow	false	false	0.0000		
bow_LH	Battle_Individual_Small_Arms_Bow_Release_LH		120.0000		bow	false	false	0.0000		
bow_large	Battle_Individual_Small_Arms_Large_Bow_Release		120.0000		bow_large	false	false	0.0000		
brinstone_gun	Battle_Individual_Small_Arms_Brinstone_Fire		300.0000	wh_grp_projectile_brinstone_gun_fire	brinstone_gun	false	true	0.0000		
cannon	Battle_Individual_Artillery_Cannon_Fire		400.0000		cannon	false	true	0.0000		
catapult_screaming_skull			400.0000		catapult_screaming_skull	true	true	0.0000		
clattergun	Battle_Individual_Artillery_Copter_Clattergun_Fire		200.0000		clattergun	false	true	0.0000		
crossbow	Battle_Individual_Small_Arms_Crossbow_Release		120.0000	wh_grp_projectile_crossbow_fire	crossbow	false	false	0.0000		
crossbow_LH	Battle_Individual_Small_Arms_Crossbow_Release_LH		120.0000	wh_grp_projectile_crossbow_fire	crossbow	false	false	0.0000		
deck_gunner_cannon	Battle_Individual_Small_Arms_Deck_Gun_Fire		300.0000		drakegun	false	true	0.0000		
deck_gunner_cannon_RoR	Battle_Individual_Small_Arms_Deck_Gun_RoR_Fire		300.0000		drakegun	false	true	0.0000		
drakegun			200.0000		drakegun	false	false	0.0000	wh_grp_drakegun_fire_start	wh_grp_drakegun_fire_stop
flame_cannon	Battle_Individual_Artillery_Flame_Cannon_Fire		400.0000		flame_cannon	false	true	0.0000		
gatling_gun	Battle_Individual_Artillery_Gatling_Gun_Fire		350.0000		gatling_gun	false	true	0.0000		
giant_blowpipe	Battle_Individual_Small_Arms_Giant_Blowpipe_Fire		120.0000		bolt_large	false	false	0.0000		
globe	Battle_Individual_Small_Arms_Globe_Release		50.0000		bolt_large	false	false	0.0000	wh2_grp_projectile_globes_fire	
grand_cannon	Battle_Individual_Projectile_Grand_Cannon_Launch		400.0000		cannon	false	true	0.0000		
great_cannon	Battle_Individual_Artillery_Great_Cannon_Fire		400.0000		great_cannon	false	true	0.0000		
grenade_launcher	Battle_Individual_Small_Arms_Grenade_Launcher_Fire		200.0000	wh_grp_projectile_grenade_launcher_fire	grenade_launcher	false	true	0.0000		
hand_cannon	Battle_Individual_Small_Arms_Hand_Cannon_Fire		300.0000		hand_cannon	true	true	0.0000	wh_grp_projectile_hand_cannon_fire	
hell_cannon	Battle_Individual_Artillery_Hell_Cannon_Fire		350.0000		hell_cannon	false	true	0.0000		
hell_cannon_ice_forged_legion	Battle_Individual_Artillery_Ice_Forged_Legion_Fire		350.0000		hell_cannon	false	true	0.0000		
hell_cannon_soul_damnation	Battle_Individual_Artillery_Soul_Of_Damnation_Fire		350.0000		hell_cannon	false	true	0.0000		
iron_blaster	Battle_Individual_Artillery_Iron_Blaster_Launch		400.0000		cannon	false	true	0.0000		
iron_hail_gunner	Battle_Individual_Small_Arms_Repeater_Gun_Fire_LH		300.0000	wh_grp_projectile_repeater_gun_fire	drakegun	false	true	0.0000		
javelin	Battle_Individual_Small_Arms_Javelin_Release		35.0000		bow	false	false	0.0000		
luminark	Battle_Individual_Small_Arms_Luminark_fire		250.0000		bolt_large	false	false	0.0000		
magma_cannon	Battle_Individual_Artillery_Magma_Cannon_Launch		800.0000		magma_cannon	false	true	0.0000		
mortar	Battle_Individual_Artillery_Mortar_Fire		350.0000		mortar	false	true	0.0000		
none			0.0000		none	false	false	0.0000		
orgun_gun	Battle_Individual_Artillery_Orgun_Gun_Fire		400.0000		organ_gun	true	true	0.0000		
pistol	Battle_Individual_Small_Arms_Pistol_Fire		300.0000	wh_grp_projectile_pistol_fire	pistol	true	true	0.0000		
pistol_LH	Battle_Individual_Small_Arms_Pistol_Fire_LH		300.0000		pistol	true	true	0.0000		
pistol_Ogre	Battle_Individual_Small_Arms_Ogre_Pistol_Fire		300.0000	wh_grp_projectile_ogre_pistol_fire	pistol	true	true	0.0000		
pistol_Ogre_LH	Battle_Individual_Small_Arms_Ogre_Pistol_Fire_LH		300.0000		pistol	true	true	0.0000		
poison_wind_mortar	Battle_IND_Projectile_Poison_Wind_Mortar_Fire		350.0000		grenade_launcher	false	true	0.0000		
queen_bess			800.0000		queen_bess	false	true	0.0000		
razordon_spike	Battle_Individual_Projectile_Razordon_Shot		65.0000		bolt_large	true	true	0.0000		
repeater_gun	Battle_Individual_Small_Arms_Repeater_Gun_Fire		300.0000	wh_grp_projectile_repeater_gun_fire	repeater_gun	false	true	0.0000		
repeater_gun_LH	Battle_Individual_Small_Arms_Repeater_Gun_Fire_LH		300.0000		repeater_gun	false	true	0.0000		
repeater_rifle	Battle_Individual_Small_Arms_Repeater_Rifle_Fire		300.0000	wh_grp_projectile_repeater_rifle_fire	repeater_rifle	false	true	0.0000		
repeater_rifle_LH	Battle_Individual_Small_Arms_Repeater_Rifle_Fire_LH		300.0000		repeater_rifle	false	true	0.0000		
rocket_battery	Battle_Individual_Artillery_Rocket_Launch		350.0000		rocket_battery	false	true	0.0000		
steamgun_copter	Battle_Individual_Artillery_Copter_Steamgun_Fire		100.0000		steamgun	false	false	0.0000		
steamgun_tank	Battle_Individual_Artillery_Steam_Tank_Steamgun_Fire		100.0000		steamgun	false	false	0.0000		
troll_hammer	Battle_Individual_Small_Arms_Troll_Hammer_Fire		200.0000		troll_hammer	false	true	0.0000		
warpfiregun			200.0000		drakegun	false	false	0.0000	wh2_grp_warpfiregun_fire_start	wh2_grp_warpfiregun_fire_stop
wh2_dlc11_deck_dropper_bomb	Battle_Individual_Projectile_Grenade_fuse_throw		40.0000		rocket_battery	false	true	0.0000		
wh2_dlc11_necrofex_cannon	Battle_Individual_Melee_Necrofex_Colossus_Cannon_Fire		400.0000		rocket_battery	false	true	0.0000		
wh2_dlc12_ikit_warpfiregun	Battle_Individual_Ikit_Claw_Warpfire_Start	Battle_Individual_Ikit_Claw_Warpfire_Stop	200.0000		drakegun	false	false	0.0000		
wh2_dlc12_ratling_gun			400.0000	wh2_grp_ratling_gun_fire_loop	gatling_gun	true	true	0.0000		
wh2_dlc12_warplock_jezzails	Battle_Individual_Small_Arms_Jezzails_Sniper_Rifle_Fire		300.0000		repeater_rifle	false	true	0.0000		
wh2_dlc14_medusa_gaze	Battle_Individual_Projectile_dlc14_Medusa_Launch		400.0000		organ_gun	true	true	0.0000		
wh2_dlc14_scourge_harpoon	Battle_Individual_Small_Arms_Harpoon_Release		125.0000	wh_grp_projectile_crossbow_fire	crossbow	false	false	0.0000		
wh3_dlc23_fireglaive	Battle_Individual_Small_Arms_Fireglaive_Fire		350.0000		wh3_dlc23_fireglaive	false	true	0.0000	wh3_dlc23_chd_projectile_fireglaive_fire	
wh3_dlc23_fireglaive_LH	Battle_Individual_Small_Arms_Fireglaive_Fire_LH		350.0000		wh3_dlc23_fireglaive_LH	false	true	0.0000		
wh3_dlc23_iron_daemon_carronade	Battle_Individual_Artillery_Iron_Daemon_Carronade_Launch		250.0000		wh3_dlc23_iron_daemon_carronade	false	false	0.0000		
wh3_dlc23_iron_daemon_flamethrower			250.0000		wh3_dlc23_iron_daemon_flamethrower	true	false	0.0000		
