key	generate	ui_image	prioritised	event_category	override_icon	is_large_incident	additional_sound_event	sepia_fade	use_revealing_text
#incidents_tables;7;db/incidents_tables/data__									
wh2_dlc09_great_vortex_settra_the_crown_of_nehekhara_stage_3_a	false	generic	false	Quest		false		1.0000	false
wh2_dlc09_great_vortex_settra_the_crown_of_nehekhara_stage_3_b	false	generic	false	Quest		false		1.0000	false
wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3a	false	generic	false	Quest		false		1.0000	false
wh2_dlc09_great_vortex_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3b	false	generic	false	Quest		false		1.0000	false
wh2_dlc09_incident_tmb_campaign_won	false	unique_books_of_nagash	false	Event		false		1.0000	false
wh2_dlc09_incident_tmb_sand_storm_spawned	false	wh2_desert_attrition	false	Quest		false		1.0000	false
wh2_dlc09_settra_the_crown_of_nehekhara_stage_3_a	false	generic	false	Quest		false		1.0000	false
wh2_dlc09_settra_the_crown_of_nehekhara_stage_3_b	false	generic	false	Quest		false		1.0000	false
wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3a	false	generic	false	Quest		false		1.0000	false
wh2_dlc09_tmb_arkhan_the_tomb_blade_of_arkhan_stage_3b	false	generic	false	Quest		false		1.0000	false
wh2_dlc09_tmb_incident_a_noble_mistake	true	army_morale_up	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_boiling_point	true	messenger	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_cache_of_asaph	true	messenger	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_glimpse_into_the_realm	true	army_morale_down	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_jungle_warriors	true	generic	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_liquid_sand	true	generic	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_memories_of_the_past	true	politics	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_paychest_mercenaries	true	civilisation_up	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_raining_magma	true	army_morale_down	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_riders_graveyard	true	messenger	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_undead_pirates	true	army_morale_up	false	Event		false		1.0000	false
wh2_dlc09_tmb_incident_unearthed_knowledge	true	faction	false	Event		false		1.0000	false
wh2_dlc10_alarielle_shieldstone_of_isha	false	generic	false	Event		false		1.0000	false
wh2_dlc10_death_night_free_slave	false	hellebron_death_night_start	false	Event		false		1.0000	false
wh2_dlc10_incident_alarielle_start_ap_bonus	false	army_morale_up	false	Quest		false		1.0000	false
wh2_dlc10_incident_def_death_night	false	hellebron_death_night_start	false	Event		false		1.0000	false
wh2_dlc10_incident_def_death_night_no_slaves	false	hellebron_death_night_start	false	Event		false		1.0000	false
wh2_dlc10_incident_def_death_night_no_voyage	false	hellebron_death_night_start	false	Event		false		1.0000	false
wh2_dlc10_incident_def_death_night_no_voyage_no_slaves	false	hellebron_death_night_start	false	Event		false		1.0000	false
wh2_dlc10_incident_hef_alarielle_torment_decrease	false	mortal_worlds_torment	false	Event		false		1.0000	false
wh2_dlc10_incident_hef_alarielle_torment_increase	false	mortal_worlds_torment	false	Event		false		1.0000	false
wh2_dlc10_incident_hef_blood_voyage_ends	false	hellebron_death_night_end	false	Event		false		1.0000	false
wh2_dlc10_monster_hunt_8_stage_2	false	diplomacy	false	Quest		false		1.0000	false
wh2_dlc10_monster_hunt_8_stage_3a_2	false	messenger	false	Quest		false		1.0000	false
wh2_dlc10_monster_hunt_8_stage_3b	false	army_morale_up	false	Quest		false		1.0000	false
wh2_dlc10_monster_hunt_9_stage_2	false	diplomacy	false	Quest		false		1.0000	false
wh2_dlc10_sword_of_khaine_building_done	false	sword_of_khaine	false	Quest		false		1.0000	false
wh2_dlc10_sword_of_khaine_building_started_AI	false	sword_of_khaine	false	Quest		false		1.0000	false
wh2_dlc10_sword_of_khaine_issued	false	sword_of_khaine	false	Quest		false		1.0000	false
wh2_dlc10_sword_of_khaine_issued_ai	false	sword_of_khaine	false	Quest		false		1.0000	false
wh2_dlc10_sword_of_khaine_region_captured	false	sword_of_khaine	false	Quest		false		1.0000	false
wh2_dlc10_sword_of_khaine_returned	false	sword_of_khaine	false	Quest		false		1.0000	false
wh2_dlc10_sword_of_khaine_stuck	false	sword_of_khaine	false	Quest		false		1.0000	false
wh2_dlc11_cst_harkon_mind_change_coward	false	diplomacy	false	Quest		false		1.0000	false
wh2_dlc11_cst_harkon_mind_change_hateful	false	diplomacy	false	Quest		false		1.0000	false
wh2_dlc11_cst_harkon_mind_change_lucid	false	diplomacy	false	Quest		false		1.0000	false
wh2_dlc11_cst_harkon_mind_change_mad	false	diplomacy	false	Quest		false		1.0000	false
wh2_dlc11_cst_harkon_mind_change_prideful	false	diplomacy	false	Quest		false		1.0000	false
wh2_dlc11_cst_harkon_mind_change_restored	false	diplomacy	false	Quest		false		1.0000	false
wh2_dlc11_cst_incident_armoury_acquisition	true	army_morale_up	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_dissenting_voices	true	civilisation_down	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_favourable_winds	true	celebration	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_incompetent_escorts	true	generic	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_mass_exodus	true	civilisation_down	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_overflowing_with_power	true	celebration	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_perfect_cover	true	messenger	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_rotten_weather	true	land_defeat	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_shallow_graves	true	generic	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_stolen_schematics	true	generic	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_strength_from_shyish	true	army_morale_up	false	Event		false		1.0000	false
wh2_dlc11_cst_incident_unnatural_talent	true	generic	false	Event		false		1.0000	false
wh2_dlc11_incident_cst_found_treasure	false	treasure_chest_gained	false	Event		false		1.0000	false
wh2_dlc11_incident_cst_infamy_rank_aranessa	false	legendary_pirate_defeated_aranessa	false	Event		false		1.0000	false
wh2_dlc11_incident_cst_infamy_rank_cylostra	false	legendary_pirate_defeated_cylostra	false	Event		false		1.0000	false
wh2_dlc11_incident_cst_infamy_rank_harkon	false	legendary_pirate_defeated_harkon	false	Event		false		1.0000	false
wh2_dlc11_incident_cst_infamy_rank_noctilus	false	legendary_pirate_defeated_noctilus	false	Event		false		1.0000	false
wh2_dlc11_incident_cst_mystery_pirate	false	mystery_pirate	false	Event		false		1.0000	false
wh2_dlc11_incident_cst_sea_shanty_gained_1	false	sea_shanty_gained	false	Event		false		1.0000	false
wh2_dlc11_incident_cst_sea_shanty_gained_2	false	sea_shanty_gained	false	Event		false		1.0000	false
