banner	unit_set
#banners_permitted_unit_sets_tables;0;db/banners_permitted_unit_sets_tables/data__	
wh2_dlc09_banner_magic_standard_banner_of_the_hidden_dead	wh2_dlc09_tmb_all_skeleton
wh2_dlc09_banner_magic_standard_banner_of_the_hidden_dead	wh2_dlc09_tmb_chariots
wh2_dlc09_banner_magic_standard_banner_of_the_hidden_dead	wh2_dlc09_tmb_horsemen
wh2_dlc09_banner_magic_standard_standard_of_the_undying_legion	wh2_dlc09_tmb_all_skeleton
wh2_dlc10_banner_magic_standard_banner_of_avelorn	all_units
wh2_dlc11_banner_magic_standard_bloodied_banner_of_slayers	all_units
wh2_dlc11_banner_magic_standard_boatswain	all_units
wh2_dlc11_banner_magic_standard_burnt_banner_of_knights	all_units
wh2_dlc11_banner_magic_standard_corpse_surgeon	all_units
wh2_dlc11_banner_magic_standard_dead_mans_chest	all_units
wh2_dlc11_banner_magic_standard_holed_banner_of_militia	all_units
wh2_dlc11_banner_magic_standard_rookie_gunner	wh2_dlc11_cst_all_ranged
wh2_dlc11_banner_magic_standard_ships_colors	all_units
wh2_dlc11_banner_magic_standard_skull_and_crossbones	all_units
wh2_dlc11_banner_magic_standard_spell_of_the_necromancers_apprentice	all_units
wh2_dlc11_banner_magic_standard_throwing_bombs	all_units
wh2_dlc11_banner_magic_standard_torn_banner_of_pilgrims	all_units
wh2_dlc12_anc_banner_tracer_rounds	wh2_dlc12_skv_ratling
wh2_dlc12_anc_banner_tracer_rounds	wh2_dlc12_skv_warpfire
wh2_dlc12_banner_magic_standard_cape_of_sniper	wh2_dlc12_skv_jezzail
wh2_dlc12_banner_magic_standard_cape_of_sniper	wh2_dlc12_skv_ratling
wh2_dlc12_banner_magic_standard_cape_of_sniper	wh2_dlc12_skv_warpfire
wh2_dlc12_banner_magic_standard_coatlpelt_flagstaff	all_units
wh2_dlc12_banner_magic_standard_culchan_feathered_standard	all_units
wh2_dlc12_banner_magic_standard_exalted_banner_of_xapati	all_units
wh2_dlc12_banner_magic_standard_flag_of_the_daystar	all_units
wh2_dlc12_banner_magic_standard_incendiary_rounds	wh2_dlc12_skv_jezzail
wh2_dlc12_banner_magic_standard_incendiary_rounds	wh2_dlc12_skv_ratling
wh2_dlc12_banner_magic_standard_incendiary_rounds	wh2_dlc12_skv_warpfire
wh2_dlc12_banner_magic_standard_shroud_of_chaqua	all_units
wh2_dlc12_banner_magic_standard_sign_of_the_coiled_one	all_units
wh2_dlc12_banner_magic_standard_totem_of_the_spitting_viper	all_units
wh2_dlc12_banner_magic_standard_totem_pole_of_destiny	all_units
wh2_dlc14_anc_banner_jean_claude_sartre	brt_bow_inf
wh2_dlc14_anc_banner_pierre_darden	brt_horse_knights
wh2_dlc14_anc_banner_rene_de_cartes	brt_polearms
wh2_dlc14_anc_banner_rene_de_cartes	brt_spear_inf
wh2_dlc14_anc_banner_rene_de_cartes	brt_sword_inf
wh2_dlc14_anc_follower_malus_bruglir	dlc14_all_units_excluding_characters
wh2_dlc14_anc_follower_malus_hathan_gul	dlc14_all_units_excluding_characters
wh2_dlc14_anc_follower_malus_lhunara	dlc14_all_units_excluding_characters
wh2_dlc14_anc_follower_malus_silar	dlc14_all_units_excluding_characters
wh2_dlc15_anc_magic_standard_blacktoofs_head_in_a_jar	wh2_dlc15_grn_spell_casters
wh2_dlc17_anc_banner_bst_banner_of_ghorok	bst_dlc03_minotaurs
wh2_dlc17_anc_banner_bst_banner_of_madness	all_units
wh2_dlc17_anc_banner_bst_banner_of_unholy_exultation	all_units
wh2_dlc17_anc_banner_lzd_poison_daemonbane	lzd_missile_skinks
wh2_dlc17_anc_banner_lzd_poison_daemonbane	lzd_oxyotl
wh2_dlc17_anc_banner_lzd_poison_daemonbane	lzd_skink_chief_unmounted_terradon
wh2_dlc17_anc_banner_lzd_poison_daemonbane	lzd_terradon_riders_0
wh2_dlc17_anc_banner_lzd_poison_fireblood_toxin	lzd_missile_skinks
wh2_dlc17_anc_banner_lzd_poison_fireblood_toxin	lzd_oxyotl
wh2_dlc17_anc_banner_lzd_poison_fireblood_toxin	lzd_skink_chief_unmounted_terradon
wh2_dlc17_anc_banner_lzd_poison_fireblood_toxin	lzd_terradon_riders_0
wh2_dlc17_anc_banner_lzd_poison_slow_death	lzd_missile_skinks
wh2_dlc17_anc_banner_lzd_poison_slow_death	lzd_oxyotl
wh2_dlc17_anc_banner_lzd_poison_slow_death	lzd_skink_chief_unmounted_terradon
wh2_dlc17_anc_banner_lzd_poison_slow_death	lzd_terradon_riders_0
wh2_dlc17_anc_banner_lzd_poison_toadskin_essence	lzd_missile_skinks
wh2_dlc17_anc_banner_lzd_poison_toadskin_essence	lzd_oxyotl
wh2_dlc17_anc_banner_lzd_poison_toadskin_essence	lzd_skink_chief_unmounted_terradon
wh2_dlc17_anc_banner_lzd_poison_toadskin_essence	lzd_terradon_riders_0
wh2_dlc17_anc_blessing_of_filth_banner	dlc14_all_units_excluding_characters
wh2_dlc17_anc_blessing_of_mania_banner	dlc14_all_units_excluding_characters
wh2_dlc17_anc_blessing_of_trickery_banner	dlc14_all_units_excluding_characters
wh2_dlc17_anc_dread_retainer_fimir_banner	dlc08_nor_fimirs
wh2_dlc17_anc_dread_retainer_skinwolf_banner	dlc08_nor_skin_wolves
wh2_dlc17_anc_dread_retainer_troll_banner	dlc08_nor_trolls
wh2_dlc17_anc_rune_engineering_flakksons_rune_of_seeking	all_land_artillery_exc_grudge_units
wh2_dlc17_anc_rune_engineering_master_rune_of_disguise	all_land_artillery
wh2_dlc17_anc_rune_engineering_master_rune_of_immolation	all_land_artillery
wh2_dlc17_anc_rune_engineering_rune_of_burning	all_land_artillery_exc_grudge_units
wh2_dlc17_anc_rune_engineering_rune_of_penetration	all_land_artillery_exc_grudge_units
wh2_main_banner_magic_standard_banner_of_ellyrion	all_units
wh2_main_banner_magic_standard_banner_of_murder	all_units
wh2_main_banner_magic_standard_banner_of_the_under_empire	all_units
wh2_main_banner_magic_standard_banner_of_the_world_dragon	all_units
wh2_main_banner_magic_standard_banner_of_verminous_scurrying	all_units
wh2_main_banner_magic_standard_battle_banner	all_units
wh2_main_banner_magic_standard_dread_banner	all_units
wh2_main_banner_magic_standard_dwarf_hide_banner	all_units
wh2_main_banner_magic_standard_grand_banner_of_clan_superiority	all_units
wh2_main_banner_magic_standard_horn_of_isha	all_units
wh2_main_banner_magic_standard_huanchis_blessed_totem	all_units
wh2_main_banner_magic_standard_hydra_banner	all_units
wh2_main_banner_magic_standard_lion_standard	all_units
wh2_main_banner_magic_standard_sacred_banner_of_the_horned_rat	all_units
wh2_main_banner_magic_standard_sea_serpent_standard	all_units
wh2_main_banner_magic_standard_shroud_of_dripping_death	all_units
wh2_main_banner_magic_standard_skavenpelt_banner	all_units
wh2_main_banner_magic_standard_standard_of_hag_graef	all_units
wh2_main_banner_magic_standard_storm_banner	all_units
wh2_main_banner_magic_standard_sun_standard_of_chotec	all_units
wh2_main_banner_magic_standard_sunburst_standard_of_hexoatl	all_units
wh2_main_banner_magic_standard_the_blood_banner	all_units
wh2_main_banner_magic_standard_the_jaguar_standard	all_units
wh2_main_banner_magic_standard_totem_of_prophecy	all_units
wh3_dlc23_anc_banner_chd_banner_of_the_khanate	wh3_dlc23_chd_hobgoblin_units
wh3_dlc23_anc_banner_chd_eye_of_hashut	chd_characters
wh3_dlc23_anc_banner_chd_hellbound_standard	wh3_dlc23_chd_category_warmachines
wh3_dlc23_anc_banner_chd_hobgoblin_standard	wh3_dlc23_chd_hobgoblin_units
wh3_dlc23_anc_banner_chd_oath_of_contempt	all_units
wh3_dlc23_anc_banner_chd_standard_of_zharr	all_units
wh3_dlc24_anc_cth_magistrate_specialist_infantry_hunter	dlc14_all_units_excluding_characters
wh3_dlc24_anc_cth_magistrate_specialist_infiltrator	dlc14_all_units_excluding_characters
wh3_dlc24_anc_cth_magistrate_specialist_monster_hunter	dlc14_all_units_excluding_characters
wh3_dlc25_anc_banner_arachnarok_trophy	dwf_slayers
wh3_dlc25_anc_banner_dragon_hide_cloaks	dwf_slayers
wh3_dlc25_anc_banner_emp_doomfire_ring	emp_characters
wh3_dlc25_anc_banner_emp_doomfire_ring	gotrek_felix
wh3_dlc25_anc_banner_emp_doomfire_ring	mp_cap_hero_ulrika
wh3_dlc25_anc_banner_emp_everwood_root	emp_characters
wh3_dlc25_anc_banner_emp_everwood_root	gotrek_felix
wh3_dlc25_anc_banner_emp_everwood_root	mp_cap_hero_ulrika
wh3_dlc25_anc_banner_emp_frostfire_gem	emp_characters
wh3_dlc25_anc_banner_emp_frostfire_gem	gotrek_felix
wh3_dlc25_anc_banner_emp_frostfire_gem	mp_cap_hero_ulrika
wh3_dlc25_anc_banner_rune_of_the_furnace	dwf_slayers
wh3_dlc26_anc_banner_tmb_centuries_sigil	all_units
wh3_dlc26_anc_banner_tmb_cursing_word	all_units
wh3_dlc26_anc_banner_tmb_khsar_fury	characters
wh3_dlc26_anc_banner_tmb_royal_standard_settra	all_units
wh3_dlc26_anc_banner_tmb_sacred_eye	wh2_dlc09_tmb_all_archer_units
wh3_dlc26_anc_banner_tmb_ualatp_order	all_units
wh3_dlc26_golgfag_contract_anc_banner_berserk	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_berserk	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_black_dragon_egg	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_black_dragon_egg	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_black_powder_aplenty	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_black_powder_aplenty	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_blackpowder_discipline	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_blackpowder_discipline	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_blast_proof_gutplates	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_blast_proof_gutplates	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_blessing_of_the_lady	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_blessing_of_the_lady	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_bomb_throw	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_bomb_throw	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_bone_muncha	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_bone_muncha	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_brooding_maneaters	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_brooding_maneaters	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_bulwark_of_the_gate	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_bulwark_of_the_gate	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_by_our_blood	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_by_our_blood	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_dark_benediction	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_dark_benediction	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_deflection_training	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_deflection_training	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_flag_of_blood_keep	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_flag_of_blood_keep	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_glorious_charge	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_glorious_charge	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_guardians_of_the_wildwood	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_guardians_of_the_wildwood	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_hawkish_precision	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_hawkish_precision	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_hellforge_blades	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_hellforge_blades	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_horned_rat	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_horned_rat	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_lion_cloak	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_lion_cloak	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_maneater_knights	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_maneater_knights	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_maneater_woodsman	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_maneater_woodsman	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_martial_prowess	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_martial_prowess	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_murderous_prowess	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_murderous_prowess	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_night_goblin_toxins	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_night_goblin_toxins	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_overwhelming_odour	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_overwhelming_odour	ogr_maneaters
wh3_dlc26_golgfag_contract_anc_banner_pigeon_bomb	ogr_golgfag_maneater
wh3_dlc26_golgfag_contract_anc_banner_pigeon_bomb	ogr_maneaters
