bonus_value_id	effect	pre_battle_unit_targeted_ability
#effect_bonus_value_pre_battle_unit_targeted_ability_junctions_tables;0;db/effect_bonus_value_pre_battle_unit_targeted_ability_junctions_tables/data__		
budget_limit	wh3_dlc27_sla_dechala_corrupt_units_budget_limit_hidden	wh3_dlc27_corrupt_units
budget_limit_mod	wh3_dlc27_sla_dechala_corrupt_units_budget_limit_mod_hidden	wh3_dlc27_corrupt_units
budget_limit_mod	wh3_dlc27_sla_dechala_corrupt_units_budget_limit_mod	wh3_dlc27_corrupt_units
budget_limit	wh3_dlc27_sla_dechala_corrupt_units_budget_limit	wh3_dlc27_corrupt_units
cost_mod	wh3_dlc27_sla_dechala_corrupt_units_cost_mod	wh3_dlc27_corrupt_units
cost_per_unit_tier	wh3_dlc27_sla_dechala_corrupt_units_cost_per_tier_hidden	wh3_dlc27_corrupt_units
cost_per_unit_tier	wh3_dlc27_sla_dechala_corrupt_units_cost_per_tier	wh3_dlc27_corrupt_units
max_unit_count	wh3_dlc27_sla_dechala_corrupt_units_max_count_hidden	wh3_dlc27_corrupt_units
max_unit_tier	wh3_dlc27_sla_dechala_corrupt_units_max_tier_hidden	wh3_dlc27_corrupt_units
max_unit_tier	wh3_dlc27_sla_dechala_corrupt_units_max_tier	wh3_dlc27_corrupt_units
enable	wh3_dlc27_sla_dechala_innate_feature_dummy_corrupt_units	wh3_dlc27_corrupt_units
