subculture	subtype	agent	associated_unit_override	small_icon
#agent_subtype_subculture_overrides_tables;5;db/agent_subtype_subculture_overrides_tables/data__				
wh3_dlc29_sc_nag_undead_legions	wh2_dlc09_tmb_liche_priest_death	wizard		ui/campaign ui/agents/wh_main_wizard.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc09_tmb_liche_priest_light	wizard		ui/campaign ui/agents/wh_main_wizard.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc09_tmb_liche_priest_nehekhara	wizard		ui/campaign ui/agents/wh_main_wizard.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc09_tmb_liche_priest_shadow	wizard		ui/campaign ui/agents/wh_main_wizard.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc09_tmb_necrotect	engineer		ui/campaign ui/agents/wh2_dlc09_tmb_engineer.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc09_tmb_tomb_prince	champion		ui/campaign ui/agents/wh_main_vmp_champion.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc11_cst_fleet_captain_death	dignitary		ui/campaign ui/agents/wh_main_lore_vampires.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc11_cst_fleet_captain_deep	dignitary		ui/campaign ui/agents/wh_main_lore_vampires.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc11_cst_fleet_captain_vampires	dignitary		ui/campaign ui/agents/wh_main_lore_vampires.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc11_cst_gunnery_wight	engineer		ui/campaign ui/agents/wh2_dlc11_cst_engineer.png
wh3_dlc29_sc_nag_undead_legions	wh2_dlc11_cst_mourngul	spy		ui/campaign ui/agents/wh2_dlc11_cst_champion.png
wh_main_sc_vmp_vampire_counts	wh2_dlc11_cst_mourngul	runesmith		ui/campaign ui/agents/wh2_dlc11_cst_champion.png
wh3_dlc29_sc_nag_undead_legions	wh3_dlc29_cst_vampire_fleet_captain_undeath	dignitary		ui/campaign ui/agents/wh_main_lore_vampires.png
wh3_dlc29_sc_nag_undead_legions	wh3_dlc29_tmb_liche_priest_undeath	wizard		ui/campaign ui/agents/wh_main_wizard.png
wh3_dlc29_sc_nag_undead_legions	wh3_dlc29_tmb_tomb_herald	engineer		ui/campaign ui/agents/wh2_dlc09_tmb_engineer.png
wh3_dlc29_sc_nag_undead_legions	wh3_dlc29_vmp_lahmian_vampire	dignitary		ui/campaign ui/agents/wh_main_lore_vampires.png
wh3_dlc29_sc_nag_undead_legions	wh3_dlc29_vmp_necromancer_undeath	wizard		ui/campaign ui/agents/wh_main_wizard.png
wh3_dlc29_sc_nag_undead_legions	wh_dlc05_vmp_vampire_shadow	dignitary		ui/campaign ui/agents/wh_main_lore_vampires.png
wh3_dlc29_sc_nag_undead_legions	wh_main_vmp_banshee	spy		ui/campaign ui/agents/wh2_dlc11_cst_champion.png
wh3_dlc29_sc_nag_undead_legions	wh_main_vmp_necromancer	wizard		ui/campaign ui/agents/wh_main_wizard.png
wh3_dlc29_sc_nag_undead_legions	wh_main_vmp_vampire_death	dignitary		ui/campaign ui/agents/wh_main_lore_vampires.png
wh3_dlc29_sc_nag_undead_legions	wh_main_vmp_wight_king	champion		ui/campaign ui/agents/wh_main_vmp_champion.png
