key	graph	x_pos	y_pos	type	cluster
#ui_graph_nodes_tables;1;db/ui_graph_nodes_tables/data__					
wh3_dlc29_r0-c2-cell0-3	black_pyramid	492	1015	major	black_pyramid_dead_rise
wh3_dlc29_r0-c2-cell0-4	black_pyramid	514	1015	major	black_pyramid_dead_rise
wh3_dlc29_r0-c2-cell1-4	black_pyramid	514	1036	major	black_pyramid_dead_rise
wh3_dlc29_r0-c3-cell0-4	black_pyramid	620	1015	key	black_pyramid_archers
wh3_dlc29_r0-c3-cell1-3	black_pyramid	599	1036	major	black_pyramid_archers
wh3_dlc29_r0-c3-cell1-4	black_pyramid	620	1036	major	black_pyramid_archers
wh3_dlc29_r0-c3-cell2-3	black_pyramid	599	1057	key	black_pyramid_archers
wh3_dlc29_r0-c3-cell2-4	black_pyramid	620	1057	major	black_pyramid_archers
wh3_dlc29_r0-c3-cell3-4	black_pyramid	620	1079	key	black_pyramid_archers
wh3_dlc29_r0-c4-cell0-3	black_pyramid	705	1015	major	black_pyramid_zombies
wh3_dlc29_r0-c4-cell1-0	black_pyramid	641	1036	major	black_pyramid_archers
wh3_dlc29_r0-c4-cell1-2	black_pyramid	684	1036	major	black_pyramid_zombies
wh3_dlc29_r0-c4-cell1-4	black_pyramid	727	1036	key	black_pyramid_zombies
wh3_dlc29_r0-c4-cell2-0	black_pyramid	641	1057	key	black_pyramid_archers
wh3_dlc29_r0-c4-cell2-2	black_pyramid	684	1057	major	black_pyramid_zombies
wh3_dlc29_r0-c4-cell3-3	black_pyramid	705	1079	key	black_pyramid_zombies
wh3_dlc29_r0-c5-cell0-0	black_pyramid	748	1015	major	black_pyramid_zombies
wh3_dlc29_r0-c5-cell0-4	black_pyramid	833	1015	major	black_pyramid_skeleton
wh3_dlc29_r0-c5-cell1-2	black_pyramid	790	1036	major	black_pyramid_nagash
wh3_dlc29_r0-c5-cell2-0	black_pyramid	748	1057	major	black_pyramid_zombies
wh3_dlc29_r0-c5-cell2-4	black_pyramid	833	1057	major	black_pyramid_skeleton
wh3_dlc29_r0-c5-cell4-2	black_pyramid	790	1100	key	
wh3_dlc29_r0-c6-cell0-1	black_pyramid	875	1015	major	black_pyramid_skeleton
