component_key	generator_key	last_stand_priority	param1	param2	param3	param4	peace_priority	tension_priority	war_priority	total_war_priority	failure_timeout	min_payment_cap	max_payment_cap	max_payment_pct
#cai_personality_deal_generation_generator_priorities_tables;2;db/cai_personality_deal_generation_generator_priorities_tables/data__														
wh3_deal_generation_beastmen	BREAK_TREATIES_WITH_DISLIKED_FACTIONS	500.0000	0.0000	-500.0000	0.0000	0.0000	500.0000	500.0000	500.0000	500.0000	5	0	10000	10.0000
wh3_deal_generation_beastmen	DECLARE_WAR_ON_FACTIONS_I_DISLIKE	150.0000	0.0000	-500.0000	0.0000	0.0000	600.0000	500.0000	200.0000	250.0000	5	0	10000	25.0000
wh3_deal_generation_beastmen	DECLARE_WAR_ON_NEARBY_FACTIONS	150.0000	0.0000	-500.0000	0.0000	0.0000	600.0000	500.0000	200.0000	250.0000	5	0	10000	25.0000
wh3_deal_generation_beastmen	PEACE	250.0000	0.0000	150.0000	0.0000	0.0000	200.0000	200.0000	250.0000	200.0000	5	0	10000	25.0000
wh3_deal_generation_beastmen_minor	DEMAND_VASSALAGE_OR_CLIENT_STATE_FROM_ENEMIES	-100.0000	0.0000	0.0000	0.0000	0.0000	-100.0000	-100.0000	-100.0000	-100.0000	5	0	10000	10.0000
wh3_deal_generation_beastmen_minor	FORM_CONFEDERATION	-100.0000	0.0000	0.0000	0.0000	0.0000	-100.0000	-100.0000	-100.0000	-100.0000	5	0	10000	10.0000
wh3_deal_generation_beastmen_minor	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ENEMIES	500.0000	0.0000	-500.0000	0.0000	0.0000	100.0000	200.0000	400.0000	300.0000	5	0	10000	10.0000
wh3_deal_generation_bretonnia_minor	DEMAND_VASSALAGE_OR_CLIENT_STATE_FROM_ENEMIES	-100.0000	0.0000	0.0000	0.0000	0.0000	-100.0000	-100.0000	-100.0000	-100.0000	5	0	10000	10.0000
wh3_deal_generation_bretonnia_minor	FORM_CONFEDERATION	-100.0000	0.0000	0.0000	0.0000	0.0000	-100.0000	-100.0000	-100.0000	-100.0000	5	0	10000	10.0000
wh3_deal_generation_bretonnia_minor	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ENEMIES	500.0000	0.0000	-500.0000	0.0000	0.0000	100.0000	200.0000	400.0000	300.0000	5	0	10000	10.0000
wh3_deal_generation_cathay_minor	FORM_CONFEDERATION	-100.0000	0.0000	0.0000	0.0000	0.0000	-100.0000	-100.0000	-100.0000	-100.0000	5	0	10000	10.0000
wh3_deal_generation_chaos	BREAK_TREATIES_WITH_DISLIKED_FACTIONS	500.0000	0.0000	-500.0000	0.0000	0.0000	500.0000	500.0000	500.0000	500.0000	5	0	10000	10.0000
wh3_deal_generation_chaos	DECLARE_WAR_ON_FACTIONS_I_DISLIKE	150.0000	0.0000	-500.0000	0.0000	0.0000	600.0000	500.0000	200.0000	250.0000	5	0	10000	25.0000
wh3_deal_generation_chaos	PEACE	250.0000	0.0000	150.0000	0.0000	0.0000	200.0000	200.0000	250.0000	200.0000	5	0	10000	25.0000
wh3_deal_generation_chaos_dwarfs	BREAK_TREATIES_WITH_DISLIKED_FACTIONS	500.0000	0.0000	-500.0000	0.0000	0.0000	500.0000	500.0000	500.0000	500.0000	5	0	10000	10.0000
wh3_deal_generation_chaos_dwarfs	DECLARE_WAR_ON_FACTIONS_I_DISLIKE	150.0000	0.0000	-500.0000	0.0000	0.0000	600.0000	500.0000	200.0000	250.0000	5	0	10000	25.0000
wh3_deal_generation_chaos_dwarfs	PEACE	300.0000	0.0000	150.0000	0.0000	0.0000	200.0000	200.0000	250.0000	200.0000	5	0	10000	25.0000
wh3_deal_generation_chaos_dwarfs_minor	DEMAND_VASSALAGE_OR_CLIENT_STATE_FROM_ENEMIES	-100.0000	0.0000	0.0000	0.0000	0.0000	-100.0000	-100.0000	-100.0000	-100.0000	5	0	10000	10.0000
wh3_deal_generation_chaos_dwarfs_minor	FORM_CONFEDERATION	-100.0000	0.0000	0.0000	0.0000	0.0000	-100.0000	-100.0000	-100.0000	-100.0000	5	0	10000	10.0000
wh3_deal_generation_chaos_dwarfs_minor	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ENEMIES	500.0000	0.0000	-500.0000	0.0000	0.0000	100.0000	200.0000	400.0000	300.0000	5	0	10000	10.0000
wh3_deal_generation_chaos_minor	DEMAND_VASSALAGE_OR_CLIENT_STATE_FROM_ENEMIES	-100.0000	0.0000	0.0000	0.0000	0.0000	-100.0000	-100.0000	-100.0000	-100.0000	5	0	10000	10.0000
