cooking_material	allied_unit_effect_list	enemy_unit_effect_list
#crafting_material_unit_effect_junctions_tables;0;db/crafting_material_unit_effect_junctions_tables/data__		
wh3_dlc24_ingredient_bones_nehekharan_spine	wh3_dlc24_ingredient_bones_nehekharan_spine_allied	wh3_dlc24_ingredient_bones_nehekharan_spine_enemy
wh3_dlc24_ingredient_bones_rotting_clavicle	wh3_dlc24_ingredient_bones_rotting_clavicle_allied	wh3_dlc24_ingredient_bones_rotting_clavicle_enemy
wh3_dlc24_ingredient_bones_well_gnawed_bone	wh3_dlc24_ingredient_bones_well_gnawed_bone_allied	wh3_dlc24_ingredient_bones_well_gnawed_bone_enemy
wh3_dlc24_ingredient_horns_dawi_zharr_horn	wh3_dlc24_ingredient_horns_dawi_zharr_horn_allied	wh3_dlc24_ingredient_horns_dawi_zharr_horn_enemy
wh3_dlc24_ingredient_horns_gor_horn	wh3_dlc24_ingredient_horns_gor_horn_allied	wh3_dlc24_ingredient_horns_gor_horn_enemy
wh3_dlc24_ingredient_horns_horned_one_trophy	wh3_dlc24_ingredient_horns_horned_one_trophy_allied	wh3_dlc24_ingredient_horns_horned_one_trophy_enemy
wh3_dlc24_ingredient_skulls_daemon_skull	wh3_dlc24_ingredient_skulls_daemon_skull_allied	wh3_dlc24_ingredient_skulls_daemon_skull_enemy
wh3_dlc24_ingredient_skulls_elven_skull	wh3_dlc24_ingredient_skulls_elven_skull_allied	wh3_dlc24_ingredient_skulls_elven_skull_enemy
wh3_dlc24_ingredient_skulls_marauder_skull	wh3_dlc24_ingredient_skulls_marauder_skull_allied	wh3_dlc24_ingredient_skulls_marauder_skull_enemy
wh3_dlc24_ingredient_stone_brynduraz	wh3_dlc24_ingredient_stone_brynduraz_allied	wh3_dlc24_ingredient_stone_brynduraz_enemy
wh3_dlc24_ingredient_stone_stone_dog_ornament	wh3_dlc24_ingredient_stone_stone_dog_ornament_allied	wh3_dlc24_ingredient_stone_stone_dog_ornament_enemy
wh3_dlc24_ingredient_stone_warpstone_fragment	wh3_dlc24_ingredient_stone_warpstone_fragment_allied	wh3_dlc24_ingredient_stone_warpstone_fragment_enemy
wh3_dlc24_ingredient_teeth_cold_ones_fang	wh3_dlc24_ingredient_teeth_cold_ones_fang_allied	wh3_dlc24_ingredient_teeth_cold_ones_fang_enemy
wh3_dlc24_ingredient_teeth_incisor_of_man	wh3_dlc24_ingredient_teeth_incisor_of_man_allied	wh3_dlc24_ingredient_teeth_incisor_of_man_enemy
wh3_dlc24_ingredient_teeth_orc_molar	wh3_dlc24_ingredient_teeth_orc_molar_allied	wh3_dlc24_ingredient_teeth_orc_molar_enemy
wh3_dlc24_ingredient_wood_bark_of_ages	wh3_dlc24_ingredient_wood_bark_of_ages_allied	wh3_dlc24_ingredient_wood_bark_of_ages_enemy
wh3_dlc24_ingredient_wood_branch_of_arden	wh3_dlc24_ingredient_wood_branch_of_arden_allied	wh3_dlc24_ingredient_wood_branch_of_arden_enemy
wh3_dlc24_ingredient_wood_ursun_totem	wh3_dlc24_ingredient_wood_ursun_totem_allied	wh3_dlc24_ingredient_wood_ursun_totem_enemy
