category	group
#battle_purchasable_items_ui_categories_to_battle_currency_unit_abiities_cost_value_junctions_tables;1;db/battle_purchasable_items_ui_categories_to_battle_currency_unit_abiities_cost_value_junctions_tables/data__	
mirror_of_madness_army_ability_upgrades	diabolical_puppetry_ability
mirror_of_madness_army_ability_upgrades	inevitable_fate_ability
mirror_of_madness_army_ability_upgrades	tempest_of_blue_flame_ability
unit_buffs	replen_line_01
unit_buffs	replen_line_02
unit_upgrades	armour
unit_upgrades	imbue_weapon
unit_upgrades	melee
unit_upgrades	missile
unit_upgrades	shield
