domain	query	query_variables	invert
#cai_domain_filter_junctions_tables;1;db/cai_domain_filter_junctions_tables/data__			
abandoned_settlements_in_chaos_corrupted_province_in_regiongroup	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_cathay_shouldnt_enter	false
abandoned_settlements_in_region_group_chaos_dont_colonise	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_chaos_always_raze	false
abandoned_settlements	region_check_if_abandoned	queried_domain_most_specific	false
alive_factions	faction_check_if_dead	queried_domain_most_specific	true
alive_factions	faction_check_if_dead	queried_domain_target	true
allied_major_settlements	region_check_if_provincial_capital	queried_domain_most_specific	false
allied_settlements	faction_to_faction_check_if_owned_by	queried_domain_source_to_most_specific_ally	false
besieged_settlements	faction_to_region_check_if_besieging_settlement	queried_domain_source_to_most_specific	false
bordering_regions_owned_by_disliked_faction	faction_to_region_check_if_bordering	queried_domain_source_to_most_specific_self	false
bordering_regions	faction_to_faction_check_if_owned_by	queried_domain_source_to_most_specific_self	true
disliked_factions	faction_to_faction_check_attitude	queried_domain_source_to_target_bounds_max-35	false
disliked_third_party_known_by_target	faction_to_faction_check_attitude	queried_domain_source_to_target_bounds_min_0	true
enemy_agents_near_our_agents_positions	resource_mobile_check_if_agent	queried_domain_most_specific	false
enemy_agents	resource_mobile_check_if_agent	queried_domain_target	false
enemy_factions_human	faction_check_if_human	queried_domain_target	false
enemy_factions	faction_to_faction_check_if_owned_by	queried_domain_source_to_most_specific_enemy	false
enemy_forces_in_cathay_shouldnt_enter	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_cathay_shouldnt_enter	false
enemy_forces_in_chaos_corrupted_province_in_regiongroup	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_cathay_shouldnt_enter	false
enemy_forces	resource_mobile_check_if_armed_citizenry	queried_domain_most_specific	true
enemy_last_region	faction_check_regions	queried_domain_target_value_maximum_1	false
enemy_military_forces_of_human_player	faction_check_if_human	queried_domain_target	false
enemy_military_forces_our_regions	resource_mobile_search_territory	own_territory_range_0	false
enemy_military_forces	resource_mobile_check_if_agent	queried_domain_most_specific	true
enemy_rift_regions_in_province_at_least_x_units_far_from_home_territory_near_our_armies	faction_to_faction_check_if_owned_by	queried_domain_source_to_target_enemy	false
enemy_settlements_in_chaos_corrupted_province_in_regiongroup	region_check_if_in_campaign_region_group	queried_domain_target_in_region_group_cathay_shouldnt_enter	false
enemy_settlements_in_non_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_min_50_province_corruption_chaos	true
enemy_settlements_in_non_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_min_50_province_corruption_khorne	true
enemy_settlements_in_non_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_min_50_province_corruption_nurgle	true
enemy_settlements_in_non_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_min_50_province_corruption_slaanesh	true
enemy_settlements_in_non_chaos_corrupted_province	province_check_pooled_resource	most_specific_value_min_50_province_corruption_tzeentch	true
enemy_settlements_of_human_player	faction_check_if_human	queried_domain_target	false
enemy_settlements	faction_to_faction_check_if_owned_by	queried_domain_source_to_most_specific_enemy	false
