army_ability	tier	unique_id	group
#battle_purchasable_group_to_army_abilities_tables;0;db/battle_purchasable_group_to_army_abilities_tables/data__			
wh3_pro10_army_abilities_diabolical_puppetry	0	1014173224	diabolical_puppetry_ability
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_1	1	962725956	diabolical_puppetry_ability
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_2	2	2009273626	diabolical_puppetry_ability
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_3	3	186545462	diabolical_puppetry_ability
wh3_pro10_army_abilities_inevitable_fate	0	1340761877	inevitable_fate_ability
wh3_pro10_army_abilities_inevitable_fate_upgrade_1	1	306897929	inevitable_fate_ability
wh3_pro10_army_abilities_inevitable_fate_upgrade_2	2	1969225638	inevitable_fate_ability
wh3_pro10_army_abilities_inevitable_fate_upgrade_3	3	322805921	inevitable_fate_ability
wh3_pro10_army_abilities_tempest_of_blue_flame	0	787399950	tempest_of_blue_flame_ability
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_1	1	535396445	tempest_of_blue_flame_ability
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_2	2	2142430273	tempest_of_blue_flame_ability
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_3	3	1998763140	tempest_of_blue_flame_ability
