ingredient	recipe	primary
#cooking_recipe_required_ingredients_tables;0;db/cooking_recipe_required_ingredients_tables/data__		
wh2_dlc15_ectoplasm	wh2_dlc15_food_special_dish_1	false
wh2_dlc15_eagle	wh2_dlc15_food_special_dish_2	false
wh2_dlc15_pepper	wh2_dlc15_food_special_dish_3	false
wh2_dlc15_yolk	wh2_dlc15_food_special_dish_4	false
wh2_dlc15_ale	wh2_dlc15_food_special_dish_5	false
wh3_dlc24_ingredient_wood_branch_of_arden	wh3_dlc24_recipe_craven_scent	false
wh3_dlc24_ingredient_bones_rotting_clavicle	wh3_dlc24_recipe_deadeyes_sting	false
wh3_dlc24_ingredient_horns_horned_one_trophy	wh3_dlc24_recipe_frostwyverns_toil	false
wh3_dlc24_ingredient_skulls_marauder_skull	wh3_dlc24_recipe_harrowing_coil	false
wh3_dlc24_ingredient_stone_brynduraz	wh3_dlc24_recipe_inversus	false
wh3_dlc24_ingredient_bones_well_gnawed_bone	wh3_dlc24_recipe_leshys_embrace	false
wh3_dlc24_ingredient_stone_warpstone_fragment	wh3_dlc24_recipe_rats_grit	false
