faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/data__				
	wh2_dlc09_skv_cha_tretch_craventail	wh2_dlc09_skv_cha_tretch_craventail	wh2_dlc09_skv_tretch_craventail	wh2_dlc09_skv_cha_tretch_craventail
	wh2_dlc09_tmb_art_casket_of_souls_0	wh2_dlc09_tmb_inf_casket_of_souls	wh2_dlc09_tmb_skeleton_sword_shield	wh2_dlc09_tmb_casket_souls
	wh2_dlc09_tmb_art_screaming_skull_catapult_0	wh2_dlc09_tmb_art_screaming_skull_catapult_0_crew	wh2_dlc09_tmb_skeleton_sword	wh2_dlc09_tmb_screaming_skull_catapult
	wh2_dlc09_tmb_cav_hexwraiths	wh2_dlc09_tmb_cav_hexwraiths	wh_vmp_ghost_hexwraith	wh2_dlc09_tmb_cav_hexwraiths
	wh2_dlc09_tmb_cav_necropolis_knights_0	wh2_dlc09_tmb_cav_necropolis_knights_0	wh2_dlc09_tmb_tomb_guard_spear_shield	wh2_dlc09_tmb_necropolis_knights
	wh2_dlc09_tmb_cav_necropolis_knights_1	wh2_dlc09_tmb_cav_necropolis_knights_1	wh2_dlc09_tmb_tomb_guard_halberd	wh2_dlc09_tmb_necropolis_knights_halberds
	wh2_dlc09_tmb_cav_necropolis_knights_ror	wh2_dlc09_tmb_cav_necropolis_knights_ror	wh2_dlc09_tmb_tomb_guard_spear_shield_ror	wh2_dlc09_tmb_cav_necropolis_knights_ror
	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	wh2_dlc09_tmb_skeleton_armoured_sword_shield	wh2_dlc09_tmb_nehekhara_horsemen
	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	wh2_dlc09_tmb_skeleton_armoured_sword_shield_ror	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
	wh2_dlc09_tmb_cav_skeleton_horsemen_0	wh2_dlc09_tmb_cav_skeleton_horsemen_0	wh2_dlc09_tmb_skeleton_spear_shield	wh2_dlc09_tmb_skeleton_horsemen
	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	wh2_dlc09_tmb_skeleton_sword_bow	wh2_dlc09_tmb_skeleton_horsemen_archers
	wh2_dlc09_tmb_cha_arkhan_0	wh2_dlc09_tmb_cha_arkhan_0	wh2_dlc09_tmb_ch_arkhan	wh2_dlc09_tmb_cha_arkhan
	wh2_dlc09_tmb_cha_arkhan_1	wh2_dlc09_tmb_cha_arkhan_0	wh2_dlc09_tmb_ch_arkhan	wh2_dlc09_tmb_cha_arkhan
	wh2_dlc09_tmb_cha_arkhan_2	wh2_dlc09_tmb_cha_arkhan_0	wh2_dlc09_tmb_ch_arkhan	wh2_dlc09_tmb_cha_arkhan
	wh2_dlc09_tmb_cha_khalida_0	wh2_dlc09_tmb_cha_khalida_0	wh2_dlc09_tmb_ch_khalida	wh2_dlc09_tmb_cha_khalida
	wh2_dlc09_tmb_cha_khalida_1	wh2_dlc09_tmb_cha_khalida_0	wh2_dlc09_tmb_ch_khalida	wh2_dlc09_tmb_cha_khalida
	wh2_dlc09_tmb_cha_khalida_2	wh2_dlc09_tmb_cha_khalida_0	wh2_dlc09_tmb_ch_khalida	wh2_dlc09_tmb_cha_khalida
	wh2_dlc09_tmb_cha_khatep_0	wh2_dlc09_tmb_cha_khatep_0	wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_cha_khatep
	wh2_dlc09_tmb_cha_khatep_1	wh2_dlc09_tmb_cha_khatep_0	wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_cha_khatep
	wh2_dlc09_tmb_cha_khatep_2	wh2_dlc09_tmb_cha_khatep_0	wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_cha_khatep
	wh2_dlc09_tmb_cha_khatep_3	wh2_dlc09_tmb_cha_khatep_0	wh2_dlc09_tmb_ch_khatep	wh2_dlc09_tmb_cha_khatep
	wh2_dlc09_tmb_cha_liche_priest_death_0	wh2_dlc09_tmb_cha_liche_priest_death_0	wh2_dlc09_tmb_liche_priest	wh2_dlc09_tmb_liche_priest
	wh2_dlc09_tmb_cha_liche_priest_death_1	wh2_dlc09_tmb_cha_liche_priest_death_0	wh2_dlc09_tmb_liche_priest	wh2_dlc09_tmb_liche_priest
	wh2_dlc09_tmb_cha_liche_priest_light_0	wh2_dlc09_tmb_cha_liche_priest_light_0	wh2_dlc09_tmb_liche_priest	wh2_dlc09_tmb_liche_priest
	wh2_dlc09_tmb_cha_liche_priest_light_1	wh2_dlc09_tmb_cha_liche_priest_light_0	wh2_dlc09_tmb_liche_priest	wh2_dlc09_tmb_liche_priest
	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	wh2_dlc09_tmb_liche_priest	wh2_dlc09_tmb_liche_priest
	wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	wh2_dlc09_tmb_liche_priest	wh2_dlc09_tmb_liche_priest
	wh2_dlc09_tmb_cha_liche_priest_shadow_0	wh2_dlc09_tmb_cha_liche_priest_shadow_0	wh2_dlc09_tmb_liche_priest	wh2_dlc09_tmb_liche_priest
