key	agent_key	for_army	for_navy	faction_key	campaign_key	subculture	agent_subtype_key
#character_skill_node_sets_tables;0;db/character_skill_node_sets_tables/data__							
wh2_dlc09_skill_node_set_skv_tretch_craventail	general	false	false				wh2_dlc09_skv_tretch_craventail
wh2_dlc09_skill_node_set_tmb_arkhan	general	false	false				wh2_dlc09_tmb_arkhan
wh2_dlc09_skill_node_set_tmb_khalida	general	false	false				wh2_dlc09_tmb_khalida
wh2_dlc09_skill_node_set_tmb_khatep	general	false	false				wh2_dlc09_tmb_khatep
wh2_dlc09_skill_node_set_tmb_liche_priest_death	wizard	false	false				wh2_dlc09_tmb_liche_priest_death
wh2_dlc09_skill_node_set_tmb_liche_priest_light	wizard	false	false				wh2_dlc09_tmb_liche_priest_light
wh2_dlc09_skill_node_set_tmb_liche_priest_nehekhara	wizard	false	false				wh2_dlc09_tmb_liche_priest_nehekhara
wh2_dlc09_skill_node_set_tmb_liche_priest_shadow	wizard	false	false				wh2_dlc09_tmb_liche_priest_shadow
wh2_dlc09_skill_node_set_tmb_necrotect	engineer	false	false				wh2_dlc09_tmb_necrotect
wh2_dlc09_skill_node_set_tmb_necrotect_ritual	engineer	false	false				wh2_dlc09_tmb_necrotect_ritual
wh2_dlc09_skill_node_set_tmb_settra	general	false	false				wh2_dlc09_tmb_settra
wh2_dlc09_skill_node_set_tmb_tomb_king	general	false	false				wh2_dlc09_tmb_tomb_king
wh2_dlc09_skill_node_set_tmb_tomb_king_alkhazzar_ii	general	false	false				wh2_dlc09_tmb_tomb_king_alkhazzar_ii
wh2_dlc09_skill_node_set_tmb_tomb_king_lahmizzash	general	false	false				wh2_dlc09_tmb_tomb_king_lahmizzash
wh2_dlc09_skill_node_set_tmb_tomb_king_rakhash	general	false	false				wh2_dlc09_tmb_tomb_king_rakhash
wh2_dlc09_skill_node_set_tmb_tomb_king_setep	general	false	false				wh2_dlc09_tmb_tomb_king_setep
wh2_dlc09_skill_node_set_tmb_tomb_king_thutep	general	false	false				wh2_dlc09_tmb_tomb_king_thutep
wh2_dlc09_skill_node_set_tmb_tomb_king_wakhaf	general	false	false				wh2_dlc09_tmb_tomb_king_wakhaf
wh2_dlc09_skill_node_set_tmb_tomb_prince	champion	false	false				wh2_dlc09_tmb_tomb_prince
wh2_dlc10_skill_node_set_def_crone	general	false	false				wh2_dlc10_def_crone_hellebron
wh2_dlc10_skill_node_set_def_sorceress_beasts	wizard	false	false				wh2_dlc10_def_sorceress_beasts
wh2_dlc10_skill_node_set_def_sorceress_death	wizard	false	false				wh2_dlc10_def_sorceress_death
wh2_dlc10_skill_node_set_def_supreme_sorceress_beasts	general	false	false				wh2_dlc10_def_supreme_sorceress_beasts
wh2_dlc10_skill_node_set_def_supreme_sorceress_dark	general	false	false				wh2_dlc10_def_supreme_sorceress_dark
wh2_dlc10_skill_node_set_def_supreme_sorceress_death	general	false	false				wh2_dlc10_def_supreme_sorceress_death
wh2_dlc10_skill_node_set_def_supreme_sorceress_fire	general	false	false				wh2_dlc10_def_supreme_sorceress_fire
