id	friendly_towards_enemy_multiplier	friendly_towards_friend_multiplier	hostile_towards_enemy_multiplier	hostile_towards_friend_multiplier	max_friendly_attitude	max_hostile_attitude	unknown_faction_multiplier	max_merc_proportion	min_merc_cap	enemy_strength_modifier	enemy_threat_strength_modifier	min_retreat_ratio	min_retreat_to_settlement_ratio	strategic_balance_opportunism_factor	fortified_settlement_assault_strength_modifier	fortified_settlement_defend_strength_modifier	short_description	long_description	last_settlement_modifier	min_refuse_tunneling_intercept_ratio	use_classic_stance_generation_mechanics	ai_threat_score_threat_treshold	strategic_context_local_strength_balance_weight	strategic_context_maximum_band_adjustment_reached_in_rounds	strategic_context_maximum_band_adjustment_proportion	strategic_context_global_strenth_balance_weight	strategic_context_default_band_value	sally_out_chance	war_coordination_assist_attack_force_max_distance	war_coordination_assist_attack_settlement_max_distance	dead_zone	call_to_arms_chance_defensive_war_with_human_players	call_to_arms_chance_offensive_war_with_ai_only	call_to_arms_chance_offensive_war_with_human_players	call_to_arms_chance_defensive_war_with_ai_only
#cai_personality_strategic_components_tables;17;db/cai_personality_strategic_components_tables/data__																																			
wh3_strategic_component_aggressive	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.7500	0.7500	0.5000	0.5000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_aggressive_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.7000	0.7000	0.5000	0.5000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_aggressive_opportunistic	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.7500	0.7500	0.5000	0.5000	0.9000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_aggressive_opportunistic_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.7000	0.7000	0.5000	0.5000	0.9000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_aloof	-0.5000	0.2000	0.2000	-0.5000	100.0000	-100.0000	0.0000	1.0000	0	0.8500	0.8500	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_aloof_hard	-0.5000	0.2000	0.2000	-0.5000	100.0000	-100.0000	0.0000	1.0000	0	0.8000	0.8000	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	5.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_chaos	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8500	0.8500	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_chaos_aggressive	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.7500	0.7500	0.5000	0.5000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_chaos_aggressive_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.7000	0.7000	0.5000	0.5000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_chaos_hard	-0.8000	0.3000	0.3000	-0.8000	100.0000	-100.0000	0.0000	1.0000	0	0.8000	0.8000	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_chaos_vengeful	-1.0000	0.3000	0.3000	-1.0000	100.0000	-100.0000	0.0000	1.0000	0	0.8500	0.8500	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
wh3_strategic_component_chaos_vengeful_hard	-1.0000	0.3000	0.3000	-1.0000	100.0000	-100.0000	0.0000	1.0000	0	0.8000	0.8000	0.7000	0.7000	0.4000	0.9000	1.2000			25.0000	1.0000	false	1.0000	0.5000	10	0.6600	0.3300	350.0000	10.0000	3.0000	3.0000	15.0000	1.0000	0.5000	0.1000	1.0000
