key	lookahead_time	max_target_angle_delta	start_time	steering_coefficient
#projectile_homing_params_tables;0;db/projectile_homing_params_tables/data__				
homing_medium_artillery_fast	0.1000	180.0000	3.0000	0.0750
homing_medium_artillery_glider	0.3000	120.0000	4.0000	0.1000
homing_medium_artillery_slow	0.1000	180.0000	3.0000	0.1500
homing_medium_magical_fast_scattered	3.0000	270.0000	1.0000	0.5000
homing_strong_magical	0.1000	270.0000	0.2000	1.0000
homing_strong_magical_bombardment	0.0100	270.0000	2.7500	1.0000
homing_strong_magical_fast	0.1000	270.0000	0.2000	0.5000
homing_strong_magical_fast_scattered	3.0000	270.0000	1.0000	1.0000
homing_strong_magical_veryfast_bombardment	0.0100	270.0000	0.0100	0.5000
homing_strong_smallarms	0.2000	180.0000	0.2000	0.5000
