unit	faction_override	character_level
#campaign_mercenary_unit_character_level_restrictions_tables;1;db/campaign_mercenary_unit_character_level_restrictions_tables/data__		
wh2_dlc09_tmb_inf_skeleton_archers_ror		13
wh2_dlc09_tmb_inf_skeleton_spearmen_ror		10
wh2_dlc09_tmb_inf_tomb_guard_ror		16
wh2_dlc09_tmb_mon_necrosphinx_ror		30
wh2_dlc09_tmb_mon_sepulchral_stalkers_ror		20
wh2_dlc09_tmb_mon_ushabti_ror		23
wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0		26
wh2_dlc10_def_cav_raven_heralds_ror_0		16
wh2_dlc10_def_cav_slaanesh_harvesters_ror_0		23
wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0		26
wh2_dlc10_def_inf_sisters_of_the_singing_doom_ror_0		20
wh2_dlc10_def_inf_the_bolt_fiends_ror_0		13
wh2_dlc10_def_inf_the_hellebronai_ror_0		10
wh2_dlc10_def_mon_chill_of_sontar_ror_0		30
wh2_dlc10_hef_cav_the_fireborn_ror_0		30
wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0		13
wh2_dlc10_hef_inf_everqueens_court_guards_ror_0		26
wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0		26
wh2_dlc10_hef_inf_the_grey_ror_0		23
wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0		10
wh2_dlc10_hef_inf_the_silverpelts_ror_0		20
wh2_dlc10_hef_inf_the_storm_riders_ror_0		16
wh2_dlc11_cst_art_queen_bess		0
wh2_dlc11_vmp_inf_crossbowmen		0
wh2_dlc11_vmp_inf_handgunners		0
wh2_dlc12_lzd_cav_cold_one_spearriders_ror_0		16
wh2_dlc12_lzd_cav_ripperdactyl_riders_ror_0		23
wh2_dlc12_lzd_cav_terradon_riders_ror_0		18
wh2_dlc12_lzd_inf_saurus_warriors_ror_0		13
wh2_dlc12_lzd_inf_skink_red_crested_ror_0		10
wh2_dlc12_lzd_inf_temple_guards_ror_0		26
wh2_dlc12_lzd_mon_ancient_stegadon_ror_0		30
wh2_dlc12_lzd_mon_salamander_pack_ror_0		20
wh2_dlc12_skv_art_warp_lightning_cannon_ror_0		23
wh2_dlc12_skv_art_warplock_jezzails_ror_tech_lab_0		0
wh2_dlc12_skv_inf_clanrats_ror_0		10
wh2_dlc12_skv_inf_plague_monk_censer_bearer_ror_0		20
wh2_dlc12_skv_inf_ratling_gun_ror_0		13
wh2_dlc12_skv_inf_ratling_gun_ror_tech_lab_0		0
wh2_dlc12_skv_inf_stormvermin_ror_0		16
wh2_dlc12_skv_inf_warpfire_thrower_ror_tech_lab_0		0
wh2_dlc12_skv_inf_warplock_jezzails_ror_0		18
wh2_dlc12_skv_veh_doom_flayer_ror_0		26
wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0		0
wh2_dlc12_skv_veh_doomwheel_ror_0		30
wh2_dlc12_skv_veh_doomwheel_ror_tech_lab_0		0
wh2_dlc13_emp_art_mortar_ror_0		0
wh2_dlc13_emp_cav_empire_knights_ror_0		0
wh2_dlc13_emp_cav_empire_knights_ror_1		0
wh2_dlc13_emp_cav_empire_knights_ror_2		0
wh2_dlc13_emp_cav_outriders_ror_0		0
wh2_dlc13_emp_cav_pistoliers_ror_0		0
wh2_dlc13_emp_inf_archers_ror_0		10
wh2_dlc13_emp_inf_crossbowmen_ror_0		0
