agent	battle_effect	effect_bundle	mission_group	video_path	image_path	order
#agent_subtypes_to_mission_groups_tables;1;db/agent_subtypes_to_mission_groups_tables/data__						
wh2_dlc09_tmb_arkhan	wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_reward_1	wh3_dlc29_nag_mortarchs_arkhan			0
wh2_dlc11_cst_harkon	wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_reward_1	wh3_dlc29_nag_mortarchs_luthor			0
wh2_dlc13_emp_hunter_doctor_hertwig_van_hal	wh2_dlc13_hunter_final_battle_effect_hertwig	wh2_dlc13_hunter_attribute_hertwig	wh2_dlc13_emp_wulfhart_hunter_hertwig	UI/hertwig_final.ca_vp8	UI\skins\default\hunter_hertwig_locked.png	1
wh2_dlc13_emp_hunter_jorek_grimm	wh2_dlc13_hunter_final_battle_effect_jorek	wh2_dlc13_hunter_attribute_jorek	wh2_dlc13_emp_wulfhart_hunter_jorek	UI/jorek_final.ca_vp8	UI\skins\default\hunter_jorek_locked.png	2
wh2_dlc13_emp_hunter_kalara_of_wydrioth	wh2_dlc13_hunter_final_battle_effect_kalara	wh2_dlc13_hunter_attribute_kalara	wh2_dlc13_emp_wulfhart_hunter_kalara	UI/kalara_final.ca_vp8	UI\skins\default\hunter_kalara_locked.png	3
wh2_dlc13_emp_hunter_rodrik_l_anguille	wh2_dlc13_hunter_final_battle_effect_rodrik	wh2_dlc13_hunter_attribute_rodrik	wh2_dlc13_emp_wulfhart_hunter_rodrik	UI/rodrik_final.ca_vp8	UI\skins\default\hunter_rodrik_locked.png	4
wh3_dlc29_vmp_dieter_helsnicht	wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_reward_1	wh3_dlc29_nag_mortarchs_dieter			0
wh3_dlc29_vmp_neferata	wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_reward_1	wh3_dlc29_nag_mortarchs_neferata			0
wh3_dlc29_vmp_walach_harkon	wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_reward_1	wh3_dlc29_nag_mortarchs_walach			0
wh_dlc04_vmp_vlad_con_carstein	wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_reward_1	wh3_dlc29_nag_mortarchs_vlad			0
wh_main_vmp_mannfred_von_carstein	wh2_dlc09_books_of_nagash_reward_1	wh2_dlc09_books_of_nagash_reward_1	wh3_dlc29_nag_mortarchs_mannfred			0
