key	parent_set
#building_chain_sets_tables;0;db/building_chain_sets_tables/data__	
wh3_dlc20_primary_core_generic_major_variant_woc_dark_fortress	wh3_main_primary_core_generic_major
wh3_dlc20_secondary_addon_garrison_fort_emp	
wh3_dlc20_secondary_addon_garrison_high_elf_gates	
wh3_dlc20_secondary_addon_woc_dark_fortress	
wh3_dlc20_secondary_remove_altar_improvements_special_gates	
wh3_dlc20_secondary_remove_garrison_bastion	
wh3_dlc20_secondary_remove_woc_chaos_altar	
wh3_dlc23_port_core_special_fortress_of_dawn	
wh3_dlc23_secondary_addon_landmark_anurells_tomb	
wh3_dlc23_secondary_addon_landmark_black_fortress	
wh3_dlc23_secondary_addon_landmark_daemons_stump	
wh3_dlc23_secondary_addon_landmark_flayed_rock	
wh3_dlc23_secondary_addon_landmark_fortress_of_dawn	
wh3_dlc23_secondary_addon_landmark_gates_of_zharr	
wh3_dlc23_secondary_addon_landmark_iron_storm	
wh3_dlc23_secondary_addon_landmark_the_sentinels	
wh3_dlc23_secondary_addon_landmark_the_volary	
wh3_dlc23_secondary_addon_landmark_the_volary_combi	
wh3_dlc23_secondary_addon_landmark_tower_of_gorgoth	
wh3_dlc23_secondary_addon_landmark_uzkulak	
wh3_dlc23_secondary_addon_landmark_zharr_naggrund	
wh3_dlc24_port_core_special_fu_chow	
wh3_dlc24_secondary_addon_landmark_bleak_hold_fortress	
wh3_dlc24_secondary_addon_landmark_castle_alexandronov	
wh3_dlc24_secondary_addon_landmark_dolganyeir	
wh3_dlc24_secondary_addon_landmark_plesk	
wh3_dlc24_secondary_addon_landmark_shang_wu	
wh3_dlc24_tze_cult_changeling	
wh3_dlc25_primary_core_special_major_silver_pinnacle	wh3_main_primary_core_generic_major
wh3_dlc25_secondary_addon_landmark_gelt_embassy	
wh3_dlc25_secondary_addon_landmark_silver_pinnacle	
wh3_dlc25_secondary_addon_landmark_the_gallows_tree	
wh3_main_dwf_underdeep_karak_eight_peaks	
wh3_main_dwf_underdeep_major	
wh3_main_dwf_underdeep_minor	
wh3_main_dwf_underdeep_skavenblight	
wh3_main_dwf_underdeep_zharr_naggrund	
wh3_main_foreign_slot_addon_laboratory	
wh3_main_foreign_slot_allied	
wh3_main_foreign_slot_core_generic	
wh3_main_kho_cult	
wh3_main_kho_cult_magus	
wh3_main_minor_cults	
wh3_main_nur_cult	
wh3_main_nur_cult_magus	
wh3_main_port_core_generic	
wh3_main_port_core_special_bordeleaux	
wh3_main_port_core_special_copher	
wh3_main_port_core_special_dragon_isles	
wh3_main_port_core_special_erengrad	
wh3_main_port_core_special_lothern	
wh3_main_port_core_special_marienburg	
wh3_main_primary_core_generic_horde	
wh3_main_primary_core_generic_major	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_generic_major_variant_konquata	wh3_main_primary_core_generic_major
wh3_main_primary_core_generic_major_variant_ksl_erengrad	wh3_main_primary_core_generic_major
wh3_main_primary_core_generic_major_variant_ksl_praag	wh3_main_primary_core_generic_major
wh3_main_primary_core_generic_minimal	
wh3_main_primary_core_generic_minor	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_fort_cth_bastion	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_fort_eagle_gate	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_fort_emp	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_fort_gryphon_gate	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_fort_hef	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_fort_phoenix_gate	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_fort_unicorn_gate	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_horde_nakai	
wh3_main_primary_core_special_ksl_prologue	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_major_altdorf	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_black_crag	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_castle_drakenhof	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_couronne	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_eight_peaks	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_elven_colony	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_forest	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_gaean_vale	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_galleons_graveyard	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_major_hellpit	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_hexoatl	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_itza	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_karaz_a_karak	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_khemri	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_kislev	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_lahmia	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_lothern	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_massif_orcal	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_miragliano	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_naggarond	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_norsca	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_major_pyramid_of_nagash	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_sartosa	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_skavenblight	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_the_awakening	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_tor_yvresse	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_wei_jin	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_major_zharr_naggrund	wh3_main_primary_core_generic_major
wh3_main_primary_core_special_minor_elven_colony	wh3_main_primary_core_generic_minor
wh3_main_primary_core_special_minor_norsca	wh3_main_primary_core_generic_minimal
wh3_main_primary_core_special_oak_of_ages	wh3_main_primary_core_generic_minimal
wh3_main_secondary_addon_garrison_bastion	
wh3_main_secondary_addon_garrison_major	
wh3_main_secondary_addon_garrison_minor	
wh3_main_secondary_addon_garrison_outpost	
wh3_main_secondary_addon_landmark_altar_of_ultimate_darkness	
wh3_main_secondary_addon_landmark_altdorf	
wh3_main_secondary_addon_landmark_axlotl	
wh3_main_secondary_addon_landmark_bhagar	
wh3_main_secondary_addon_landmark_black_crag	
wh3_main_secondary_addon_landmark_black_tower_of_arkhan	
wh3_main_secondary_addon_landmark_blood_mountain	
wh3_main_secondary_addon_landmark_bloodwind_keep	
wh3_main_secondary_addon_landmark_bordeleaux	
wh3_main_secondary_addon_landmark_carcassonne	
wh3_main_secondary_addon_landmark_carroburg	
wh3_main_secondary_addon_landmark_castle_drachenfels	
wh3_main_secondary_addon_landmark_castle_drakenhof	
wh3_main_secondary_addon_landmark_chamber_of_visions	
wh3_main_secondary_addon_landmark_clar_karond	
wh3_main_secondary_addon_landmark_clarak_spire	
wh3_main_secondary_addon_landmark_couronne	
wh3_main_secondary_addon_landmark_court_of_the_cov_kho	
wh3_main_secondary_addon_landmark_court_of_the_cov_nur	
wh3_main_secondary_addon_landmark_court_of_the_cov_sla	
wh3_main_secondary_addon_landmark_court_of_the_cov_tze	
wh3_main_secondary_addon_landmark_crag_halls	
wh3_main_secondary_addon_landmark_crookback_mountain	
wh3_main_secondary_addon_landmark_dervingard	
wh3_main_secondary_addon_landmark_drackla_spire	
wh3_main_secondary_addon_landmark_eight_peaks	
wh3_main_secondary_addon_landmark_erengrad	
wh3_main_secondary_addon_landmark_eshin_hq	
wh3_main_secondary_addon_landmark_fallen_gates	
wh3_main_secondary_addon_landmark_fire_mouth	
wh3_main_secondary_addon_landmark_forest_of_gloom	
wh3_main_secondary_addon_landmark_fortress_of_the_damned	
wh3_main_secondary_addon_landmark_fortress_of_vorag	
wh3_main_secondary_addon_landmark_fu_hung	
wh3_main_secondary_addon_landmark_fyrus	
