type	ui_icon
#ancillary_types_tables;0;db/ancillary_types_tables/data__	
wh2_dlc09_anc_magic_standard_banner_of_the_hidden_dead	ui/campaign ui/ancillaries/wh2_dlc09_anc_magic_standard_banner_of_the_hidden_dead.png
wh2_dlc09_anc_magic_standard_standard_of_the_undying_legion	ui/campaign ui/ancillaries/wh2_dlc09_anc_magic_standard_standard_of_the_undying_legion.png
wh2_dlc09_anc_mount_casket_of_souls	ui/campaign ui/mounts/mount_casket_of_souls.png
wh2_dlc09_anc_mount_chariot_of_the_gods	ui/campaign ui/mounts/mount_chariot_of_the_gods.png
wh2_dlc09_anc_mount_khemrian_warsphinx	ui/campaign ui/mounts/mount_warsphinx.png
wh2_dlc09_anc_mount_necroserpent	ui/campaign ui/mounts/mount_necroserpent.png
wh2_dlc09_anc_mount_skeleton_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
wh2_dlc09_anc_mount_skeleton_steed_tmb	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
wh2_dlc09_anc_tmb_herald	ui/campaign ui/ancillaries/wh2_dlc09_anc_tmb_herald.png
wh2_dlc09_anc_tmb_liche_priest	ui/campaign ui/ancillaries/wh2_dlc09_anc_tmb_liche_priest.png
wh2_dlc09_anc_tmb_necrotect	ui/campaign ui/ancillaries/wh2_dlc09_anc_tmb_necrotect.png
wh2_dlc09_anc_tmb_prince	ui/campaign ui/ancillaries/wh2_dlc09_anc_tmb_prince.png
wh2_dlc09_anc_tmb_skeleton	ui/campaign ui/ancillaries/wh2_dlc09_anc_tmb_skeleton.png
wh2_dlc09_anc_tmb_ushabti	ui/campaign ui/ancillaries/wh2_dlc09_anc_tmb_ushabti.png
wh2_dlc10_anc_magic_standard_banner_of_avelorn	ui/campaign ui/ancillaries/wh2_dlc10_anc_magic_standard_banner_of_avelorn.png
wh2_dlc11_anc_follower_captain_drekla	ui/campaign ui/ancillaries/wh2_dlc11_anc_follower_captain_drekla.png
wh2_dlc11_anc_follower_ravenous_dead	UI/Campaign UI/ancillaries/wh2_dlc11_anc_follower_ravenous_dead.png
wh2_dlc11_anc_follower_sailor_man	ui/campaign ui/ancillaries/wh2_dlc11_anc_follower_sailor_man.png
wh2_dlc11_anc_follower_siren	ui/campaign ui/ancillaries/wh2_dlc11_anc_follower_siren.png
wh2_dlc11_anc_follower_zombie	ui/campaign ui/ancillaries/wh2_dlc11_anc_follower_zombie.png
wh2_dlc11_anc_magic_standard_bloodied_banner_of_slayers	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_bloodied_banner_of_slayers.png
wh2_dlc11_anc_magic_standard_boatswain	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_boatswain.png
wh2_dlc11_anc_magic_standard_burnt_banner_of_knights	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_burnt_banner_of_knights.png
wh2_dlc11_anc_magic_standard_corpse_surgeon	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_corpse_surgeon.png
wh2_dlc11_anc_magic_standard_dead_mans_chest	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_dead_mans_chest.png
wh2_dlc11_anc_magic_standard_holed_banner_of_militia	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_holed_banner_of_militia.png
wh2_dlc11_anc_magic_standard_rookie_gunner	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_rookie_gunner.png
wh2_dlc11_anc_magic_standard_ships_colors	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_ships_colors.png
wh2_dlc11_anc_magic_standard_skull_and_crossbones	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_skull_and_crossbones.png
wh2_dlc11_anc_magic_standard_spell_of_the_necromancers_apprentice	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_spell_of_the_necromancers_apprentice.png
wh2_dlc11_anc_magic_standard_throwing_bombs	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_throwing_bombs.png
wh2_dlc11_anc_magic_standard_torn_banner_of_pilgrims	ui/campaign ui/ancillaries/wh2_dlc11_anc_magic_standard_torn_banner_of_pilgrims.png
wh2_dlc11_anc_mount_necrofex_colossus	UI/Campaign UI/mounts/mount_necrofex.png
wh2_dlc11_anc_mount_rotting_leviathon	UI/Campaign UI/mounts/mount_leviathon.png
wh2_dlc11_anc_mount_rotting_promethean	UI/Campaign UI/mounts/mount_promethean.png
wh2_dlc12_anc_banner_cape_of_sniper	ui/campaign ui/ancillaries/wh2_dlc12_anc_banner_cape_of_sniper.png
wh2_dlc12_anc_banner_incendiary_rounds	ui/campaign ui/ancillaries/wh2_dlc12_anc_banner_incendiary_rounds.png
wh2_dlc12_anc_banner_tracer_rounds	ui/campaign ui/ancillaries/wh2_dlc12_anc_banner_tracer_rounds.png
wh2_dlc12_anc_mount_ancient_stegadon_engine_gods	ui/campaign ui/mounts/mount_stegadon_engine_gods.png
wh2_dlc12_anc_mount_doom_flayer	ui/campaign ui/mounts/mount_doom_flayer.png
