member	agent_subtype
#campaign_group_member_criteria_agent_subtypes_tables;0;db/campaign_group_member_criteria_agent_subtypes_tables/data__	
wh2_dlc11_character_bound_horde_agents_aranessa	wh2_dlc11_cst_aranessa
wh2_dlc11_character_bound_horde_agents_cylostra	wh2_dlc11_cst_cylostra
wh2_dlc11_character_bound_horde_agents_harkon	wh2_dlc11_cst_harkon
wh2_dlc11_character_bound_horde_agents_noctilus	wh2_dlc11_cst_noctilus
wh2_dlc11_character_bound_horde_agents_tech_admiral_01	wh2_dlc11_cst_admiral_tech_01
wh2_dlc11_character_bound_horde_agents_tech_admiral_02	wh2_dlc11_cst_admiral_tech_02
wh2_dlc11_character_bound_horde_agents_tech_admiral_03	wh2_dlc11_cst_admiral_tech_03
wh2_dlc11_character_bound_horde_agents_tech_admiral_04	wh2_dlc11_cst_admiral_tech_04
wh2_dlc12_agent_action_expand_underempire	wh2_main_skv_warlock_engineer
wh2_dlc12_agent_action_expand_underempire_unique	wh2_main_skv_warlock_engineer_ritual
wh2_dlc16_agent_action_expand_underempire_ghoritch	wh2_dlc16_skv_ghoritch
wh2_dlc17_khazrak_bound_horde_agents	wh_dlc03_bst_khazrak
wh2_dlc17_malagor_bound_horde_agents	wh_dlc03_bst_malagor
wh2_dlc17_morghur_bound_horde_agents	wh_dlc05_bst_morghur
wh2_dlc17_oxyotl_agent_in_nakai_faction	wh2_dlc17_lzd_oxyotl
wh2_dlc17_oxyotl_agent_oxyotl	wh2_dlc17_lzd_oxyotl
wh2_dlc17_taurox_bound_horde_agents	wh2_dlc17_bst_taurox
wh2_dlc24_agent_action_infiltrate_cults_unique	wh3_dlc24_tze_the_changeling_cultist_special
wh2_gotrek_force_member	wh2_pro08_neu_gotrek
wh2_hunter_nakai_bound_horde_agents_nakai	wh2_dlc13_lzd_nakai
wh2_hunter_sea_locked_horde_agents_black_ark_blessed_dread	wh2_main_def_black_ark_blessed_dread
wh2_main_sea_locked_horde_agents_black_ark	wh2_main_def_black_ark
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_beasts	wh2_dlc13_lzd_slann_mage_priest_beasts
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_beasts_horde	wh2_dlc13_lzd_slann_mage_priest_beasts_horde
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_death	wh2_dlc13_lzd_slann_mage_priest_death
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_death_horde	wh2_dlc13_lzd_slann_mage_priest_death_horde
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_fire	wh2_dlc13_lzd_slann_mage_priest_fire
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_fire_horde	wh2_dlc13_lzd_slann_mage_priest_fire_horde
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_heavens	wh2_dlc13_lzd_slann_mage_priest_heavens
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_heavens_horde	wh2_dlc13_lzd_slann_mage_priest_heavens_horde
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_high	wh2_dlc13_lzd_slann_mage_priest_high
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_high_horde	wh2_dlc13_lzd_slann_mage_priest_high_horde
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_life	wh2_dlc13_lzd_slann_mage_priest_life
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_life_horde	wh2_dlc13_lzd_slann_mage_priest_life_horde
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_metal	wh2_dlc13_lzd_slann_mage_priest_metal
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_metal_horde	wh2_dlc13_lzd_slann_mage_priest_metal_horde
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_shadows	wh2_dlc13_lzd_slann_mage_priest_shadows
wh2_stance_csc_lizardmen_slann_wh2_dlc13_lzd_slann_mage_priest_shadows_horde	wh2_dlc13_lzd_slann_mage_priest_shadows_horde
