unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/data__																																												
wh2_dlc09_skv_cha_tretch_craventail		-1	lord	1	false	wh2_dlc09_skv_cha_tretch_craventail	1	0	700	wh_main_shp_transport	1	1	1	900	225	medium		0	true	wh2_main_vo_culture_Skaven	wh2_dlc09_lord_infantry_spear	0	true	skv_clan_rats		true		700.0000	0.0000	true	wh2_main_vo_culture_Skaven	true	wh2_dlc09_vo_actor_Skaven_Tretch_Craventail	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_art_casket_of_souls_0		-1	chariot	2	false	wh2_dlc09_tmb_art_casket_of_souls_0	1	0	1250	wh_main_shp_transport	1	1	1	0	0	heavy		0	true	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_casket_of_souls	3	true	default		true	composite_scene\porthole\tmb_casket_of_souls_porthole_01.csc	140.0000	1210.0000	true	vo_culture_None	false	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_art_screaming_skull_catapult_0		0	warmachine	1	false	wh2_dlc09_tmb_art_screaming_skull_catapult_0	44	0	750	wh_main_shp_transport	1	1	44	0	0	very_heavy		0	true	wh2_dlc09_vo_culture_Tomb_Kings	catapult	2	false	tmb_skeleton_warriors		false		80.0000	720.0000	true	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cav_hexwraiths		0	melee_cavalry	2	false	wh2_dlc09_tmb_cav_hexwraiths	60	0	1475	wh_main_shp_transport	1	1	60	0	0	heavy		0	true	wh2_dlc09_vo_culture_Tomb_Kings_Hexwraith	vmp_cavalry_scythe	3	false	vamp_hex_wraith		false		1400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cav_necropolis_knights_0		0	monstrous_cavalry	2	false	wh2_dlc09_tmb_cav_necropolis_knights_0	24	0	1400	wh_main_shp_transport	1	1	24	0	0	medium		0	true	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	3	false	tmb_necro_knights		false		1400.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cav_necropolis_knights_1		0	monstrous_cavalry	2	false	wh2_dlc09_tmb_cav_necropolis_knights_1	24	0	1450	wh_main_shp_transport	1	1	24	0	0	medium		0	true	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_halberd	4	false	tmb_necro_knights		false		1450.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cav_necropolis_knights_ror		1	monstrous_cavalry	2	false	wh2_dlc09_tmb_cav_necropolis_knights_ror	24	1	1700	wh_main_shp_transport	1	1	24	0	0	medium		0	true	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	4	false	tmb_necro_knights		false		1700.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
wh2_dlc09_tmb_cav_nehekhara_horsemen_0		0	melee_cavalry	1	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	60	0	650	wh_main_shp_transport	1	1	60	0	0	heavy		0	true	wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	2	false	emp_reiksguard		false		650.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cav_nehekhara_horsemen_ror		1	melee_cavalry	1	false	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	60	1	900	wh_main_shp_transport	1	1	60	0	0	heavy		0	true	wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	2	false	emp_reiksguard		false		1000.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	true	wh_main_vo_actor_default	0	false	false	1	false	false		0.0000	true	1	true
wh2_dlc09_tmb_cav_skeleton_horsemen_0		0	melee_cavalry	1	false	wh2_dlc09_tmb_cav_skeleton_horsemen_0	60	0	400	wh_main_shp_transport	1	1	60	0	0	medium		0	true	wh2_dlc09_vo_culture_Tomb_Kings	cavalry_spear_skeleton	1	false	emp_reiksguard		false		400.0000	0.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0		0	missile_cavalry	1	false	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	60	0	475	wh_main_shp_transport	1	1	60	0	0	medium		0	true	wh2_dlc09_vo_culture_Tomb_Kings	missile_cavalry_bow_skeleton	1	false	emp_reiksguard		false		100.0000	400.0000	false	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	5	false	false		0.0000	true	1	false
wh2_dlc09_tmb_cha_arkhan_0		-1	lord	1	false	wh2_dlc09_tmb_cha_arkhan_0	1	0	900	wh_main_shp_transport	1	1	1	0	0	medium		0	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	0	true	tmb_general		true		1100.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_arkhan_1		-1	lord	1	false	wh2_dlc09_tmb_cha_arkhan_1	1	0	1080	wh_main_shp_transport	1	1	1	0	0	medium		0	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		1000.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false		0.0000	false	1	false
wh2_dlc09_tmb_cha_arkhan_2		-1	lord	1	false	wh2_dlc09_tmb_cha_arkhan_2	6	0	1260	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_death	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_arkhan_chariot	true		1400.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Arkhan	0	true	false	0	false	false		0.0000	false	1	false
