area	unnamed colour group_1
#battle_catchment_override_areas_tables;0;db/battle_catchment_override_areas_tables/data__	
Gatekeeper	000000
quest_altar_of_ultimate_darkness	158FFF
quest_arnheim	A443D8
quest_caverns_of_the_great_bat	677C40
quest_fallen_gates	83B68F
quest_gouger_gully	BF552B
quest_isle_of_the_crimson_skull	C24349
quest_mortuary_of_tzulaqua	A7D85E
quest_mosquito_swamps	67F983
quest_tower_of_hoeth	5E98FF
quest_vauls_anvil	67D5F3
quest_warp_shard_caverns	158661
wh2_dlc11_macro_coast_skjold	0090F3
wh2_dlc11_macro_galleons_graveyard	EE1678
wh2_lzd_tutorial_battle	FFFF00
wh2_macro_lustria_and_southlands_jungle	499B00
wh2_macro_lustria_and_southlands_mountains	968364
wh2_macro_lustria_and_southlands_plains	C8BE64
wh2_macro_lustria_and_southlands_swamps	275E64
wh2_macro_lustria_coast	FCEA73
wh2_macro_lustria_desert	E4B37F
wh2_macro_naggarond_bleak_forest	3D8052
wh2_macro_naggarond_bleak_plains	96C8AF
wh2_macro_naggarond_coast	FCD15E
wh2_macro_naggarond_def_tutorial_battle	00FFFF
wh2_macro_naggarond_desert	E4C57F
wh2_macro_naggarond_desert_coast	FF555E
wh2_macro_naggarond_forest	434C46
wh2_macro_naggarond_grassland	738600
wh2_macro_naggarond_hills	2FA089
wh2_macro_naggarond_mountains	141414
wh2_macro_naggarond_petrified_coast	956749
wh2_macro_naggarond_petrified_forest	646D49
wh2_macro_naggarond_petrified_plains	96C864
wh2_macro_naggarond_plains	96C819
wh2_macro_norsca_coast	CBDBDE
wh2_macro_norsca_forest	647FF0
wh2_macro_norsca_grassland	B6E1F4
wh2_macro_norsca_hills	54AFD2
wh2_macro_norsca_tundra	DEEDEA
wh2_macro_shrine_of_khaine	E8B234
wh2_macro_southlands_coast	E1DBAD
wh2_macro_southlands_desert	E4A17F
wh2_macro_southlands_grassland	494F00
wh2_macro_ulthuan_coast	F0DBB6
wh2_macro_ulthuan_forest	4B9669
wh2_macro_ulthuan_grassland	A5D4F0
wh2_macro_ulthuan_mountains	5A5ADC
wh2_macro_ulthuan_plains	80805B
wh2_main_badlands_mountain_chokepoint	280E7F
wh2_main_blood_river_valley_river_chokepoint	B118AB
wh2_main_generic_mountain_pass_chokepoint	31562C
wh2_main_grassland_river_chokepoint	0D2546
wh2_main_lzd_lustria_mountain_pass_chokepoint	E4E722
wh2_main_lzd_lustria_mountain_pass_climate_stl_chokepoint	F8E722
wh2_main_lzd_river_chokepoint	00FF2A
wh2_main_southland_chasm_chokepoint	E72034
wh2_main_southland_mountain_pass_chokepoint	E31BDE
wh2_main_southland_mountain_pass_climate_lzd_chokepoint	F71BDE
wh2_main_southland_river_chokepoint	F9FF54
wh2_main_sylvania_river_chokepoint	DCB334
wh2_naggarond_grassland_chokepoint	50E3B2
wh2_naggarond_mountain_chokepoint	50E364
wh2_norsca_mountain_chokepoint	9E7CE8
wh2_skv_tutorial_battle	006400
wh2_ulthuan_forest_chokepoint	998C53
wh2_ulthuan_grassland_chokepoint	99DC53
wh2_ulthuan_hef_tutorial_battle	FF00FF
wh2_ulthuan_mountain_chokepoint	63562C
wh2_ulthuan_plains_chokepoint	99B453
wh3_dlc20_brt_settlement_1	7B0096
wh3_dlc23_chd_settlement_1	FA8C0F
wh3_dlc23_chd_settlement_2	FA640F
wh3_dlc23_macro_zharr_plains	73AF0F
wh3_dlc23_macro_zharr_plains_chokepoint	73AF4B
wh3_dlc25_macro_chs_wastes_coast	FFB4B4
wh3_dlc25_macro_chs_wastes_coast_chokepoint	FFDCDC
wh3_impassable	323232
wh3_macro_old_world_mountain_hills_chokepoint	89F095
wh3_main_brt_settlement_2	7B3296
wh3_main_chs_settlement_1	EAFF00
wh3_main_chs_settlement_2	EAC864
wh3_main_chs_settlement_3	EA9632
wh3_main_chs_settlement_4	EA6400
wh3_main_chs_settlement_5	EA3200
wh3_main_cst_settlement_1	AF9619
wh3_main_cth_settlement_1	31D184
wh3_main_cth_settlement_1_wasteland_ogr_camp	31D100
wh3_main_cth_settlement_2	3102E8
wh3_main_cth_settlement_3	316464
wh3_main_cth_settlement_4	31DD4C
wh3_main_cth_settlement_5	31F902
wh3_main_cth_settlement_bastion	F9D184
wh3_main_cth_settlement_weijin	313284
wh3_main_def_settlement_1	B088CE
wh3_main_def_settlement_2	9564BA
wh3_main_dwf_settlement_1	6EFF3C
wh3_main_dwf_settlement_2	6EFF0A
wh3_main_emp_settlement_1	8432DB
wh3_main_emp_settlement_2	8464DB
wh3_main_emp_settlement_3	8400DB
wh3_main_emp_settlement_4	8496DB
wh3_main_emp_settlement_forts	84C8DB
wh3_main_grn_settlement_1	E400FF
wh3_main_grn_settlement_1_mountains_ogr_camp	E473FF
wh3_main_grn_settlement_2	E40001
wh3_main_grn_settlement_3	E4F900
wh3_main_hef_settlement_1	FF32FF
wh3_main_hef_settlement_2	FF64FF
wh3_main_hef_settlement_gates	FF96FF
wh3_main_hef_settlement_toryvresse	FFC8FF
wh3_main_ksl_settlement_1	B74141
wh3_main_ksl_settlement_2	B70041
wh3_main_ksl_settlement_3	B7FF41
wh3_main_ksl_settlement_4	B76400
wh3_main_lzd_settlement_1	0096FF
wh3_main_lzd_settlement_2	4B96FF
wh3_main_macro_badlands_coast	F59678
wh3_main_macro_badlands_marsh	F5B478
wh3_main_macro_badlands_marsh_chokepoint	F5B4B4
wh3_main_macro_badlands_wastelands	F57878
wh3_main_macro_badlands_wastelands_chokepoint	F578B4
wh3_main_macro_brt_coast	968EFE
wh3_main_macro_brt_forest	648EFE
wh3_main_macro_brt_forest_chokepoint	328EFE
wh3_main_macro_brt_grasslands	6447FE
wh3_main_macro_brt_grasslands_chokepoint	3247FE
wh3_main_macro_chs_wastes	FF1414
wh3_main_macro_chs_wastes_chokepoint	FF3C3C
wh3_main_macro_chs_wastes_mountains	FF6464
wh3_main_macro_chs_wastes_mountains_chokepoint	FF8C8C
wh3_main_macro_cth_desert	A5320A
wh3_main_macro_cth_desert_chokepoint	A5550A
wh3_main_macro_cth_farms	690073
wh3_main_macro_cth_farms_chokepoint	690096
wh3_main_macro_cth_farms_initial_battle	6AC873
wh3_main_macro_cth_mountains	C841BE
wh3_main_macro_cth_mountains_chokepoint	C841E6
wh3_main_macro_cth_wasteland	A01EA0
wh3_main_macro_cth_wasteland_chokepoint	A050A0
wh3_main_macro_dar_crater	507850
wh3_main_macro_dar_mountains	3C7841
wh3_main_macro_dar_mountains_chokepoint	3CA041
wh3_main_macro_dar_plains	326432
wh3_main_macro_dar_river_chokepoint	3C6E32
wh3_main_macro_emp_coast	789632
wh3_main_macro_emp_forest	78D232
wh3_main_macro_emp_forest_chokepoint	78D27D
wh3_main_macro_emp_grasslands	78B432
wh3_main_macro_emp_grasslands_chokepoint	78B47D
wh3_main_macro_island_desert	A7802F
wh3_main_macro_island_grassy	18E737
wh3_main_macro_island_rocky	544E4E
wh3_main_macro_island_snow	797CFF
wh3_main_macro_island_tropical	DED4C8
wh3_main_macro_kho_realm	FF0000
wh3_main_macro_kho_realm_chokepoint	FF6563
wh3_main_macro_ksl_macro_mountains	3C5AE6
wh3_main_macro_ksl_macro_plains	285082
wh3_main_macro_ksl_macro_troll_country	1E3246
wh3_main_macro_ksl_mountains_chokepoint	3C5AB4
wh3_main_macro_ksl_plains_chokepoint	286E82
wh3_main_macro_ksl_river	28374B
wh3_main_macro_ksl_troll_country_chokepoint	1E328C
wh3_main_macro_nor_forests	002878
