key	campaign_key	faction_key	culture	subculture	colour_hex
#technology_node_sets_tables;3;db/technology_node_sets_tables/data__					
brt_mil			wh_main_brt_bretonnia		FFB62F
bst_mil_rework			wh_dlc03_bst_beastmen		FFB62F
chd_mil			wh3_dlc23_chd_chaos_dwarfs		FFFFFF
chs_mil			wh_main_chs_chaos	wh_main_sc_chs_chaos	FFB62F
chs_mil_azazel		wh3_dlc20_chs_azazel	wh_main_chs_chaos	wh_main_sc_chs_chaos	FFFFFF
chs_mil_belakor		wh3_main_chs_shadow_legion	wh_main_chs_chaos	wh_main_sc_chs_chaos	FFFFFF
chs_mil_festus		wh3_dlc20_chs_festus	wh_main_chs_chaos	wh_main_sc_chs_chaos	FFFFFF
chs_mil_valkia		wh3_dlc20_chs_valkia	wh_main_chs_chaos	wh_main_sc_chs_chaos	FFFFFF
chs_mil_vilitch		wh3_dlc20_chs_vilitch	wh_main_chs_chaos	wh_main_sc_chs_chaos	FFFFFF
cst_mil			wh2_dlc11_cst_vampire_coast		B3B3CC
cth_mil			wh3_main_cth_cathay		FFB62F
def_mil			wh2_main_def_dark_elves		D200FF
dwf_mil			wh_main_dwf_dwarfs		FFB62F
emp_civ_reworkd			wh_main_emp_empire		FFB62F
emp_wulfhart		wh_main_emp_empire_qb5	wh_main_emp_empire		FFB62F
grn_new			wh_main_grn_greenskins		FFB62F
hef_mil			wh2_main_hef_high_elves		4BBEFF
kho_mil			wh3_main_kho_khorne		FFFFFF
ksl_mil			wh3_main_ksl_kislev		FFB62F
ksl_mil_pro			wh3_main_pro_ksl_kislev		FFB62F
ksl_ostankya		wh3_dlc24_ksl_daughters_of_the_forest	wh3_main_ksl_kislev		FFB62F
lzd_mil			wh2_main_lzd_lizardmen		FF8C00
lzd_nakai		wh2_dlc13_lzd_spirits_of_the_jungle	wh2_main_lzd_lizardmen		FF8C00
nor_mil			wh_dlc08_nor_norsca		FFB62F
nur_mil			wh3_main_nur_nurgle		FFFFFF
ogr_mil			wh3_main_ogr_ogre_kingdoms		FFB62F
rogue_mil			wh2_main_rogue		FFFFFF
skv_mil			wh2_main_skv_skaven		82D400
sla_mil			wh3_main_sla_slaanesh		FFFFFF
tmb_mil			wh2_dlc09_tmb_tomb_kings		FFB62F
tze_mil			wh3_main_tze_tzeentch		FFFFFF
tze_the_changeling		wh3_dlc24_tze_the_deceivers	wh3_main_tze_tzeentch		FFFFFF
vmp_mil			wh_main_vmp_vampire_counts		FFB62F
wef_civ			wh_dlc05_wef_wood_elves		FFB62F
