key	max_value	min_value	sort_order	step_size	display_as_percentage	default_value	image_path	comparison_image_path	video_path
#lab_settings_tables;3;db/lab_settings_tables/data__									
ability_cooldown	1.0000	0.0000	11	0.0100	true	0.0000	ui/skins/default/mirror_of_madness/settings_images/ability_cooldown.png		
ability_radius	3.0000	1.0000	10	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/ability_radius_2.png	ui/skins/default/mirror_of_madness/settings_images/ability_radius_1.png	
ammunition	3.0000	1.0000	7	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/ammunition.png		
blood	3.0000	1.0000	14	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/blood_2.png	ui/skins/default/mirror_of_madness/settings_images/blood_1.png	
charge_duration	3.0000	1.0000	12	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/charge_duration.png		
damage	3.0000	0.2500	0	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/damage.png		
entity_scale	2.5000	0.5000	13	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/entity_scale_2.png	ui/skins/default/mirror_of_madness/settings_images/entity_scale_1.png	
explosions	1.5000	1.0000	4	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/explosions.png		
gravity	1.0000	0.1000	9	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/gravity.png		
impact	10.0000	1.0000	1	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/impact.png		
morale	2.0000	1.0000	2	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/leadership.png		
projectile_penetration	3.0000	1.0000	8	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/projectile_penetration.png		
reload_time	1.0000	0.5000	6	0.0100	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/reload_time.png		
unit_size	10.0000	1.0000	-1	1.0000	false	1.0000	ui/skins/default/mirror_of_madness/settings_images/unit_size_2.png	ui/skins/default/mirror_of_madness/settings_images/unit_size_1.png	
vigour	1.0000	0.0000	5	0.0100	true	0.0000	ui/skins/default/mirror_of_madness/settings_images/vigour.png		
winds_of_magic	2.0000	1.0000	3	0.0500	true	1.0000	ui/skins/default/mirror_of_madness/settings_images/winds_of_magic.png		
