key	ui_sound_event	icon_name
#projectile_shot_type_displays_tables;1;db/projectile_shot_type_displays_tables/data__		
bolt_thrower_multi_shot	UI_BAT_SABL_Generic_Enable	artillery_canister
bolt_thrower_single_shot	UI_BAT_SABL_Generic_Enable	artillery_default
deathshrieker_cluster	UI_BAT_SABL_Generic_Enable	wh3_dlc23_chd_deathshrieker_rocket
deathshrieker_demolition	UI_BAT_SABL_Generic_Enable	wh3_dlc23_chd_demolition_rocket
dwf_cannon_ball	UI_BAT_SABL_Generic_Enable	cannon_default
dwf_cannon_grape_shot	UI_BAT_SABL_Generic_Enable	cannon_canister
dwf_flame_cannon_flame	UI_BAT_SABL_Generic_Enable	artillery_default
dwf_flame_cannon_splitting	UI_BAT_SABL_Generic_Enable	artillery_canister
emp_great_cannon_ball	UI_BAT_SABL_Generic_Enable	cannon_default
emp_great_cannon_grape_shot	UI_BAT_SABL_Generic_Enable	cannon_canister
ksl_little_grom	UI_BAT_SABL_Generic_Enable	cannon_default
ksl_little_grom_explosive	UI_BAT_SABL_Generic_Enable	wh2_dlc11_character_abilities_pyromaniac
placeholder	UI_BAT_SABL_Generic_Enable	0_placeholder_active_abilitiy&spell
talon_of_dawn	UI_BAT_SABL_Generic_Enable	small_arm_heavy
talon_of_dusk	UI_BAT_SABL_Generic_Enable	small_arm_poison
wh_emp_rifle_repeater_bullet_upgraded_engineer	UI_BAT_SABL_Generic_Enable	cannon_default
wh_emp_rifle_repeater_bullet_upgraded_engineer_exploding	UI_BAT_SABL_Generic_Enable	wh3_dlc23_spell_hashut_burning_wrath
