battle_map_location	group	catchment_name	tile_upgrades
#battle_catchment_override_group_battles_tables;3;db/battle_catchment_override_group_battles_tables/data__			
terrain/battles/qb_wh2_altar_of_ultimate_darkness/	altar_of_ultimate_darkness		
terrain/battles/qb_wh2_arnheim/	arnheim		
terrain/battles/qb_wh2_caverns_of_the_great_bat/	caverns_of_the_great_bat		
terrain/battles/qb_wh2_fallen_gates/	fallen_gates		
terrain/battles/qb_wh2_gouger_gully/	gouger_gully		
terrain/battles/qb_wh2_isle_of_the_crimson_skull/	isle_of_the_crimson_skull		
terrain/battles/qb_wh2_mortuary_of_tzulaqua/	mortuary_of_tzulaqua		
terrain/battles/qb_wh2_mosquito_swamps/	mosquito_swamps		
terrain/battles/qb_wh2_tower_of_hoeth/	tower_of_hoeth		
terrain/battles/qb_wh2_vauls_anvil/	vauls_anvil		
terrain/battles/qb_wh2_warp_shard_armour/	warp_shard_caverns		
terrain/battles/wh2_dlc10_shadow_forest/	wh2_dlc10_alith_anar_shadow_realm		
terrain/battles/qb_wh2_dlc11_lokhir_black_ark_mp/	wh2_dlc11_black_ark	catchment_01	
/terrain/battles/qb_wh2_dlc11_skjold/	wh2_dlc11_coast_skjold	catchment_02	
terrain/battles/cst_island_galleons_graveyard/	wh2_dlc11_galleons_graveyard_ambush	catchment_03	
terrain/battles/cst_island_galleons_graveyard/	wh2_dlc11_galleons_graveyard	catchment_01	
terrain/battles/cst_island_3_desert_tomb/	wh2_dlc11_island_desert	*	
terrain/battles/qb_wh2_dlc11_noctilus_desert/	wh2_dlc11_island_desert	catchment_01	
terrain\battles\island_desert_01\	wh2_dlc11_island_desert	catchment_01	
terrain\battles\island_desert_01\	wh2_dlc11_island_desert	catchment_02	
terrain\battles\cst_island_1\	wh2_dlc11_island_grassy	*	
terrain\battles\cst_island_2_grass\	wh2_dlc11_island_grassy	*	
terrain\battles\cst_island_3\	wh2_dlc11_island_grassy	*	
terrain\battles\island_grassy_01\	wh2_dlc11_island_grassy	*	
terrain/battles/qb_wh2_dlc11_noctilus_rocky/	wh2_dlc11_island_rocky	catchment_01	
terrain\battles\cst_island_1_rocky\	wh2_dlc11_island_rocky	*	
terrain\battles\cst_island_2_rocky\	wh2_dlc11_island_rocky	*	
terrain\battles\cst_island_3_rocky\	wh2_dlc11_island_rocky	*	
terrain\battles\island_rocky_01\	wh2_dlc11_island_rocky	*	
terrain/battles/qb_wh2_dlc11_noctilus_snowy/	wh2_dlc11_island_snowy	catchment_01	
terrain\battles\cst_island_1_snowy\	wh2_dlc11_island_snowy	*	
terrain\battles\cst_island_2_snowy\	wh2_dlc11_island_snowy	*	
terrain\battles\cst_island_3_snowy\	wh2_dlc11_island_snowy	*	
terrain\battles\island_snowy_01\	wh2_dlc11_island_snowy	*	
terrain/battles/cst_island_3_desert/	wh2_dlc11_island_tropical	*	
terrain\battles\cst_island_1_desert\	wh2_dlc11_island_tropical	*	
terrain\battles\cst_island_2\	wh2_dlc11_island_tropical	*	
terrain\battles\island_tropical_01\	wh2_dlc11_island_tropical	*	
terrain/battles/ult_plains_infield_a/	wh2_hef_tutorial_battle	catchment_01	
terrain/battles/lzd_lakes_infield_a/	wh2_lustria_and_southlands_jungle_ambush	catchment_02	
terrain/battles/lzd_hills_infield_a/	wh2_lustria_and_southlands_jungle	*	
terrain/battles/lzd_lakes_infield_a/	wh2_lustria_and_southlands_jungle	*	
terrain/battles/lzd_mtn_pass_infield_a/	wh2_lustria_and_southlands_mountains_ambush	catchment_01	
terrain/battles/lzd_mtn_pass_infield_a/	wh2_lustria_and_southlands_mountains	*	
terrain/battles/lzd_ravine_infield_a/	wh2_lustria_and_southlands_mountains	*	
terrain/battles/lzd_plains_infield_a/	wh2_lustria_and_southlands_plains_ambush	catchment_05	
terrain/battles/lzd_plains_infield_a/	wh2_lustria_and_southlands_plains	catchment_01	
terrain/battles/lzd_plains_infield_a/	wh2_lustria_and_southlands_plains	catchment_02	
terrain/battles/lzd_plains_infield_a/	wh2_lustria_and_southlands_plains	catchment_03	
terrain/battles/lzd_plains_infield_a/	wh2_lustria_and_southlands_plains	catchment_04	
terrain/battles/lzd_plains_infield_a/	wh2_lustria_and_southlands_plains	catchment_05	
terrain/battles/lzd_plains_infield_a/	wh2_lustria_and_southlands_plains	catchment_06	
terrain/battles/lzd_river_infield_a/	wh2_lustria_and_southlands_swamps_ambush	catchment_01	
terrain/battles/lzd_swamp_infield_a/	wh2_lustria_and_southlands_swamps_ambush	catchment_01	
terrain/battles/lzd_river_infield_a/	wh2_lustria_and_southlands_swamps	catchment_01	
terrain/battles/lzd_river_infield_a/	wh2_lustria_and_southlands_swamps	catchment_02	
terrain/battles/lzd_river_infield_a/	wh2_lustria_and_southlands_swamps	catchment_03	
terrain/battles/lzd_river_infield_a/	wh2_lustria_and_southlands_swamps	catchment_04	
terrain/battles/lzd_swamp_infield_a/	wh2_lustria_and_southlands_swamps	*	
terrain/battles/lzd_coast_infield_a/	wh2_lustria_coast_ambush	catchment_03	
terrain/battles/lzd_coast_infield_a/	wh2_lustria_coast	*	
terrain/battles/stl_dunes_infield_a/	wh2_lustria_desert_ambush	catchment_04	
terrain/battles/tmb_desert_infield_01/	wh2_lustria_desert_ambush	catchment_04	
terrain/battles/tmb_desert_infield_02/	wh2_lustria_desert_ambush	catchment_01	
terrain/battles/stl_plains_infield_a/	wh2_lustria_desert	*	
terrain/battles/tmb_desert_infield_01/	wh2_lustria_desert	catchment_01	
terrain/battles/tmb_desert_infield_01/	wh2_lustria_desert	catchment_02	
terrain/battles/tmb_desert_infield_01/	wh2_lustria_desert	catchment_03	
terrain/battles/tmb_desert_infield_01/	wh2_lustria_desert	catchment_04	
terrain/battles/tmb_desert_infield_02/	wh2_lustria_desert	catchment_01	
terrain/battles/tmb_desert_infield_02/	wh2_lustria_desert	catchment_02	
terrain/battles/tmb_desert_infield_02/	wh2_lustria_desert	catchment_03	
terrain/battles/tmb_desert_infield_02/	wh2_lustria_desert	catchment_04	
terrain/battles/tmb_desert_infield_03/	wh2_lustria_desert	catchment_01	
terrain/battles/tmb_desert_infield_03/	wh2_lustria_desert	catchment_02	
terrain/battles/tmb_desert_infield_04/	wh2_lustria_desert	catchment_01	
terrain/battles/tmb_desert_infield_04/	wh2_lustria_desert	catchment_02	
terrain/battles/tmb_desert_infield_04/	wh2_lustria_desert	catchment_03	
terrain/battles/lzd_lakes_infield_a/	wh2_lzd_tutorial_battle	catchment_02	
terrain/battles/chokepoint_lzd_lustria_mountain_pass/	wh2_main_badlands_mountain_chokepoint		
terrain/battles/chokepoint_lzd_lustria_mountain_pass_climate_stl/	wh2_main_lzd_lustria_mountain_pass_chokepoint		
terrain/battles/chokepoint_southland_chasm/	wh2_main_lzd_lustria_mountain_pass_climate_stl_chokepoint		
terrain/battles/chokepoint_lzd_lustria_river_b/	wh2_main_lzd_river_chokepoint		
terrain/battles/chokepoint_lzd_river_a/	wh2_main_lzd_river_chokepoint		
terrain/battles/subterranean_battle_a_skv/	wh2_main_skv_subterranean_tiles		
terrain/battles/subterranean_battle_b_skv/	wh2_main_skv_subterranean_tiles		
terrain/battles/subterranean_battle_c_skv/	wh2_main_skv_subterranean_tiles		
terrain\battles\qb_wh2_warp_shard_armour\	wh2_main_skv_subterranean_tiles		
terrain/battles/chokepoint_southland_mountain_pass_climate_lzd/	wh2_main_southland_chasm_chokepoint		
terrain/battles/chokepoint_southland_river/	wh2_main_southland_mountain_pass_chokepoint		
terrain/battles/chokepoint_southland_river_b/	wh2_main_southland_mountain_pass_chokepoint		
terrain/battles/chokepoint_southland_mountain_pass/	wh2_main_southland_mountain_pass_climate_lzd_chokepoint		
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_02	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_03	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_04	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_05	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_06	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_07	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_13	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_14	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_15	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_16	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_17	
terrain\battles\wh3_dlc21_macro_badlands_wastelands_01\	wh2_main_southland_river_chokepoint	catchment_18	
