key	value	description
#cai_variables_tables;0;db/cai_variables_tables/data__		
CAI_VARIABLE_AGGR_RAMP_CHANCE_BASE	10.0000	(In-game) Base chance per round that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance). The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data
CAI_VARIABLE_AGGR_RAMP_CHANCE_PER_ROUND	0.0000	(In-game) Additional per round chance that an eligible faction will be selected for aggression increase. Base Chance + (Rounds Played * Per Round Chance). The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data
CAI_VARIABLE_AGGR_RAMP_ENABLED	0.0000	(In-game) Whether the aggression ramp is enable. 0=no, 1=yes. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data
CAI_VARIABLE_AGGR_RAMP_FAME_MAX	100.0000	(In-game) Player fame level at which the ramp ends and the maximum level of aggression will be applied. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data
CAI_VARIABLE_AGGR_RAMP_FAME_MIN	20.0000	(In-game) Player fame level beyond which the aggression ramp will start to apply. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data
CAI_VARIABLE_AGGR_RAMP_LEVEL_MAX	5.0000	(In-game) The ending level for the aggression ramp to use. 1-6. Should be equal to or greater than the minimum level selected. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic context, but even this is mostly disabled through data
CAI_VARIABLE_AGGR_RAMP_LEVEL_MIN	1.0000	(In-game) The starting level for the aggression ramp to use. 1-6. 1=LOW, 2=LOW_TO_MEDIUM, 3=MEDIUM, 4=MEDIUM_TO_HIGH, 5=HIGH, 6=VERY HIGH. The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data
CAI_VARIABLE_AGGR_RAMP_ROUNDS_MAX	100.0000	(In-game) Round at which the ramp should finish (and max level be used for aggression increases). The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data
CAI_VARIABLE_AGGR_RAMP_ROUNDS_MIN	20.0000	(In-game) Round beyond which the aggression ramp will start (beginning with the minimum aggression level). The Aggression rank mechanic is mostly depractated, its sole remaining purpose is a small impact on strategic stance, but even this is mostly disabled through data
CAI_VARIABLE_AMBUSH_AVOIDANCE_DURATION	10.0000	(In-game) Used for the CAI to determine how long to avoid ambush locations.
CAI_VARIABLE_ARMORY_ITEM_BASE_SCORE	1.0000	(In-game) Used for the CA armory item scoring: this is the base score for any unremarkable item.
CAI_VARIABLE_ARMORY_ITEM_GOD_SPECIFIC_SCORE	2.0000	(In-game) Used for the CA armory item scoring: this is the score an item will have if it's god-specific.
CAI_VARIABLE_ARMORY_ITEM_IN_SET_SCORE	4.0000	(In-game) Used for the CA armory item scoring: this is the score an item will have if it belongs to an item set.
CAI_VARIABLE_ATTACK_ALL_ENEMY_SETTLEMENTS_IF_FACTION_HASNT_EXPANDED_FOR_ROUNDS	5.0000	(In-game) If faction has not gained any region for this many rounds, attack tasks for all settlements is generated.
CAI_VARIABLE_ATTACK_ALL_ENEMY_SETTLEMENTS_IF_FACTION_HASNT_EXPANDED_MAX_PRIORITY_IN_ROUNDS	20.0000	(In-game) The priority of the attack if havent expanded task goes to maximum if we havent captured territory for CAI_VARIABLE_ATTACK_ALL_ENEMY_SETTLEMENTS_IF_FACTION_HASNT_EXPANDED_FOR_ROUNDS+CAI_VARIABLE_ATTACK_ALL_ENEMY_SETTLEMENTS_IF_FACTION_HASNT_EXPANDED_MAX_PRIORITY_IN_ROUNDS
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_BEGIN_AND_BEFORE_MULTIPLIER	0.0000	(In-game) In generating tasks versus human horde armies the starting priority used.
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_BEGIN_ROUND	1.0000	(In-game) In generating tasks versus human horde armies the round at which to start applying a priority variation.
