key	incident	is_positive	weight	target_culture	source_culture
#intrigue_actions_incidents_junctions_tables;1;db/intrigue_actions_incidents_junctions_tables/data__					
1001783988	wh3_dlc25_incident_machinations_hef_negative_2b	false	12.0000	wh2_main_hef_high_elves	wh_main_emp_empire
1006764938	wh2_main_incident_intrigue_any_positive_1b	true	5.0000	wh2_main_hef_high_elves	wh2_main_hef_high_elves
1014078525	wh2_main_incident_intrigue_any_positive_1a	true	5.0000	wh3_main_dae_daemons	wh2_main_hef_high_elves
1019817872	wh2_main_incident_intrigue_any_positive_1a	true	5.0000	wh3_main_tze_tzeentch	wh2_main_hef_high_elves
1023320774	wh2_main_incident_intrigue_any_negative_1b	false	5.0000	wh_dlc08_nor_norsca	wh2_main_hef_high_elves
1024947657	wh3_dlc25_incident_machinations_any_positive_2b	true	5.0000	wh_main_brt_bretonnia	wh_main_emp_empire
1029254241	wh3_dlc25_incident_machinations_any_negative_3b	false	3.0000	wh_main_dwf_dwarfs	wh_main_emp_empire
1031829148	wh2_main_incident_intrigue_any_negative_2b	false	6.0000	wh3_main_kho_khorne	wh2_main_hef_high_elves
103605077	wh2_main_incident_intrigue_any_positive_2b	true	6.0000	wh3_main_tze_tzeentch	wh2_main_hef_high_elves
1036183721	wh2_main_incident_intrigue_any_positive_3b	true	3.0000	wh_dlc03_bst_beastmen	wh2_main_hef_high_elves
1036578182	wh2_main_incident_intrigue_any_positive_3b	true	3.0000	wh3_main_sla_slaanesh	wh2_main_hef_high_elves
1039598646	wh3_dlc25_incident_machinations_any_positive_1a	true	3.0000	wh3_main_ksl_kislev	wh_main_emp_empire
1045891770	wh2_main_incident_intrigue_any_negative_3a	false	3.0000	wh3_main_sla_slaanesh	wh2_main_hef_high_elves
1051843800	wh2_main_incident_intrigue_any_negative_3a	false	3.0000	wh2_main_hef_high_elves	wh2_main_hef_high_elves
1058213546	wh3_dlc25_incident_machinations_any_negative_1b	false	5.0000	wh3_main_cth_cathay	wh_main_emp_empire
1062366985	wh2_main_incident_intrigue_any_negative_2a	false	6.0000	wh3_main_ksl_kislev	wh2_main_hef_high_elves
1066461839	wh2_main_incident_intrigue_any_negative_1b	false	5.0000	wh2_main_def_dark_elves	wh2_main_hef_high_elves
1067065896	wh2_main_incident_intrigue_any_negative_2b	false	6.0000	wh2_main_skv_skaven	wh2_main_hef_high_elves
106716354	wh2_main_incident_intrigue_any_negative_1a	false	5.0000	wh3_main_ogr_ogre_kingdoms	wh2_main_hef_high_elves
1069630594	wh2_main_incident_intrigue_any_negative_3b	false	3.0000	wh_main_dwf_dwarfs	wh2_main_hef_high_elves
1081468436	wh2_main_incident_intrigue_any_positive_2b	true	6.0000	wh2_dlc11_cst_vampire_coast	wh2_main_hef_high_elves
1084942655	wh3_dlc25_incident_machinations_any_positive_1a	true	3.0000	wh_main_brt_bretonnia	wh_main_emp_empire
1085078023	wh2_main_incident_intrigue_any_positive_1c	true	5.0000	wh3_main_cth_cathay	wh2_main_hef_high_elves
1087296878	wh2_main_incident_intrigue_any_negative_2b	false	6.0000	wh3_main_pro_ksl_kislev	wh2_main_hef_high_elves
