template_key	is_defender	battle_type	config_key	composition
#mp_force_gen_template_junctions_tables;7;db/mp_force_gen_template_junctions_tables/data__				
default	false	land_ambush	default	default
default	false	land_bridge	default	default
default	false	land_normal	default	default
default	false	settlement_standard	default	default
default	false	settlement_unfortified	default	default
default	false	survival	default	default
default	false	underground_intercept	default	default
default	true	land_ambush	default	default
default	true	land_bridge	default	default
default	true	land_normal	default	default
default	true	settlement_standard	default	default
default	true	settlement_unfortified	default	default
default	true	survival	default	default
default	true	underground_intercept	default	default
wh_mp_force_gen_beastmen	false	domination	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	false	land_ambush	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	false	land_bridge	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	false	land_normal	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	false	settlement_standard	WH_mp_Beastmen_siege_attack	default
wh_mp_force_gen_beastmen	false	settlement_unfortified	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	false	survival	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	false	underground_intercept	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	true	domination	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	true	land_ambush	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	true	land_bridge	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	true	land_normal	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	true	settlement_standard	WH_mp_Beastmen_siege_defence	default
wh_mp_force_gen_beastmen	true	settlement_unfortified	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	true	survival	WH_mp_Beastmen_land	default
wh_mp_force_gen_beastmen	true	underground_intercept	WH_mp_Beastmen_land	default
wh_mp_force_gen_border_princes	false	land_ambush	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	false	land_bridge	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	false	land_normal	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	false	settlement_standard	WH_mp_TEB_siege_attack	default
wh_mp_force_gen_border_princes	false	settlement_unfortified	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	false	survival	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	false	underground_intercept	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	true	land_ambush	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	true	land_bridge	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	true	land_normal	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	true	settlement_standard	WH_mp_TEB_siege_defence	default
wh_mp_force_gen_border_princes	true	settlement_unfortified	WH_mp_TEB_land	default
wh_mp_force_gen_border_princes	true	survival	WH_mp_TEB_land	default
