key	group_melee	switch	cannot_parry	melee_hit_type
#audio_melee_weapon_types_tables;3;db/audio_melee_weapon_types_tables/data__				
Bite_Large		bite	true	unique_action_large_bite
Bite_Medium		bite	true	unique_action_medium_bite
Bonebreaker_Drill		bite	true	melee_weapon_bonebreaker_drill
Hierotitan_Scales		bite	true	unique_action_hierotitan_scales
Hierotitan_Staff		bite	true	unique_action_hierotitan_staff
Leviathan_Claw		bite	true	unique_action_tomb_scorpion_claw
Medium_Metal_Fist		bite	true	melee_weapon_medium_metal_fist
Necro_Serpent_Tail		bite	true	unique_action_necro_serpent_tail
Rat_Ogre_Drill		bite	true	melee_weapon_rat_ogre_drill
Tomb_Scorpion_Claw		bite	true	unique_action_tomb_scorpion_claw
Tomb_Scorpion_Tail		bite	true	unique_action_tomb_scorpion_Tail
axe	wh_grp_melee_weapons_mixed	axe	false	melee_weapon_axe
axe_2h	wh_grp_melee_weapons_mixed	axe_2h	false	melee_weapon_axe_2h
axe_huge	wh_grp_melee_weapons_mixed	axe_huge	true	melee_weapon_axe_huge
axe_medium	wh_grp_melee_weapons_mixed	axe_medium	false	melee_weapon_axe_medium
claw	wh_grp_melee_creatures_claws	claw	true	melee_weapon_claw
club	wh_grp_melee_weapons_mixed	club	false	melee_weapon_club
club_huge	wh_grp_melee_weapons_mixed	club_huge	true	melee_weapon_club_huge
club_medium	wh_grp_melee_weapons_mixed	club_medium	true	melee_weapon_club_medium
club_saurus	wh_grp_melee_weapons_mixed	club_saurus	false	melee_weapon_club_saurus
creatures_big	wh_grp_melee_creatures_big	creature_big	true	melee_creatures_big
creatures_claws	wh_grp_melee_creatures_claws	creature_claws	true	melee_creatures_claws
creatures_mid	wh_grp_melee_creatures_mid	creature_mid	true	melee_creatures_mid
creatures_tiny	wh_grp_melee_creatures_tiny	creature_tiny	true	melee_creatures_tiny
dlc14_warpgrinder_drill		drakegun	false	unique_action_dlc14_warpgrinder_drill
dlc15_troll_hag_net		drakegun	true	unique_action_troll_hag_net
dlc17_ghorgon_fist		bite	true	melee_weapon_ghorgon_fist
drakegun	wh_grp_melee_weapons_mixed	drakegun	false	melee_weapon_drakegun
flail	wh_grp_melee_weapons_metal	flail	false	melee_weapon_flail
halberd	wh_grp_melee_weapons_mixed	halberd	false	melee_weapon_halberd
halberd_medium	wh_grp_melee_weapons_mixed	halberd	true	melee_weapon_halberd_medium
hammer	wh_grp_melee_weapons_mixed	hammer	false	melee_weapon_hammer
hammer_dwarf	wh_grp_melee_weapons_mixed	hammer_dwarf	false	melee_weapon_hammer_dwarf
hammer_huge		hammer_huge	true	melee_weapon_hammer_huge
ice_sword	wh_grp_melee_weapons_metal	ice_sword	false	melee_weapon_ice_sword
lance	wh_grp_melee_weapons_mixed	lance	false	melee_weapon_lance
spear	wh_grp_melee_weapons_mixed	spear	false	melee_weapon_spear
spear_ghost	wh_grp_melee_weapons_mixed	spear_ghost	false	melee_weapon_spear_ghost
spear_huge	wh_grp_melee_weapons_mixed	spear_huge	true	melee_weapon_spear_huge
spear_medium	wh_grp_melee_weapons_mixed	spear_medium	true	melee_weapon_spear_medium
staff	wh_grp_melee_weapons_mixed	staff	false	melee_weapon_staff
stone_club_medium		stone_club_medium	false	melee_weapon_stone_club_medium
sword	wh_grp_melee_weapons_metal	sword	false	melee_weapon_sword
sword_claws		sword	true	melee_weapon_sword_claws
sword_huge	wh_grp_melee_weapons_mixed	sword_huge	true	melee_weapon_sword_huge
sword_medium	wh_grp_melee_weapons_mixed	sword_medium	true	melee_weapon_sword_medium
sword_ogre	wh_grp_melee_weapons_mixed	sword_ogre	true	melee_weapon_sword_ogre
unarmed		unarmed	true	melee_weapon_unarmed
warpfiregun	wh_grp_melee_weapons_mixed	drakegun	false	melee_weapon_drakegun
whip	wh2_dlc10_grp_melee_weapons_whips	whip	true	melee_weapon_whip
