key	water	sails	mud	grass	road	rock	sand	snow	leather	wood	blood	camera_shake
#projectile_impacts_tables;11;db/projectile_impacts_tables/data__												
arrow	wh_main_impact_vsmall_water		wh_main_impact_arrow_mud	wh_main_impact_arrow_grass	wh_main_impact_arrow_rock	wh_main_impact_arrow_rock	wh_main_impact_arrow_sand	wh_main_impact_arrow_snow	wh_main_impact_vsmall_leather	wh_main_impact_arrow_wood	wh_dlc02_arrow_impact_blood_medium	
arrow_fire	wh_main_impact_vsmall_water		wh_main_impact_arrow_mud	wh_main_impact_arrow_grass	wh_main_impact_arrow_rock	wh_main_impact_arrow_rock	wh_main_impact_arrow_sand	wh_main_impact_arrow_snow	wh_main_impact_vsmall_leather	wh_main_impact_arrow_wood	wh_dlc02_arrow_impact_blood_medium	
boiling_oil												
carcass	wh_main_impact_medium_water		wh_main_impact_small_mud	wh_main_impact_small_grass	wh_main_impact_small_rock	wh_main_impact_small_rock	wh_main_impact_small_sand	wh_main_impact_small_snow	wh_main_impact_small_leather	wh_main_impact_small_wood	wh_dlc02_arrow_impact_blood_medium	
carcass_blood	wh_main_impact_medium_water		wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	wh_main_impact_small_leather	wh_dlc02_weapon_carcas_impact	wh_dlc02_weapon_carcas_impact	
wh2_dlc09_casket_of_souls	wh_main_impact_medium_water		wh2_dlc09_machine_casket_of_souls_impact	wh2_dlc09_machine_casket_of_souls_impact	wh2_dlc09_machine_casket_of_souls_impact	wh2_dlc09_machine_casket_of_souls_impact	wh2_dlc09_machine_casket_of_souls_impact	wh2_dlc09_machine_casket_of_souls_impact	wh2_dlc09_machine_casket_of_souls_impact	wh2_dlc09_machine_casket_of_souls_impact		wh_main_unit_impact_light
wh2_dlc09_screaming_skull_impact_large	wh2_dlc09_lib_machine_screaming_skull_catapult_large_impact		wh2_dlc09_lib_machine_screaming_skull_catapult_large_impact	wh2_dlc09_lib_machine_screaming_skull_catapult_large_impact	wh2_dlc09_lib_machine_screaming_skull_catapult_large_impact	wh2_dlc09_lib_machine_screaming_skull_catapult_large_impact	wh2_dlc09_lib_machine_screaming_skull_catapult_large_impact	wh2_dlc09_lib_machine_screaming_skull_catapult_large_impact	wh2_dlc09_lib_machine_screaming_skull_catapult_large_impact	wh2_dlc09_lib_machine_screaming_skull_catapult_large_impact		wh_main_unit_impact_heavy
wh2_dlc09_sepulturalstalker_impact	wh_main_impact_medium_water		wh2_dlc09_lib_sepultural_stalker_impact	wh2_dlc09_lib_sepultural_stalker_impact	wh2_dlc09_lib_sepultural_stalker_impact	wh2_dlc09_lib_sepultural_stalker_impact	wh2_dlc09_lib_sepultural_stalker_impact	wh2_dlc09_lib_sepultural_stalker_impact	wh2_dlc09_lib_sepultural_stalker_impact	wh2_dlc09_lib_sepultural_stalker_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_light
wh2_dlc10_blast_impact	wh_main_impact_medium_water		wh2_dlc10_blast_impact	wh2_dlc10_blast_impact	wh2_dlc10_blast_impact	wh2_dlc10_blast_impact	wh2_dlc10_blast_impact	wh2_dlc10_blast_impact	wh2_dlc10_blast_impact	wh2_dlc10_blast_impact		wh_main_unit_impact_medium
wh2_dlc10_bone_giant_arrow_impact	wh2_dlc10_bone_giant_impact		wh2_dlc10_bone_giant_impact	wh2_dlc10_bone_giant_impact	wh2_dlc10_bone_giant_impact	wh2_dlc10_bone_giant_impact	wh2_dlc10_bone_giant_impact	wh2_dlc10_bone_giant_impact	wh2_dlc10_bone_giant_impact	wh2_dlc10_bone_giant_impact		wh_main_unit_impact_heavy
wh2_dlc10_everqueen_court_guard_impact	wh_main_impact_vsmall_water		wh2_dlc10_everqueen_court_guard_impact	wh2_dlc10_everqueen_court_guard_impact	wh2_dlc10_everqueen_court_guard_impact	wh2_dlc10_everqueen_court_guard_impact	wh2_dlc10_everqueen_court_guard_impact	wh2_dlc10_everqueen_court_guard_impact	wh2_dlc10_everqueen_court_guard_impact	wh2_dlc10_everqueen_court_guard_impact	wh2_dlc10_everqueen_court_guard_impact	
wh2_dlc10_frostbreath	wh2_dlc10_frostbreath_impact		wh2_dlc10_frostbreath_impact	wh2_dlc10_frostbreath_impact	wh2_dlc10_frostbreath_impact	wh2_dlc10_frostbreath_impact	wh2_dlc10_frostbreath_impact	wh2_dlc10_frostbreath_impact	wh2_dlc10_frostbreath_impact	wh2_dlc10_frostbreath_impact		wh_main_unit_impact_heavy
wh2_dlc10_sisterofavalorn_impact	wh_main_impact_vsmall_water		wh2_dlc10_sisterofavelorn_impact	wh2_dlc10_sisterofavelorn_impact	wh2_dlc10_sisterofavelorn_impact	wh2_dlc10_sisterofavelorn_impact	wh2_dlc10_sisterofavelorn_impact	wh2_dlc10_sisterofavelorn_impact	wh2_dlc10_sisterofavelorn_impact	wh2_dlc10_sisterofavelorn_impact	wh2_dlc10_sisterofavelorn_impact	
wh2_dlc10_weapon_abilities_the_moonbow	wh_main_impact_medium_water		wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact		wh_main_unit_impact_light
wh2_dlc11_abilities_cackle_fruit_impact	wh_main_impact_large_water		wh2_dlc11_abilities_cacklefruit_explosion	wh2_dlc11_abilities_cacklefruit_explosion	wh2_dlc11_abilities_cacklefruit_explosion	wh2_dlc11_abilities_cacklefruit_explosion	wh2_dlc11_abilities_cacklefruit_explosion	wh2_dlc11_abilities_cacklefruit_explosion	wh2_dlc11_abilities_cacklefruit_explosion	wh2_dlc11_abilities_cacklefruit_explosion		wh_main_unit_impact_medium
wh2_dlc11_army_abilities_wraith_storm_impact	wh_main_impact_large_water		wh2_dlc11_army_abilities_wraith_storm_impact	wh2_dlc11_army_abilities_wraith_storm_impact	wh2_dlc11_army_abilities_wraith_storm_impact	wh2_dlc11_army_abilities_wraith_storm_impact	wh2_dlc11_army_abilities_wraith_storm_impact	wh2_dlc11_army_abilities_wraith_storm_impact	wh2_dlc11_army_abilities_wraith_storm_impact	wh2_dlc11_army_abilities_wraith_storm_impact		wh_main_unit_impact_medium
wh2_dlc11_cst_deck_gunner_ror_bullet_impact	wh_main_impact_medium_water		wh2_dlc11_weapon_gunners_ethereal_impact	wh2_dlc11_weapon_gunners_ethereal_impact	wh2_dlc11_weapon_gunners_ethereal_impact	wh2_dlc11_weapon_gunners_ethereal_impact	wh2_dlc11_weapon_gunners_ethereal_impact	wh2_dlc11_weapon_gunners_ethereal_impact	wh2_dlc11_weapon_gunners_ethereal_impact	wh2_dlc11_weapon_gunners_ethereal_impact		wh_main_unit_impact_light
wh2_dlc11_cst_queen_bess_impact	wh_main_impact_large_water		wh2_dlc11_machine_queen_bess_explosion	wh2_dlc11_machine_queen_bess_explosion	wh2_dlc11_machine_queen_bess_explosion	wh2_dlc11_machine_queen_bess_explosion	wh2_dlc11_machine_queen_bess_explosion	wh2_dlc11_machine_queen_bess_explosion		wh2_dlc11_machine_queen_bess_explosion		wh_main_unit_impact_medium
wh2_dlc11_unit_abilities_bomb_throw	wh_main_impact_large_water		wh2_dlc11_abilies_bomb_throw_explosion	wh2_dlc11_abilies_bomb_throw_explosion	wh2_dlc11_abilies_bomb_throw_explosion	wh2_dlc11_abilies_bomb_throw_explosion	wh2_dlc11_abilies_bomb_throw_explosion	wh2_dlc11_abilies_bomb_throw_explosion	wh_main_projectile_penetration_impact	wh2_dlc11_abilies_bomb_throw_explosion	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
